"date","T1.unternehmen","T2.eu","T3.strom","T4.euro","T5.china","T6.menschen","T7.bank","T8.bundesregierung","T9.  ","T10.aktien","T11.hamburg","T12.ezb","T13.jahr","T14.spd"
2001-01-01,0.0385364677069225,0.0405031819952873,0.091192459691634,0.0644933855316622,0.0338052210698184,0.129636157856653,0.0423400189249865,0.0541403046551756,0.10941239772158,0.110989479933948,0.0510232480472011,0.0832884947214131,0.0773697979479377,0.0732693841957808
2001-02-01,0.0860744450575103,0.0587835830397691,0.0543695089342558,0.0776707270489368,0.0452230380713892,0.100377742880183,0.0654683587284071,0.0822757947455541,0.0782012648020033,0.134310937566317,0.0339756377063792,0.0796443274903442,0.0745723865710284,0.029052247357922
2001-03-01,0.0615024548190121,0.0625582909532441,0.0406496911679307,0.0696147957836944,0.0335051999929611,0.138314533584388,0.0459816636458022,0.0507153289809422,0.0937934432576064,0.124905414679642,0.0422334453692787,0.0988790539708237,0.0894469178383515,0.0478997659563236
2001-04-01,0.0661838370345634,0.0750960093504759,0.0478585740524295,0.0843629988311905,0.0374227750876607,0.115566037735849,0.0487977959592586,0.0577517114710302,0.110222908665887,0.114042411086993,0.0443938887961262,0.0809609283686759,0.0765152780096844,0.0408248455501753
2001-05-01,0.0916989223357745,0.0591183759850742,0.0261758235638105,0.0629333630363955,0.0398763610035922,0.178719612375038,0.0456684581326056,0.0619865779287683,0.0952632897997828,0.0778591517919301,0.0572526523906324,0.084960040099134,0.0604828604048899,0.0580045111525716
2001-06-01,0.0749726775956284,0.0539071038251366,0.0649180327868853,0.0541530054644809,0.0449453551912568,0.128224043715847,0.0358196721311475,0.0733879781420765,0.124098360655738,0.0679234972677596,0.0475956284153005,0.0900273224043716,0.0841803278688525,0.0558469945355191
2001-07-01,0.0701794490798948,0.0809235341181849,0.042999199908561,0.0663847296833924,0.0552291690478912,0.137707166533318,0.0328951880214882,0.0766944793690708,0.102708881014973,0.103120356612184,0.0418562121385301,0.0684421076694479,0.0750942964910275,0.0457652303120357
2001-08-01,0.0729974422475742,0.0439486825545045,0.0363363241443709,0.0682473305996509,0.0270593966952215,0.126832040924039,0.0526166213308432,0.0641671064918193,0.12539076773172,0.0862124964475661,0.0599041857821445,0.0620356461369818,0.102452194389184,0.0717997645243798
2001-09-01,0.0453346058836739,0.0305131372108691,0.0290815180777004,0.070401976195823,0.0861497866606782,0.0875814057938469,0.0739810240287447,0.0463872670110038,0.0706826858297777,0.182026162137885,0.0376852683584101,0.105069615989221,0.0914271277790254,0.0436784190433416
2001-10-01,0.0492076730608841,0.0387985659044875,0.0292343186421585,0.0885911419689568,0.0663648278327177,0.117836292148219,0.0604508085742448,0.0617614245637598,0.0602775039805899,0.134841805400604,0.0406507587491741,0.104264376157621,0.113395361935812,0.0343251410807708
2001-11-01,0.0629008627706332,0.0533778284225948,0.0351131369037929,0.090004883607358,0.0556568451896468,0.0979814422920397,0.0526941233924792,0.0834120136741006,0.10459059091649,0.086797981442292,0.03968744912909,0.0722773888979326,0.131580660914862,0.0339247924466873
2001-12-01,0.0564671372261435,0.0503437528646072,0.0385919882665689,0.0687139059492162,0.0337702814190118,0.12994774956458,0.0275002291685764,0.102392519937666,0.0941607846732056,0.0721972683105693,0.0492804106700889,0.0930607755064626,0.146796223301861,0.0367769731414428
2002-01-01,0.0648166620117304,0.059310537445637,0.047679846786099,0.0687667078961018,0.0493755735546423,0.122231975421937,0.058372900291266,0.0748713242628576,0.131468698878825,0.0825320193113354,0.0528268762717951,0.0509516019630531,0.0737940390216654,0.0630012368830547
2002-02-01,0.0788685896539183,0.0511428811235766,0.0440086170718742,0.0836807207005568,0.0401197437260443,0.107545533391154,0.0489326581428531,0.0790364546904289,0.0671739921103433,0.102677447332345,0.0528774865008533,0.0572419774501301,0.136082589597963,0.0506113085079596
2002-03-01,0.0785126176218991,0.0349390504704876,0.0590248075278015,0.109789349871685,0.0503368263473054,0.113799187339607,0.0439210863986313,0.0736473481608212,0.148043199315654,0.085463002566296,0.0552288280581694,0.0388954234388366,0.0706800684345595,0.0377192044482464
2002-04-01,0.0786691478701867,0.0501625733625079,0.0312468047688186,0.0766650988732337,0.0279544385595387,0.094210752336353,0.0502034723216294,0.0551113474162083,0.106439541113679,0.110549886505388,0.0587104558188994,0.0608372016932169,0.112922026134435,0.0863172532259054
2002-05-01,0.0708209513871561,0.035410475693578,0.0467980854297575,0.104530090964771,0.0360683256584171,0.127486786289499,0.0648776172220584,0.073293559875689,0.0950026087153778,0.0946850259737314,0.0335049792436994,0.0568473107547127,0.108114239049067,0.0525599437424858
2002-06-01,0.0867502541511352,0.0796539557876692,0.0454083361572348,0.0826639025654315,0.038531305439831,0.111567365000897,0.0534614387944266,0.0605776705802619,0.0835808399944186,0.122909482329021,0.0353220244383758,0.0699862459385652,0.0847768453365758,0.0448103334861562
2002-07-01,0.079374792384216,0.068045526863297,0.0449848768292043,0.0967183593545116,0.0378166687064007,0.073640225885973,0.0621361260205955,0.0433938842946308,0.106439148906411,0.12638774760914,0.0345122995961327,0.0916131964963197,0.0939384932776195,0.0409986537755477
2002-08-01,0.0782195548887222,0.0665499708260398,0.0459448195382179,0.100275068767192,0.0378928065349671,0.10495957322664,0.0719846628323748,0.052863215803951,0.097341001917146,0.0944236059014754,0.0303909310660999,0.080320080020005,0.0921063599233142,0.0467283487538551
