"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"28","werte","new","freitag","aktienmaerkte","freitag","haendler","aktienmaerkten","dow","fiel","erholung","titel","aktienmaerkte","aktienindex","aktienmaerkte","morgan","morgan","fondsmanager","stieg","minus","euro","erwartungen","euro","papiere","kgv","duerfte","dow","subprimekrise","titel","aktienmarkt","punkte","investmentbank","fiel","mdax","frankfurt","edelmetall","erholung","dubai","index","rendite","schuldenkrise","anleihen","aktienmaerkte","feinunze","deutlich","fresenius","aktie","notenbanken","experten","woche","edelmetall","maerkte","s","gold","minus","usa","verloren","experten","plus","analysten","yellen","aktienmarkt","zehnjaehrigen","papiere","dienstag","aktienmarkt","geldpolitik","finanzmaerkten","maerkten","plus","street","quartal","uswirtschaft","jahr","leitindex","schweizer","nachmittag","renditen","maerkte","notenbanken","street","gamestop"
"29","morgan","experten","boersianer","quartal","punkten","verlor","jp","aktie","fondsmanager","quartal","aktie","titel","titel","jones","experten","aktienmarkt","vergangenen","new","markt","gewinne","aktienmaerkte","renditen","maerkte","bank","korrektur","jones","new","minus","papiere","anlegern","anlegern","rezession","markt","schweinegrippe","verluste","zugelegt","hsbc","bonds","goldman","gewinne","anlegern","punkte","fiel","fiel","gewinne","gold","usdollar","wert","anleihen","schwellenlaender","woche","punkte","freitag","anlegern","ukraine","donnerstag","gewinne","erwartet","aktienkurse","aktienmarkt","fiel","duerften","boerse","freitag","soros","minus","staatsanleihen","rendite","inflation","dienstag","gewinne","papiere","plus","index","geldpolitik","renditen","dow","oelpreis","rund","analysten","leitindex"
"30","verlor","anleihen","index","titel","minus","lynch","quartal","fiel","hsbc","aktienindex","aktienkurse","konjunkturdaten","maerkte","haendler","aktienmarkt","usa","rendite","aktienindex","donnerstag","gestern","bloomberg","kursverluste","haendler","rechnet","leitindex","unternehmensgewinne","york","euro","vergangenen","aktienindex","punkte","bank","rund","goldman","anleihen","notenbanken","notierte","aktie","zaehlern","fondsmanager","oelpreis","ausblick","gewinne","schweizer","bonds","commerzbank","gold","wkn","experten","papiere","verlor","boersianer","experten","experten","renditen","experten","bank","notenbanken","punkten","quartal","aktienmaerkte","aktienmarkt","zinserhoehung","silber","punkte","maerkten","anlegern","maerkte","donnerstag","punkte","fiel","morgan","morgan","vergangenen","fiel","maerkte","aktienmarkt","fondsmanager","carmignac","aktienmaerkte","wandelanleihen"
"31","gewinne","uswirtschaft","papiere","minus","haendler","aktie","fondsmanager","s","gewinne","gewinne","quartal","boersianer","deutlich","gestern","street","minus","aktie","punkte","index","anlegern","dow","freitag","dienstag","duerften","new","minus","bank","aktienkurse","punkten","monaten","frankfurt","notierte","aktienmaerkte","analyst","mrd","maerkte","frankfurt","fiel","notierte","frankfurt","steigende","papiere","société","leitindex","bundesanleihen","papiere","papiere","anlegern","papiere","wandelanleihen","gewinne","stand","emerging","jones","experten","eurozone","geldpolitik","bundesanleihe","punkte","duerften","analysten","aktie","aktienmaerkte","jones","plus","anlegern","trump","tonnen","erwartet","euro","handelskrieg","dow","powell","rund","renditen","quartal","leitindex","quartal","minus","strategen","steigende"
"32","dollar","erholung","dow","street","unternehmen","index","experten","york","erholung","s","woche","nasdaq","konjunkturdaten","papiere","zaehler","titel","stimmung","aktienmarkt","staatsanleihen","strategen","stand","zaehler","boerse","kurs","aktienkurse","dienstag","experten","lynch","dow","abschreibungen","papiere","aktienmaerkten","freitag","markt","aktienmaerkte","dubais","goldman","plus","quartal","marke","notierte","commerzbank","aktienmaerkte","société","aktienmarkt","usa","marke","konjunkturdaten","fed","verluste","waehrungen","aktie","turbulenzen","aktienmaerkten","mdax","schwellenlaender","dividenden","zaehler","waehrungen","aktienmaerkten","notenbanken","notenbanken","aktienmaerkten","aktienmarkt","street","street","notenbanken","duerfte","staatsanleihen","analyst","uspraesident","renditen","renditen","stand","trump","euro","edelmetall","rund","fondsmanager","goldpreis","zehnjaehrigen"
"33","new","york","verlor","wall","aktie","plus","maerkte","papiere","titel","new","stieg","unternehmen","minus","mittwoch","aktienmaerkte","new","maerkte","gestern","aktie","index","america","quartal","dow","analyst","haendler","aktie","fondsmanager","street","maerkte","investment","dimon","erwartet","plus","euro","maerkte","jones","aktienmaerkte","boersianer","maerkte","euro","freitag","fielen","street","deutsche","new","konjunkturdaten","leitindex","usa","franken","usdollar","fondsmanager","staatsanleihen","gewinne","kurs","staatsanleihen","maerkte","renditen","marke","rendite","rendite","renditen","staatsanleihen","kurs","geldpolitik","commerzbank","allzeithoch","usdollar","gramm","maerkten","trump","schwellenlaender","maerkte","aktienmarkt","schweizer","kurs","rund","usnotenbank","goldpreis","edelmetall","maerkte","steigenden"
"34","experten","stimmung","morgan","erwartet","papiere","telekom","haendler","new","rentenmarkt","freitag","plus","quartal","mdax","aktienindex","plus","erwartet","aktienkurse","york","oelpreis","montag","management","usnotenbank","rentenmarkt","capital","euro","aktienmaerkte","uswirtschaft","ubs","index","uswirtschaft","mrd","wert","notierte","kaffarnik","markt","leuschel","euro","mdax","staatsanleihen","mdax","frankfurt","frankfurt","générale","rohstoffe","marke","dienstag","aktienmaerkte","haendler","vergangenen","fiel","aktienindex","commerzbank","aktienindex","maerkte","zaehler","konjunktur","s","anlegern","aktienmarkt","papiere","experten","aktienkurse","aktie","fiel","rund","zentralbank","minus","knapp","anlegern","fiel","punkten","uspraesident","fiel","p","fondsmanager","papiere","montag","waehrungen","silber","punkte","anleiherenditen"
"35","stimmung","bonds","anleihen","nasdaq","quartal","merrill","titel","commerzbank","merrill","euro","wochen","plus","securities","leitindex","bank","dow","euro","unternehmen","fiel","deutsche","notierungen","analyst","zaehlern","boersen","freitag","leitindex","anlegern","papiere","bear","erwartet","index","wall","intel","fiel","usdollar","rally","minus","gestern","usa","commerzbank","aktienindex","plus","aktienkurse","plus","moodys","leitindex","morgan","markt","kurs","maerkte","depot","minus","aktienmaerkten","usa","boersianer","verlor","kurs","zinsen","finanzmaerkten","konjunktur","bundesanleihen","fiel","duerfte","analysten","dienstag","zugelegt","commerzbank","morgan","analyst","punkten","maerkte","street","erwartet","donnerstag","notenbanken","trump","franken","oel","ubs","schwellenlaender","usnotenbank"
"36","papiere","zaehler","kursverluste","york","stimmung","fiel","papiere","konjunkturdaten","papiere","fiel","maerkte","stimmung","staatsanleihen","titel","greenspan","zaehler","punkte","anstieg","new","lynch","zinsen","jones","index","jahresende","usa","morgan","usnotenbank","einschaetzung","street","mrd","halbjahr","notenbanken","erholung","plus","aktie","minus","aktienmaerkten","leitindex","experten","titel","woche","renditen","yen","wert","hafen","snb","verlor","rendite","usa","kurs","schwellenlaendern","bank","plus","gold","verlor","freitag","schwankungen","usnotenbank","aktie","maerkten","finanzmaerkte","punkte","index","quartal","notierte","trump","rund","geldpolitik","aktienmaerkten","freitag","morgan","donald","volatilitaet","fiel","edelmetall","investment","wall","preis","euro","dz","buffett"
"37","titel","street","stimmung","papiere","securities","jones","nachrichten","donnerstag","rendite","staatsanleihen","jp","marke","madrid","positiven","aktie","dienstag","investmentbank","deutlich","gewinne","mdax","stanley","landesbank","erwartet","haendler","boersianer","zaehlern","korrektur","woche","schwachen","punkten","aktienindex","goldman","bank","duerften","liquiditaet","papiere","aktienjahr","tecdax","yen","usa","anstieg","oelpreis","aktie","renditen","haendler","morgan","deutsche","september","p","abenomics","usa","markt","aktienmarkt","wall","p","zaehler","gemeinschaftswaehrung","stiegen","chinas","renditen","yuan","freitag","jackson","rendite","aktienmaerkte","europaeische","aktienkurse","jones","aktienmarkt","aktienmarkt","emerging","gewinne","freitag","dividenden","papiere","handelsstreit","staatsanleihen","vermoegensverwalter","usdollar","aktienmarkt","minus"
"38","verluste","kgv","analyst","frankfurtm","nachrichten","gestern","boersianer","erholung","telekom","nikkei","nasdaq","marktteilnehmer","aktienmaerkte","street","mdax","fiel","aktienmaerkte","analyst","bank","legte","street","haendler","zinserhoehungen","zaehlern","gewinnmitnahmen","usa","verluste","experten","plus","maerkten","merrill","frankfurt","tecdax","ubs","dow","anlegern","commerzbank","morgan","mdax","freitag","rund","experten","index","eurozone","relativ","schweizer","aktienkurse","aktienmaerkte","commerzbank","abe","schwellenlaender","profitieren","usa","zaehlern","freitag","oelpreis","duerften","mdax","chinesische","waehrungen","usnotenbank","experten","woche","waehrung","fed","wall","kurs","mischfonds","vergangenen","morgan","index","woche","anlegern","stark","markets","kgv","fiel","dividenden","powell","anlegern","robinhood"
"39","euro","wall","nasdaq","euro","fondsmanager","york","zaehler","minus","lynch","papiere","notierte","new","erwartet","irak","erwarten","quartal","bundesanleihe","staatsanleihen","sachs","merrill","renditen","aktienindex","zaehler","markets","tecdax","bank","maerkte","analyst","abschreibungen","sp","maerkte","papiere","unternehmen","legten","steigenden","morgan","gemeinschaftswaehrung","griechenland","euro","goldpreis","bank","silber","verlor","verloren","industriemetalle","wall","waehrungen","leitindex","aktienmaerkte","mittwoch","dow","asset","yellen","staatsanleihen","papiere","stand","notenbanken","quartal","bank","portfolios","papiere","maerkten","punkten","wall","maerkte","bundesanleihen","wall","wall","kurs","depot","waehrung","punkten","blackrock","plus","aktienmaerkte","indexfonds","maerkte","fiel","erholung","edelmetall","morgan"
"40","anlegern","fondsmanager","experten","anlegern","deutsche","konjunkturdaten","fiel","gestern","nachrichten","positive","haendler","meint","aktie","steigenden","maerkte","anstieg","kursgewinne","konjunkturdaten","london","europaeischen","zinserhoehungen","leitindex","experten","punkte","volumen","index","verlor","nachrichten","sachs","lehman","street","analyst","titel","intel","haendler","bank","stanley","mrd","aktienkurse","leitindex","rohstoffe","leitindex","staatsanleihen","marke","anlegern","notierte","unsicherheit","unsicherheit","gewinne","vergangenen","wall","positiv","verlor","bundesanleihen","konjunkturdaten","bundesanleihen","plus","papiere","september","donnerstag","konjunktur","index","risiken","inflation","boersianer","analyst","aktienmaerkte","street","stoxx","donnerstag","aktienmaerkte","p","leitindex","trump","dws","barrel","vergangenen","plus","plus","erholung","banken"
"41","nemax","verluste","plus","werte","anlegern","frankfurtm","aktienkurse","erwartet","freitag","analyst","aktienindex","papiere","quartal","positive","anleihen","gewinne","werte","handelsblatt","goldman","rendite","titel","index","tecdax","gewinne","sachs","februar","unsicherheit","wall","investmentbank","haendler","gold","erholung","unsicherheit","vergangenen","freitag","punkten","aktienindex","gewinne","frankfurt","anstieg","unruhen","nachfrage","leitindex","rendite","plus","markt","negativen","yen","bewertet","bernanke","experten","freitag","dividenden","schwellenlaender","woche","stieg","maerkte","schwachen","montag","volatilitaet","zentralbank","japan","schwellenlaendern","renditen","rendite","macron","quartal","strategen","wall","kurs","konjunktur","erwartet","fonds","quartal","waehrung","leitindex","schweizer","aktienmarkt","anlegern","wall","stieg"
"42","quartal","werte","montag","nachrichten","experten","boersianer","jones","amerikanischen","bank","bonds","papiere","maerkte","fiel","zaehler","oelpreise","tecdax","haendler","unternehmensanleihen","erwartet","lag","verlor","deutsche","stand","duerfte","verluste","usnotenbank","hedgefonds","sachs","mrd","bewertet","bear","anlegern","buchwert","boersianer","punkten","preis","verlor","analyst","leitindex","rund","schuldenkrise","woche","konjunkturdaten","vergangenen","fiel","plus","eurozone","bonds","street","markt","bernanke","erholung","kurse","gaben","zinsen","finanzmaerkten","commerzbank","fiel","aktienmaerkten","anlegern","aktie","quartal","rezession","mittwoch","kletterte","usnotenbank","duerfte","waehrungen","konjunktur","staatsanleihen","anlegern","aktienmaerkte","zinsen","goldpreis","china","nachfrage","morgan","asset","p","bitcoin","maerkte"
"43","aktienmaerkten","nemax","gestern","anschlaegen","donnerstag","aktienmaerkten","worldcom","gewinne","aktienindex","titel","donnerstag","erholung","anstieg","deutsche","stratege","mittwoch","notierte","goldman","standen","deutschen","erwarten","maerkte","duerfte","positiv","index","titel","street","investmentbank","mittwoch","grossbank","titel","mrd","dow","kursziel","maerz","aufschwung","gestern","titel","dienstag","usnotenbank","goldpreis","unternehmen","anlegern","fondsmanager","aktienindex","kater","waehrung","dow","eurozone","bank","anlegern","erwartet","street","ukraine","euro","stimmung","edelmetall","turbulenzen","renditen","boersianer","schwellenlaendern","wandelanleihen","hole","notenbanken","renditen","euro","juni","inflation","fiel","vermoegensverwalter","punkte","strategen","p","marke","gewinne","geldpolitik","notenbank","oelmarkt","aktienkurse","fondsmanager","notiert"
"44","boersianer","index","verluste","stanley","erwartet","positive","erholung","jones","renditen","aktienmarkt","positiv","anstieg","donnerstag","erholung","stimmung","jones","wall","index","hurrikan","hausse","aktienindex","staatsanleihen","zahlen","index","zahlen","monaten","papiere","anleihen","jones","frankfurt","rund","investment","verluste","aktienmarkt","maerkten","goldman","quartal","aktienmaerkte","woche","maerkte","staatsanleihen","deutsche","wall","gaben","boersianer","of","fed","aktienkurse","duerften","konjunkturdaten","commerzbank","verloren","staatsanleihen","zinsen","krisen","rubel","freitag","zugelegt","schwankungen","freitag","donnerstag","usa","finanzmaerkten","boersianer","stoxx","index","usnotenbank","boersianer","aktienmaerkte","konjunkturdaten","usdollar","mittwoch","geldpolitik","freitag","oelpreis","notenbanken","waehrung","experten","deutlich","s","boersen"
"45","dow","fiel","handel","erwarten","standen","rendite","york","aktienmaerkten","krieg","konjunkturdaten","erwartungen","aktienkurse","verlor","morgan","gestiegen","renditen","entwicklung","rentenmarkt","street","stratege","aktienkurse","maerkten","aktienmaerkten","emerging","duerften","juengsten","unternehmen","aktienindex","aktie","woche","leitindex","commerzbank","leitindex","aktienkurse","jones","waehrung","erwartet","fondsmanager","fiel","rohstoffe","rendite","nachmittag","notierte","frankfurt","leitindex","anlegern","aktienindex","suisse","aktienindex","notenbank","notierte","schwellenlaender","eskalation","kletterte","eurozone","p","zinserhoehung","maerkten","experten","leitindex","turbulenzen","erwarten","unsicherheit","notenbank","maerkten","finanzmaerkten","korrektur","barren","steigen","fielen","usnotenbank","trump","s","uspraesident","montag","jahr","verluste","unternehmen","punkte","barren","jp"
"46","gewinnwarnungen","bank","euro","verloren","werte","morgan","gestern","montag","aktie","plus","mittwoch","monaten","maerz","stimmung","donnerstag","aktienmaerkte","citigroup","street","investmentbank","gestiegen","boersianer","vergangenen","deutsche","abschwaechung","jones","schlueter","haendler","goldman","kreditkrise","morgan","markets","plus","aktienindex","korrektur","halbjahr","stark","boersianer","kgv","uswirtschaft","kaufen","marke","anlegern","maerkte","wider","markt","stimmung","stoxx","oktober","usnotenbank","freitag","konjunkturdaten","notenbank","nervositaet","sorgten","bundesanleihen","anlegern","p","april","sorgen","usdollar","waehrung","usdollar","quartal","analyst","papiere","aktie","street","legte","crash","zentralbank","notierte","handelskonflikt","notierte","morgan","emerging","titel","punkte","billionen","world","euro","bloomberg"
"47","kurs","euro","uswirtschaft","aktienindex","dow","maerkte","s","analyst","stanley","gestern","vergangenen","dow","leitindex","konjunkturdaten","deutschen","donnerstag","hsbc","anlegern","rita","landesbank","analyst","aktienmaerkte","leitindex","leitindex","kursen","boersenbarometer","mrd","abschreibungen","feinunze","aktienmaerkte","verloren","aktienmaerkte","rezession","unternehmen","gestiegen","maerz","maerkte","china","deutlich","china","montag","markt","bundesanleihen","woche","jp","bonds","gewinne","o","plus","woche","haendler","europaeische","index","irak","markets","plus","anlegern","anleihemarkt","janet","aktienmaerkte","aktienkurse","finanzmaerkte","punkte","zentralbank","usa","monaten","stoxx","usnotenbank","anleihemarkt","aktienkurse","commerzbank","duerfte","aktienmaerkte","handelskonflikt","goldpreis","gestiegen","billionen","anlegern","analyst","kurs","aktienmarkt"
"48","donnerstag","telekom","aktienmaerkte","duerften","nasdaq","anlegern","nasdaq","dienstag","irakkrieg","stimmung","deutlich","zellmann","tecdax","anleihen","mittwoch","kursgewinne","stanley","positive","kursgewinne","tagen","japanische","donnerstag","aktienindex","usa","maerkte","markt","duerften","leitindex","duerften","brothers","lynch","new","renditen","rendite","fiel","haendler","unicredit","erholung","bundesanleihen","nachfrage","kaufen","quartal","frankfurt","aktienkurse","vergangenen","street","markt","hsbc","analyst","yen","minus","waehrungen","bank","quartal","gewinne","staatsanleihen","dividendenrendite","boersianer","maerkten","euro","rendite","sorgen","zentralbank","aktie","vermoegensverwalter","risiko","punkten","kurs","minus","knapp","mittwoch","verlor","goldman","anlegern","preis","saudiarabien","rund","edelmetall","oelpreise","waehrung","notenbanken"
"49","verloren","erwartet","erholung","aktienkurse","enron","aktienmarkt","aktienindex","merrill","oelpreis","vergangenen","zehnjaehrigen","freitag","gewinne","anlegern","new","zahlen","duerften","wochen","stieg","dienstag","fundamentalen","markets","renditen","kommenden","titel","deutsche","index","unternehmen","euro","adobe","analyst","gold","fiel","commerzbank","plus","korrektur","hoeher","goldman","rund","feinunze","mdax","anhaltenden","unten","haendler","verluste","verloren","anlegern","plus","gemeinschaftswaehrung","verloren","dienstag","rendite","korrektur","analyst","geldpolitik","emerging","europaeische","kurs","erwartet","index","aktienmaerkten","edler","markets","commerzbank","donnerstag","franzoesischen","gemeinschaftswaehrung","analyst","korrekturen","unsicherheit","inflation","rezession","kurs","china","anlegern","fonds","gewinne","oelpreise","management","morgan","quartal"
"50","erwartet","verloren","usboersen","merrill","stieg","erwartet","frankfurtm","stimmung","maerkte","dow","verlor","notierte","handel","gewinne","konjunkturdaten","anlegern","renditen","fondsmanager","bundfuture","quartal","vergangenen","rendite","donnerstag","anlagen","york","emerging","kreditmaerkten","plus","bank","ersten","brasilien","maerkte","maerkte","titel","analyst","leitindex","anlegern","waehrung","gestern","portugal","verloren","gewinne","preis","verlor","verloren","spanien","haendler","maerkte","minus","notierte","street","fonds","mittwoch","new","emerging","renditen","billionen","notierte","verlor","weltwirtschaft","wall","euro","juni","index","markets","inflation","meint","fondsmanager","renditen","minus","steigende","zinserhoehungen","bewertungen","street","fonds","punkte","aktienkurse","wti","maerz","jp","steigen"
