"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"8","kurse","boersen","usa","dollar","punkte","markt","investoren","punkte","investoren","punkten","punkten","boerse","punkte","markt","dollar","anleihen","unternehmen","rendite","boersen","usa","analysten","punkte","aktie","morgan","analysten","analysten","boerse","punkten","rezession","kurse","boersen","boersen","aktien","aktie","boersen","gold","boerse","boerse","papiere","anleihen","investoren","boersen","minus","analysten","gold","punkten","anleihen","kurse","analysten","investoren","boerse","papiere","boersen","boersen","analysten","fed","aktie","staatsanleihen","kurse","china","anleihen","minus","zinsen","kurse","boersen","boersen","kurse","bank","anleihen","anleihen","usa","anleihen","aktie","boersen","dax","gold","fed","investoren","dax","kurse","kurse"
"9","boersen","punkten","kurse","usa","new","woche","markt","woche","dollar","boersen","investoren","wall","freitag","punkte","punkte","haendler","boersen","anleihen","kurse","kurse","boerse","punkten","punkten","kurse","boersen","boerse","usa","usa","boersen","boersen","quartal","punkten","aktie","quartal","quartal","boersen","experten","analysten","gold","analysten","analysten","anleihen","bank","minus","analysten","minus","analysten","boersen","investoren","boerse","analysten","investoren","boerse","boerse","boersen","anleihen","fed","aktienmarkt","zinserhoehung","usnotenbank","oelpreis","anleihen","minus","gold","aktie","gold","rendite","kurse","analysten","boersen","analysten","usa","boersen","kurse","usa","fed","kurse","analysten","analysten","renditen","rendite"
"10","punkte","unternehmen","markt","investoren","bank","dollar","punkte","punkten","punkten","dollar","anleihen","kurse","investoren","punkten","haendler","investoren","kurse","dax","aktienmarkt","punkten","boersen","investoren","gewinne","investoren","aktie","punkten","markt","aktienmarkt","punkte","bear","lehman","investoren","punkten","anleihen","investoren","analysten","boersen","bank","punkte","papiere","minus","bank","usa","commerzbank","boerse","bundesanleihen","boerse","aktienmarkt","punkte","aktienmarkt","boersen","yellen","schwellenlaendern","leitindex","aktie","punkten","investoren","zehnjaehrigen","investoren","maerkte","kurse","bundesanleihen","bank","bank","analysten","aktienmarkt","fed","boerse","boersen","analysten","trump","boersen","analysten","rendite","analysten","aktie","minus","boerse","boersen","rendite","analysten"
"11","plus","titel","street","markt","titel","kurse","usa","investoren","markt","boerse","boersen","aktienmarkt","dollar","dollar","woche","boerse","anleihen","kurse","investoren","dollar","anleihen","woche","boersen","aktienmarkt","mdax","punkte","kurse","kreditkrise","boerse","investoren","kurse","aktie","minus","staatsanleihen","experten","investoren","punkten","papiere","aktie","punkte","punkten","kurse","investoren","aktie","aktie","punkte","punkten","punkte","dow","goldpreis","punkten","geldpolitik","anleihen","analysten","index","leitindex","punkten","renditen","usnotenbank","boersen","minus","bank","kurse","leitindex","boerse","risiken","boersen","punkten","gold","kurse","boersen","kurse","quartal","usa","anleihen","anleihen","usa","minus","aktie","boerse","boerse"
"12","bank","punkte","new","punkte","usa","anleihen","woche","bank","punkte","markt","wall","street","punkten","investoren","freitag","oelpreis","usa","morgan","unternehmen","bank","fondsmanager","plus","kurse","jp","punkte","boersen","stearns","citigroup","minus","finanzkrise","brothers","boerse","punkte","kurse","yen","world","anleihen","euro","kurse","kurse","aktienmarkt","boerse","franken","punkte","kurse","boerse","punkte","anleihen","punkten","anleihen","aktienmarkt","anleihen","usnotenbank","punkte","boerse","boerse","boerse","bundesanleihen","zinsen","anleihen","fed","fed","dollar","zinsen","minus","leitindex","zinsen","aktie","bank","rendite","kurse","zinsen","rendite","fed","zinsen","rendite","anleihen","fonds","anleihen","aktie","punkten"
"13","investoren","investoren","investoren","punkten","wall","quartal","unternehmen","boersen","irak","index","punkte","punkte","boersen","woche","boerse","boersianer","punkten","markt","punkte","aktienmarkt","morgan","dollar","quartal","punkten","dienstag","investoren","bear","boerse","anleihen","aktienmarkt","aktienmarkt","dow","mrd","boersen","goldpreis","aktienmarkt","griechenland","punkten","freitag","aktienmarkt","silber","minus","boersen","bank","minus","kurse","renditen","papiere","aktienmarkt","depot","aktie","boerse","maerkte","fed","aktienmarkt","usa","zentralbank","kurse","yellen","zinswende","bank","yen","notenbanken","minus","leitindex","papiere","analysten","boersen","boerse","bank","zinsen","bank","maerkte","aktie","minus","boersen","bank","fed","quartal","punkten","fonds"
"14","usa","dax","wall","haendler","markt","freitag","dollar","wall","experten","unternehmen","bank","experten","index","usa","punkten","unternehmen","woche","zehnjaehrigen","experten","freitag","merrill","anleihen","minus","experten","kurse","woche","minus","haendler","uswirtschaft","stearns","minus","kurse","aktienmarkt","gold","bank","anleihen","bank","haendler","boersen","yen","yen","haendler","aktienmarkt","morgan","yen","anleihen","rendite","punkten","kurse","kurse","punkte","usnotenbank","analysten","plus","fed","aktienmarkt","euro","euro","zinswende","boerse","gold","zinsen","gold","experten","mdax","anleihen","euro","fed","rendite","commerzbank","bank","experten","minus","zinsen","usnotenbank","usa","boerse","usa","gewinne","boersen","bank"
"15","dax","usa","punkte","freitag","woche","punkten","morgan","street","haendler","woche","street","punkten","markt","maerkte","usa","kurse","aktienmarkt","boerse","usa","unternehmen","punkten","analysten","usnotenbank","boerse","woche","blackstone","boersen","markt","investoren","wall","jp","intel","staatsanleihen","maerz","punkte","aktie","staatsanleihen","gemeinschaftswaehrung","haendler","plus","boersen","goldpreis","punkten","boerse","punkte","index","aktienmarkt","aktie","depot","anlegern","geldpolitik","usa","geldpolitik","anleihen","kurse","boersen","analysten","gold","schwellenlaendern","notenbanken","boerse","analysten","geldpolitik","kurs","index","kurse","boerse","aktienmarkt","fed","gold","anleihen","rendite","boerse","minus","kurse","fondsmanager","zinsen","aktie","kurse","p","inflation"
"16","punkten","woche","dollar","erholung","anleihen","experten","wall","index","dow","dienstag","index","usa","usa","oelpreis","oelpreis","freitag","zehnjaehrigen","jp","punkten","anleihen","markt","dow","woche","aktie","punkten","kurse","anleihen","boersen","kurse","rezession","experten","staatsanleihen","anleihen","papiere","aktienmarkt","aktienkurse","plus","anleihen","boerse","gestern","index","usa","schweizer","papiere","boersen","rendite","index","gewinne","notenbanken","punkten","gold","renditen","punkten","papiere","bank","rendite","boersen","boersen","notenbank","geldpolitik","zinsen","silber","rendite","finanzmaerkten","kurse","bank","aktienmarkt","notenbanken","dow","experten","handelsstreit","handelsstreit","commerzbank","boerse","boersen","kurse","papiere","anleihen","goldman","zinsen","anleihen"
"17","woche","plus","punkten","woche","dax","unternehmen","dow","markt","aktienmarkt","haendler","experten","bank","haendler","aktie","markt","papiere","papiere","woche","morgan","experten","experten","bonds","euro","jones","vergangenen","plus","woche","investoren","goldpreis","street","morgan","aktienmarkt","boersen","erholung","erholung","dow","punkte","boersen","punkten","rendite","japan","aktie","goldpreis","aktienmarkt","bank","schuldenkrise","franken","gold","jones","japan","index","kurse","punkte","aktie","plus","analysten","zinsen","leitindex","yuan","kurse","maerkte","renditen","analysten","punkte","anleihen","analysten","usa","euro","usnotenbank","papiere","fed","boerse","bank","handelsstreit","boerse","vermoegensverwalter","aktienmaerkte","barrel","papiere","gewinne","papiere"
