"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"28","irgendwann","mag","eltern","wiebold","art","schule","augen","augen","familie","wissen","laesst","identitaet","teufel","laesst","sah","paar","erzaehlt","arbeit","job","fernsehen","jahre","heute","lehrer","angst","buch","ueberhaupt","geschichte","bologna","augen","redaktion","augen","wollenschlaeger","paar","gut","los","zeit","huber","gerne","wein","fernsehen","erzaehlt","mutter","best","spaeter","davos","film","erzaehlt","kindern","draussen","nacht","jungen","vater","heute","kennt","haus","schickedanz","kirche","spaeter","mensch","alt","gewalt","erzaehlt","tag","mutter","spaeter","maenner","schueler","spaeter","glashuette","heute","strassen","luxus","kind","erinnert","polizei","lauterbach","hause","job","klinik","krankenhaus","heute"
"29","preussen","beruf","scheint","jungen","asahara","tun","jahre","uhr","paar","geld","spaeter","all","macht","wissen","alten","kleine","junge","familie","wort","frank","stadt","minuten","jugendliche","erzaehlt","paar","kopf","beruf","alte","junge","geschichte","gemacht","wissen","geschichte","alt","jahre","buecher","kirche","vater","autos","schule","kopf","hof","alt","uhr","beruf","erzaehlt","gesagt","literatur","familien","juden","lacht","roman","arbeit","geht","geschichte","taleb","schriftsteller","heute","familie","ruth","jungen","heimat","spaeter","taeter","erzaehlt","schule","tag","kunst","menschen","ausstellung","belo","essen","spaeter","unfall","kind","geschichte","aerzte","schulen","alt","aerzte","reden"
"30","mag","genau","jahre","fernsehen","kirche","beckmann","arbeit","theater","alte","macht","buero","ellis","schnabel","jahre","wort","jahre","leute","bettina","faehrt","kultur","erzaehlt","tag","fragt","dick","minuten","gesicht","uhr","eltern","buero","liebe","dinge","jahre","kaninchen","capurganá","kollegen","weihnachten","elvis","job","lang","kindern","alte","irgendwann","kindern"," ","journalisten","paar","peggys","hause","geschichte","schule","maedchen","leute","irgendwann","gefuehl","alte","alt","kuenstler","job","alt","jahre","houses","kilometer","kirchen","hause","sitzt","juan","athen","lesen","jungen","vater","strasse","stolz","jahre","hotel","arbeit","muenchen","tod","whang","schule","schueler","bisschen"
"31","alten","erzaehlt","macht","spaeter","murakami","mutter","kirche","tag","the","mag","geschichte","grosseltern","soehne","gehoert","welt","reitz","laesst","kind","griechen","hause","jugendlichen","schule","wirkt","eltern","glueck","neapel","jungen","job","kaeutner","dinge","beruf","gerne","lehrer","job","tag","mohn","leute","schuelern","kuenstler","geschichte","wissen","moeller","quandt","leute","kollegen","antisemit","erinnert","mutter","wullers","geschichte","jahre","maedchen","r","spaeter","erzaehlt","sterben","tag","mensch","fragt","tod","schoen","frueher","angst","junge","tag","wusste","clyde","hause","rakipi","spenden","alt","zeit","magdalena","krieg","heute","mutter","zeit","kitas","yamada","bautzen","musik"
"32","frueher","sorben","fragt","alten","hause","journalisten","angst","frauen","ddr","selten","zeit","wort","laesst","angst","konnte","mensch","schillers","sohn","augen","kaiser","tag","laesst","spaeter","friedrich","angst","fiolka","stadt","gefuehl","minuten","arbeit","macht","the","leute","hause","laesst","job","anselm","buero","geschichte","sarrazin","zeit","arbeit","manhattan","alte","mutter","hause","gericht","dinge","buch","spaeter","krupp","erzaehlt","stadt","namen","buch","geht","gefuehl","schmuck","deutsch","sarajevo","york","the","tom","kunst","buecher","tochter","middelhoffs","behinderung","dorf","warschau","gesund","mutter","mutter","sache","jungen","buero","sitzt","uhr","alten","ging","gibt"
"33","tod","macht","sommerloch","leser","macht","kindern","sitzt","geboren","all","wort","springer","alte","gerade","tauberbischofsheim","titel","laesst","geworden","tag","gut","literarische","hoeren","kopf","stadt","alten","beruf","leute","arbeiten","junge","jungen","alter","paul","sohn","buch","buero","jungen","spaeter","hollywood","stadt","theo","jungen","dinge","patienten","sitzt","hoeren","polizisten","boell","musik","roman","brauche","draussen","alter","job","strasse","arbeit","bisschen","cousins","paar","nacht","spaeter","essen","buch","ort","hause","heute","liebe","abend","bonnie","alten","jahre","uhr","simone","tod","erzaehlt","leute","geschichte","jungen","kind","mutter","b","vater","findet"
"34","tag","kleine","haus","alte","gefuehl","wissen","bisschen","laesst","lieber","aerzte","s","welt","kleidung","frauen","kennt","werk","crichton","angst","alten","salamander","studenten","lehrer","ueberhaupt","ferdinand","kind","heute","heute","erhielt","jugendliche","tag","waldorfschulen","augen","sitzt","hummler","mag","glueck","kindern","studieren","jugendlichen","jahre","gut","stolz","gefragt","schulz","job","jahre","maedchen","julia","hause","reden","kindern","jahre","stunden","kind","maenner","macht","heute","markus","kind","lebt","kunst","frauen","erzaehlt","freund","tochter","museum","arbeit","libanon","museum","kind","roman","bild","chouraqui","bilder","tag","musik","strasse","alt","muschi","frueher","patienten"
"35","nacht","tag","wendler","geschichte","laengst","publikum","konnte","journalisten","buch","carlo","hause","erinnert","wissen","geworden","eltern","familie","hirschhorn","gibt","freund","spaeter","generation","winter","spiel","schriftsteller","vaeter","band","junge","gelernt","jahre","lernen","kind","all","alte","frueher","augen","buero","jahre","wissen","wald","kirche","molzow","alten","jahren","buch","haus","macht","kulac","zeit","literatur","stunden","kennt","zug","mutter","erzaehlt","kultur","irgendwann","stadt","erzaehlt","berliner","kind","maennern","lang","lindblad","kindern","angst","mensch","jungen","macht","erlich","satz","krieg","buch","bisschen","stunden","knorr","hause","muenchner","land","onlyfans","heute","freunde"
"36","hof","s","art","groothuis","laesst","familie","alt","mutter","grand","stunden","kopf","wirklichkeit","doktor","geschichte","angst","roman","liebe","laengst","alte","junge","van","maenner","jugend","napoléon","vater","wayne","hause","buelow","gut","robert","schule","lebt","kindern","jungen","spaeter","kollegen","kind","taleb","stunden","kind","stolz","uhr","job","club","jahre","axel","gesehen","jaekel","tod","tage","polizei","schule","erzaehlt","macht","jugend","tod","kunst","kind","hause","fand","film","alt","schule","nacht","kunst","rolex","kindern","erzaehlt","hause","mutter","afghanistan","miley","laura","kopf","mutter","mueller","geboren","bilder","zeit","gerade","paare"
"37","literatur","ddr","spaeter","jahren","bisschen","sah","huntzicker","macht","angst","alt","glueck","geschichten","erzaehlt","gibt","liebe","junge","angst","paul","mensch","fragt","job","kindern","tun","hause","connie","macht","brigitte","alt","sitzt","leute","karriere","lebens","junge","arzt","zeit","sohn","mutter","jahre","ursula","beruf","arbeiten","hause","mueller","lehrer","reden","alten","ging","ging","stadt","ziemlich","paar","geschichte","sitzt","sohn","kindern","buch","kind","haus","lacht","geboren","geschichte","alte","konnte","stunden","junge","konnte","angst","konnte","king","nemat","gibt","borrometi","feder","modi","fabrik","licht","betten","lernen","familien","muenchen","alt"
"38","wirkt","gerne","stunde","schmidt","jahre","augen","gesagt","geworden","mag","geworden","stadt","literatur","tun","welt","alter","wissen","erinnert","jungen","uhr","gefuehl","kindern","schueler","selten","flick","the","tun","los","gut","vater","schulen","dachte","frueher","all","alter","geschichte","kennt","arbeit","zeit","sitzt","heute","all","all","eltern","stefan","gern","art","film","jahre","schrieb","gott","klingt","film","abend","jungen","berg","schule","strasse","kleine","junge","berlin","polizei","erinnert","dorf","lebt","namen","polizei","liebe","junge","klasse","freunde","buch","geschichte","schule","gern","clara","alt","abi","vukovic","bohn","arzt","tut"
"39","findet","alte","alte","ersten","deutsch","jugendliche","hoeren","gefuehl","tag","gerne","gibt","erlebt","graf","liess","maennern","gern","familien","milieu","jungen","tun","geworden","jugend","kampusch","stunden","spaeter","john","wirkt","fragt","neun","yanhui","alte","madoff","bisschen","ehemaligen","kind","jahre","zeit","rand","padellaro","beitz","jahre","briefe","auto","name","sitzen","stadt","  peter","barlach","gerne","grenze","manhattan","buergermeister","mensch","eva","reden","jahre","macht","buch","sitzt","deutsch","familien","lesen","bolt","gern","homoeopathie","caracas","haus","maenner","minuten","aids","figuren","tschechen","buch","sitzt","schule","lernen","arbeit","humboldt","arbeitet","kind","lebens"
"40","schule","leute","mutter","vergessen","vater","kind","wort","schrieb","spaeter","alte","vater","vater","kunst","erzaehlt","klingt","tag","job","gerne","junge","mag","kennt","hinz","rablstadler","schueler","laecheln","licht","knabe","schell","sah","wusste","arbeitet","cundey","papst","her","klingt","macht","buecher","brossardt","irgendwann","zeit","karriere","bild","bisschen","kleine","zeit","gefuehl","sitzen","jungen","kopf","namen","geht","hause","buero","uhr","ersten","konnte","maenner","lieber","art","reden","weissen","strasse","gefuehl","gruppe","sohn","lieber","buch","erzaehlen","filme","mdr","maedchen","uhr","beziehung","recanati","konnte","nai","erzaehlt","kennt","kind","kindern","internat"
"41","roberts","lang","bilder","lesen","tun","junge","spaeter","bilder","hitler","arbeit","maenner","generation","deutsch","lernen","geld","gibt","geboren","konnte","geworden","bisschen","schueler","macht","glaubt","verrat","karriere","all","contergan","heute","griechen","beruf","stolz","jungen","mag","geschichte","gelernt","sandmaennchen","karriere","geschichte","mutterschaft","generation","geboren","buch","kind","verdienen","fragt","schreibt","kuenstler","theater","junge","schaut","alte","new","geht","woodley","gott","kirche","glueck","junge","polizei","helmut","haus","denkt","augen","bilder","alt","sitzen","bisschen","leere","mutter","heimat","rietzschel","wort","gesagt","gerne","bisschen","karriere","kopp","wein","angeles","job","zeit"
"42","kind","augen","angst","bisschen","kind","art","all","k","geld","geboren","jungen","wissen","mag","frueher","erlebt","ddr","jahre","hause","beruf","lieber","gefuehl","gerne","stunde","paar","job","laesst","stunde","uhr","job","links","gerne","arbeitet","wissen","mutter","erinnert","geschenke","wissen","pflege","hause","alten","leber","martha","alten","konnte","tag","james","sitzt","unseld","kindern","mensch","ging","de","bauen","ziemlich","halb","findet","gehen","sucht","mag","haus","paar","bilder","lang","schule","literatur","remo","maenner","literatur","lesen","polizei","erzaehlt","sitzt","dornheim","mensch","arbeiten","abend","stunden","supermarkt","the","polizei","frueher"
"43","sah","jungen","bild","erzaehlt","verlag","namen","endlich","mag","mutter","sohn","kollegen","familie","kennt","alt","kunst","macht","frueher","jahre","erzaehlt","generation","diesmal","lesen","maenner","jahre","jahre","leser","macht","frauen","geschichte","erinnert","leute","buero","jungen","strasse","ziemlich","paar","schwartz","gelernt","kindern","alte","schwarz","tag","arbeitet","dinge","stunden","tag","alt","bisschen","suhrkamp","sitzt","kopf","leser","luis","kultur","fragt","kindern","demonstranten","minuten","angst","buch","hotel","kuenstler","gesehen","buecher","lyrik","buch","bognanni","simbabwe","spaeter","realismus","heute","strasse","christchurch","gujarat","ikea","junge","schueler","geschichte","sterben","angst","ging"
"44","tochter","schiller","roman","tun","frauen","familien","laesst","gesagt","art","urbani","familie","tod","kopf","schmidt","mag","konnte","gern","fragt","kamen","sanjoy","fernsehen","genau","faehrt","jungen","alt","sitzt","gibt","fuers","publikum","mondavi","vater","mutter","arbeit","karriere","morgen","stimme","geburt","hebammen","erinnert","westen","gerne","macht","strasse","stueck","maennern","vater","essen","stadt","alten","kilometer","begann","alten","josten","los","kennt","ort","fernsehen","sitzt","tag","schneider","erzaehlt","belgrad","jahre","spaeter","wiener","aethiopien","jahre","jahre","alt","eltern","uhr","wasser","namen","geschichte","kunst","polnischen","sellmeier","gefuehl","jungen","gibt","larson"
"45","lebt","journalisten","erinnert","sitzt","erzaehlt","alte","job","kind","gefuehl","tun","denkt","kapitel","erlebt","ziemlich","tag","bahr","kollegen","macht","gerne","schriftsteller","schreibt","bisschen","gesagt","gott","art","haus","laesst","alter","spass","lehrer","schwarzen","karriere","stolz","edda","paar","kahawatte","schreibt","macht","frueher","erzaehlt","geschichte","wollten","jugendliche","sohn","freunde","frueher","tat","beruf","welch","musik","vater","wusste","abends","le","mag","reden","schule","arbeit","wohnung","gekommen","unterwegs","klingt","familien","freital","arbeitet","maduro","helmut","lachen","gemacht","jahre","wort","lesen","lebt","kirche","bekam","wut","zwei","zwei","spaeter","bisschen","unterricht"
"46","alter","kopf","welt","haus","alten","gern","s","wissen","geht","irgendwann","kirche","sohn","gehoert","reden","schule","all","bekommt","wissen","denkt","gesagt","mag","leute","verlag","gemacht","alter","konnte","stunden","findet","konnte","all","idee","erinnert","dinge","kolumbien","leuten","sitzt","glueck","woessmann","gerne","fontane","guttenberg","schule","new","sitzt","borgen","zeit","gestaendnis","buero","tag","paul","tag","geboren","maedchen","revolution","alt","alte","musik","jahre","liebe","abend","auto","duesseldorfer","haus","island","deutsch","haus","hause","stunden","buecher","club","lehrer","schueler","erinnert","lang","kočner","lang","lang","virus","nowak","geschichte","abend"
"47","angst","publikum","wissen","genau","hans","frueher","scarlette","zwei","kirche","uhr","alter","grossvater","alte","geboren","spiegel","spaeter","all","spaeter","ehe","sohn","moechte","arbeiten","alten","gesicht","namen","wirkt","maedchen","reden","hause","spielt","fotos","draussen","gern","steinke","job","geschenk","tag","arbeitet","buch","christen","los","sitzen","fenster","alt","vater","geht","auto","schule","gern","sitzen","yellow","arbeitet","gemeinderat","buch","jahre","arbeiten","ging","liebe","gefuehl","konnte","roman","sitzt","fotos","geht","bisschen","tod","freunde","lieber","luther","maennern","fluechtlinge","henle","ersten","fernsehen","essen","billi","wuhan","gerade","toyoki","arbeit","selten"
"48","augen","gesicht","spricht","kennt","worte","anzug","essen","stunden","laesst","film","alten","kindern","gibt","the","marlon","geboren","film","kapitalismus","reden","rede","tiefe","begriff","lesen","the","freunde","minuten","bringt","beruf","troja","publikum","fernsehen","sex","erinnert","deutsch","redet","ging","spaeter","alten","publikum","lesen","sohn","sohn","generation","noguchi","glueck","wort","jungen","gehoert","hoert","park","gerne","mensch","markus","geld","gipfel","behinderung","fragt","stimme","uhr","frueher","bisschen","weisberg","ort","angst","uhr","mutter","osten","roman","civil","konnte","wasser","gibt","tag","ukrainer","tochter","leute","angst","telefon","zeitung","zwei","tun"
"49","machtlfing","stolz","kleine","wort","ging","vater","uhr","geschichten","beginnt","kollegen","all","findet","jahren","frau","zimmer","sprache","irgendwann","laecheln","lebens","macht","minuten","mutter","schweiz","nation","gibt","katholischen","haus","lebt","alten","zhou","kollegen","sitzt","augen","haus","gefuehl","journalisten","kollegen","bisschen","macht","schoenen","paar","kind","karriere","frueher","verlag","gerne","tod","begann","heute","gebaut","gesagt","joerg","lebens","band","erlebt","gefuehl","muenchen","hotel","jahre","familien","denkt","kleine","doug","gewalt","kindern","unterricht","polizei","joshua","scholl","zwei","altamira","auto","gomez","haengen","schumann","tag","yang","reden","lang","macht","spaeter"
"50","sohn","jahre","ort","professor","frueher","wusste","selten","wirkt","jahrhundert","maenner","ersten","wahrheit","axel","strassen","robert","literatur","art","namen","laengst","jessica","folgt","internet","gedacht","dylan","gefuehl","gern","gesicht","kurz","lange","wissen","tag","strasse","frueher","kennt","gesicht","freund","frueher","arbeitgeber","gemacht","macht","maedchen","ging","ging","bisschen","nyborg","sitzt","meter","geld","schreibt","strasse","konnte","arbeiten","jugend","schule","tun","geschichte","karriere","voller","strasse","angst","rechten","spaeter","uhr","fragt","alten","kirche","athener","hitler","liebe","mohammed","morgens","spaeter","meurisse","liest","ingvar","hoeren","sohn","grafenwoehr","vater","kamen","job"
