"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.8213","5.0539","5.0529","7.1181","6.8582","10.9528","5.6874","6.9752","9.8755","9.3331","4.3885","6.8564","9.1203","5.9064"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","kinder","anleger","stadt","inflation","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","  ","dax","studenten","zentralbank","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","euro","gesetz","menschen","dollar","millionen","zinsen","quartal","cdu"
"5","ki","bruessel","energiewende","mrd","peking","gibt","anleger","arbeitgeber","frauen","investoren","muenchen","banken","deutschland","fdp"
"6","firma","russland","energie","millionen","russland","heute","kunden","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","krieg","demokratie","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","daten","britischen","erneuerbaren","mio","chinesischen","deutschland","geld","arbeitnehmer","eltern","boerse","hamburger","eurozone","deutschen","union"
"9","manager","frankreich","industrie","quartal","trumps","freiheit","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","afd"
"10","startups","land","co","unternehmen","ukraine","soziale","sparkassen","gewerkschaften","maenner","anleihen","saison","griechenland","deutsche","csu"
"11","digitale","briten","preise","geschaeft","iran","leben","versicherer","ig","leute","gold","trainer","iwf","entwicklung","kanzler"
"12","digitalisierung","parlament","klimaschutz","aktie","washington","tun","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","scholz"
"13","intelligenz","premier","tonnen","siemens","chinesische","sozialen","immobilie","unternehmen","stadt","usa","berlin","euroraum","investitionen","merz"
"14","mitarbeitern","london","produktion","jahr","praesident","zukunft","investoren","metall","heute","punkten","fussball","italien","konsum","schroeder"
"15","google","europaeischen","pro","vorstandschef","land","europa","markt","berlin","vater","bank","berliner","draghi","deutlich","angela"
"16","fuehrungskraefte","tuerkei","kohle","rund","obama","frage","eigenkapital","kommunen","erzaehlt","aktienmarkt","sport","notenbanken","aufschwung","kanzlerin"
"17","digitalen","pfund","erdgas","mill","amerika","globalisierung","kredite","arbeit","mutter","fed","gaeste","dollar","prognose","parteien"
"18","arbeiten","polen","preis","analysten","donald","staat","commerzbank","rente","spaeter","punkte","kunst","europaeischen","oekonomen","waehler"
"19","branche","putin","anlagen","vw","putin","buerger","rendite","regelung","junge","rendite","hochschulen","usa","erwartet","bundestag"
"20","software","europa","deutschland","geschaeftsjahr","staaten","politischen","mieten","kommission","jahre","minus","mannschaft","schulden","arbeitsmarkt","wahl"
"21","neue","premierminister","ausbau","konzerns","bush","fragen","aktien","muesse","tag","index","studium","europaeische","nachfrage","ministerpraesident"
"22","beispiel","moskau","rwe","uebernahme","irak","wissen","vermoegen","gewerkschaft","kind","zinsen","fans","finanzmaerkte","rezession","sozialdemokraten"
"23","technologie","russischen","foerderung","volkswagen","amerikaner","herr","kaeufer","bahn","jungen","renditen","verein","euro","weltwirtschaft","wahlkampf"
"24","mittelstaendler","may","eon","bayer","xi","gerade","mieter","fordert","buch","papiere","reisen","rezession","erholung","stoiber"
"25","produkte","referendum","erneuerbare","hersteller","praesidenten","bevoelkerung","frankfurt","gesetzlichen","schule","aktienmaerkte","messen","oekonomen","firmen","lindner"
"26","deutschland","russische","verbraucher","bmw","uspraesident","brauchen","altersvorsorge","vorschlag","sohn","leitindex","touristen","waehrung","befragten","bundestagswahl"
"27","unternehmens","praesident","barrel","verkauf","biden","denken","bafin","massnahmen","kindern","gewinne","hotels","leitzinsen","plus","seehofer"
"28","gruender","johnson","kraftwerke","daimler","regierung","verantwortung","risiken","duerfen","zeit","experten","liga","zinssenkung","anstieg","berlin"
"29","anbieter","italien","kosten","aktionaere","westen","beispiel","kapital","entwurf","geschichte","quartal","besucher","leitzins","rechnet","gruene"
"30","unternehmer","landes","emissionen","kunden","nato","macht","institute","regelungen","alt","maerkte","lesen","maerkte","bip","opposition"
"31","amazon","koenigreich","landwirtschaft","basf","amerikanischen","zeit","renditen","betriebe","hause","morgan","kuenstler","waehrungsunion","kommenden","regierung"
"32","berater","kommission","opec","ersten","zoelle","sicherheit","sparer","handelsblatt","uhr","wall","klubs","kredite","verbraucher","soeder"
"33","markt","austritt","cent","dollar","welt","marktwirtschaft","private","verfahren","sitzt","plus","koeln","wachstum","vorjahr","liberalen"
"34","geschaeft","union","wind","sap","israel","buch","preise","sprecher","job","markt","bundesliga","krise","rechnen","linken"
"35","kuenstliche","paris","klimawandel","konzernchef","europa","politische","immobilienmarkt","clement","macht","woche","hotel","wirtschaft","zahl","bundeskanzler"
"36","familienunternehmen","frankreichs","gruene","operative","sanktionen","wohlstand","immobilienfonds","heisst","arbeit","anlegern","veranstalter","anleihen","gestiegen","habeck"
"37","innovationen","ungarn","bauern","branche","russischen","recht","quadratmeter","gesetzentwurf","bisschen","usnotenbank","euro","staaten","vergleich","amt"
"38","mittelstand","europaeische","grad","lufthansa","indien","geht","branche","kosten","gibt","street","klub","notenbanker","prognosen","mehrheit"
"39","chef","berlusconi","bau","ergebnis","republikaner","glaube","wirecard","bundes","haus","staatsanleihen","spiele","waehrungsfonds","minus","umfragen"
"40","microsoft","sarkozy","bundesregierung","konkurrenten","demokraten","richtig","anleihen","betroffenen","alten","vergangenen","wm","finanzmaerkten","erwarten","linke"
"41","technologien","grossbritanniens","liter","thyssenkrupp","volksrepublik","wissenschaft","risiko","milliarden","stunden","freitag","tourismus","bank","monaten","bayern"
"42","nutzer","insel","nachfrage","vorjahr","russische","verstehen","eigentuemer","regeln","liebe","dow","league","zinssenkungen","umfrage","politik"
"43","telekom","ukraine","netz","porsche","taiwan","bildung","vermieter","deutschland","lebt","aktienkurse","mark","japan","stark","merkels"
"44","nutzen","abkommen","habeck","autos","soldaten","braucht","finanzkrise","bundestag","konnte","fondsmanager","universitaeten","lagarde","duerfte","gerhard"
"45","management","cameron","wasser","boersengang","chinesen","angst","darlehen","urteil","frueher","aktienmaerkten","universitaet","europa","lage","ministerpraesidenten"
"46","startup","franzoesischen","gruenen","vergangenen","dollar","system","banker","koalition","angst","fiel","flughafen","regierung","bruttoinlandsprodukt","stimmen"
