"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"28","struck","politischen","gerhardt","bundestag","gysi","stimmen","cdu","merkel","rede","debatte","fdp","rotgruenen","waehler","stoiber","csu","fischer","fischer","fdp","csu","gabriel","umfragen","frau","seidel","linkspartei","kreuth","ruecktritt","linkspartei","bundespraesident","sozialdemokraten","lafontaine","lafontaine","maget","wahl","sozialdemokraten","wahl","trittin","pohlmann","bundestag","fuecks","wulff","minister","rotgruen","lindner","parteichef","mehrheit","bundestag","gewaehlt","ministerpraesidenten","wowereit","gewaehlt","bundestag","parteitag","nrw","lucke","wehrtechnik","bundesregierung","ministerpraesidenten","fdp","politiker","mehrheit","union","wahlkampf","fluechtlingen","schaeuble","rutte","françois","macron","waehler","regieren","antrag","regierung","soeder","soeder","europaparlament","kandidaten","ministerpraesident","linken","bayern","badenwuerttemberg","sozialdemokraten"
"29","ruecktritt","sozialdemokraten","buergermeister","politik","pieper","kandidaten","stoibers","parteien","muentefering","linken","fischer","fischer","angela","horst","opposition","wehrpflicht","abgeordnete","muenteferings","bundeskanzler","grosse","huber","berlin","npd","leipzig","ausstieg","ministerpraesidenten","ramsauer","amt","beust","beck","bundeskanzlerin","ministerpraesident","horst","ministerpraesident","wulff","heil","langemeyer","mehrheit","buergermeister","abgeordnete","scholz","schwarzgelb","gabriel","bruederle","aussenminister","liberale","sozialdemokraten","roesler","westerwelle","gabriel","helmut","koalitionsverhandlungen","minister","kandidat","parteien","waehler","finanzminister","rostock","abgeordnete","amt","budde","sozialdemokratie","steigerwald","mehrheit","marine","sozialdemokraten","kohl","regierung","bayern","merkels","schaeuble","friedrich","koalitionsvertrag","kandidaten","linken","sachsen","merkels","markus","parlament","kanzleramt"
"30","union","steffel","edmund","vertrauensfrage","kohl","huber","spaeth","mehrheit","wolfgang","wahl","berlin","merkel","cduchefin","wahlen","koalition","westerwelle","wolfgang","schroeders","grosse","gruenen","fraktion","merkels","landtag","gesundheitsreform","landtagsfraktion","wahlkampf","hessen","pauli","schroeder","linken","amt","ramsauer","steinbrueck","grundgesetz","sozialdemokraten","bundestag","schaeuble","roland","debatte","bundesbank","parteien","freiheit","ministerpraesident","opposition","waehler","ministerpraesidenten","ilse","gesagt","kohl","horst","kohl","steuererhoehungen","parteien","kanzlerin","amt","linken","koalitionspartner","spdchef","heidenau","spahn","politik","linke","erdogan","amt","gauck","marine","obergrenze","amt","linke","ministerpraesident","soeder","hartmann","amt","amt","parteien","friedrich","landtag","berlin","armin","gruene"
"31","ministerpraesidenten","gruene","hamburg","buergermeister","ministerpraesident","politik","rotgruenen","politik","fdp","mehrheit","bundeskanzler","ministerpraesidenten","politik","bundesregierung","wahlen","sachsen","bundeskanzler","reformen","schwarzgelb","koalitionsverhandlungen","edmund","neuwahlen","ministerpraesidenten","muesse","programm","stoibers","seppelt","waehler","franz","kanzlerin","fdp","waehler","muentefering","linke","frankwalter","rede","ahlhaus","guido","regierung","aussenminister","gabriel","opposition","merkels","bundesregierung","hannover","parteien","kreis","freistaat","wirtschaftsminister","schroeder","  baum","schaeffler","fraktion","opposition","politik","schaeuble","bayern","spiegel","liberalen","finanzminister","wolf","kanzler","politiker","politik","merkels","parteien","stimmen","gabriel","waehler","horst","sozialdemokraten","hessen","annegret","rede","ministerpraesident","fdp","friedrich","pis","amt","spahn"
"32","amt","angela","bundeskanzler","ampel","sachsenanhalt","spaeth","mehrheit","kabinett","landtagswahlen","bayern","bayern","mehrheit","reformen","nordrheinwestfalen","gerhard","bundestag","maichel","ministerpraesident","mehrheit","steinbrueck","erwin","heil","freiheit","politik","bundeskanzlerin","roewekamp","steinbrueck","politischen","angela","bundestagswahl","parteien","linken","linkspartei","politik","merkels","steuersenkungen","amt","ruettgers","profil","berliner","debatte","amt","wulff","wirtschaftsminister","linken","niederlage","kohl","steinbruecks","minderheitsregierung","konservativen","amt","taz","steinmeier","liberale","koalitionspartner","sarkozy","schaeuble","politik","waehler","bundesregierung","sigmar","bellen","verantwortung","fluechtlingskrise","politiker","emmanuel","sozialdemokraten","verantwortung","koalitionsverhandlungen","amt","schroeder","parteien","bundesregierung","sonntag","wahlen","bundestagswahl","bundestag","opposition","thueringen","opposition"
"33","minister","schroeders","bayern","beust","stimmen","ministerpraesident","wahlsieg","gruene","stoiber","berlin","scholz","parteitag","amt","howard","griese","carstensen","hartz","kapitalismuskritik","wahlergebnis","ministerpraesident","franz","montag"," ","henkel","parteichef","linken","andrea","strauss","fdp","gegner","ypsilanti","opposition","wirtschaftsminister","linkspartei","sonntag","guido","wowereit","finanzminister","opposition","fruehere","mcallister","kauch","schaeffler","westerwelle","schmidt","westerwelle","wahl","gabriel","bundestag","soeder","  waigel","merkels","berlin","csu","minister","sozialdemokraten","abgeordneten","aigner","fluechtlinge","horst","umfragen","bundeskanzlerin","wahl","demokratie","sigmar","bundestagswahl","ministerpraesident","sozialdemokraten","gruenen","wahl","berlin","ministerpraesident","nooke","klimaschutz","cduchefin","bundeswehr","linkspartei","wahl","kanzleramt","kutscher"
"34","gruene","politik","politischen","edmund","opposition","ministerpraesidenten","merkel","kanzlers","koch","berliner","beust","howard","parteien","stimmen","wahlkampf","gesundheitskompromiss","kritik","helmut","rotgruen","sozialdemokraten","guenther","alleinstellungsmerkmal","sozialdemokraten","landtag","horst","horst","umfragen","volkspartei","amt","koehlers","politik","politik","ministerpraesidenten","raschke","maas","waehler","waehler","stimmen","westerwelle","amt","wahlen","mehrheit","kohl","regierung","bundeskanzlerin","stimmen","sonntag","stoess","rede","staatsregierung","legislaturperiode","kanzleramt","kritik","wirtschaftsminister","flughafen","schwarze","ramsauer","ehmke","kabinett","gruenen","zorneding","wien","linken","konservativen","kandidaten","gruene","gabriel","regieren","merkels","waehler","kanzler","bundestag","schneider","anhaenger","kretschmer","kanzler","suder","esken","habeck","schroeder"
"35","kabinett","ldp","hamburger","fraktion","schroeders","hoeppner","moellemann","politischen","gruene","wolfgang","glos","ldp","ministerpraesident","amt","brandenburg","parteitag","regierung","lafontaine","muentefering","land","steinbrueck","gruenen","vorsitzende","volkspartei","berliner","freiheit","koalitionspartner","gerechtigkeit","mehrheit","linkspartei","haider","frankwalter","bayern","bundespraesident","buendnis","hilmer","nordrheinwestfalen","schroeder","kraft","wahlkampf","umfragen","helmut","rotgruen","koalitionspartner","guido","philipp","bundeskanzlerin","betreuungsgeld","gruene","sozialdemokratie","afd","soeder","thueringen","gruene","bundestag","lindner","griechen","lobbyisten","gewaehlt","transitzonen","linke","gewaehlt","wahlkampf","sozialisten","links","bundeskanzler","rede","okamura","ofd","abgeordneten","kauder","wahl","olaf","nahles","bismarck","kanzleramt","amt","muesse","kandidaten","parlament"
"36","parteien","reformen","scholz","wahlkampf","steffel","rau","sonntag","wahlkampf","bundestag","bundestag","fraktion","beust","berlin","fischer","umfragen","friedrich","landtagswahl","ruettgers","sozialdemokraten","bundeskanzlerin","berlin","bundeskanzler","bundestagswahl","kabinett","pauli","mehrheit","stuehmer","koch","kurt","niedersachsen","wolf","parteitag","frankwalter","ruettgers","buerger","gewaehlt","fruehere","kochs","liberalen","linken","laufzeitverlaengerung","landesregierung","gruene","liberale","schlarmann","norbert","wirtschaftsminister","wahl","sozialdemokraten","barwasser","politik","wowereit","bundeswehr","linke","arnold","bundeskanzlerin","aigner","finnen","offen","kerber","buerger","csuchef","bundestagswahl","hollande","gabriels","linke","bayern","koalitionsverhandlungen","fluechtlingspolitik","geht","bundesregierung","gruene","volksbegehren","freistaat","emder","csu","nordrheinwestfalen","parteien","berlin","landtag"
"37","erwin","bundestag","schily","rotrot","guido","bundeskanzler","politischen","fdp","wiefelspuetz","clement","stimmen","mueller","stimmen","bundestag","osten","franz","milbradt","gruene","ergebnis","barzel","badenwuerttemberg","bundeskanzlerin","volkspartei","koch","minister","kandidaten","themen","spdchef","politisch","grundgesetz","bzoe","linkspartei","mehrheit","kommers","lafontaine","koalitionsvertrag","finanzminister","merkels","rentengarantie","bundeskanzlerin","linken","liberalismus","wirtschaftsregierung","mitglieder","bundestagswahl","wahl","enders","waehlern","ministerpraesident","opposition","linkspartei","horst","ministerpraesidentin","wahl","legislaturperiode","gruene","themen","bundeskanzlerin","minister","parteien","ministerpraesident","sigmar","mehrheit","le","bundestagswahl","linken","ergebnis","minderheitsregierung","soeder","frau","wahl","baerbock","opposition","buergermeister","paqué","positionen","scholz","bayerns","sebastian","merkels"
"38","berliner","parteien","westerwelle","wedemeier","bundestagswahl","wolfgang","cducsu","genossen","politik","waehler","ole","fraktion","ministerpraesidenten","zuwanderungsgesetz","blair","hoehn","sozialdemokraten","parteien","politischen","parteien","konservativen","gestern","lebensluegen","adenauers","gerhard","landtag","sachsen","wieczorekzeul","buergermeister","monster","mehrheit","sozialdemokraten","bund","bayern","schwarzgelb","koalitionsverhandlungen","liberalen","bundespraesident","beust","persoenlich","kraft","berlin","wirtschaftsminister","ministerpraesidenten","niederlage","wahlkampf","rainer","schroeder","bundeskanzlerin","ministerpraesident","liberalen","bund","sozialdemokraten","mehrheit","schwedische","wahlgang","valls","opposition","vizekanzler","schmidts","aigner","rechtspopulisten","amt","fluechtlinge","bundestag","frankreichs","gruene","parteichef","amt","olaf","wolfgang","minister","fraktion","opposition","wolle","merkels","markus","bundesregierung","wahlkreise","scholz"
"39","waehler","berliner","wulff","mueller","schill","kanzlerkandidat","ministerpraesident","legislaturperiode","bundesregierung","agenda","petersen","thierse","politischen","kanzleramt","maas","vesper","gruene","umfragen","umfragen","cducsu","bundeskanzlerin","parteispitze","umfragen","wulff","neujahrsempfang","buttolo","metz","liberalen","ypsilantis","sperrminoritaet","angela","huber","agenda","muentefering","muentefering","schwarzgelben","haushaltsloch","ministerpraesidenten","speer","liberalen","kauder","politischen","schaeuble","kanzleramt","ministerpraesidenten","parteichef","berliner","fraktion","demoskopen","stewens","horst","eucken","wahlkampf","ministerpraesident","afd","stimmen","parteien","waehler","rechtsextremen","radmann","haseloff","fluechtlingskrise","minister","seehofer","pvv","nordrheinwestfalen","berlin","politische","sonntag","nrw","innenminister","nahles","gelbwesten","wippel","gruene","annegret","umfragen","schroeder","olaf","stimmen"
