"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"30","usa","vorstandschef","airbus","konzerns","erwartet","milliarden","gesamtjahr","geschaeft","branche","prognose","konzerns","uebernahmen","fjh","kapitalerhoehung","unternehmen","schweizer","zahlen","gewinn","sparten","schrempp","ag","wettbewerber","hohen","unicredit","mill","management","konzerns","ktg","boersengang","rund","toyota","autohersteller","konkurrenten","ebit","cadbury","autos","bmw","sparte","siemens","geschaeftsjahr","fluggesellschaften","frenzel","vorstandschef","scania","analysten","ergebnis","thyssenkrupp","konzernchef","boersengang","basf","eplus","metro","stahl","konzerns","einstieg","stahlhersteller","nike","appel","unternehmens","aktie","verkauf","lufthansa","boerse","konkurrenten","bombardier","dollar","bain","kraftwerkssparte","samsung","bosch","konzerns","vorstand","hersteller","basf","konzerns","zulieferer","mitarbeiter","quartal","ag","rund"
"31","plus","erwartet","steuern","abb","verkauf","aktionaere","branche","analyst","operative","minus","kunden","unternehmens","veolia","wcm","peoplesoft","rast","geschaeftsjahr","boerse","geschaeftsjahr","schroederwildberg","dollar","quartal","geschaeft","boersengang","zetsche","uebernehmen","condor","airbus","jahr","vw","konkurrenten","geschaeftsjahr","schaeffler","bernotat","oracle","jahr","saab","verlust","konzerns","kkr","airbus","konkurrenten","aktionaere","nachfrage","verkauf","bosch","vorjahr","september","reitzle","infineon","berthold","kerze","milliarde","bosch","malaysia","vw","fluggesellschaft","konzerns","escada","markt","opel","konkurrenten","unternehmens","eurowings","rund","geschaeft","armani","vw","verkauf","tata","kaeser","vw","autos","lufthansa","volkswagen","uebernahmen","zulieferer","konzerns","zulieferer","aktie"
"32","vierten","minus","unilever","september","teilte","basf","sap","rechnet","geschaeft","vorjahr","rund","verlust","dividende","verkauf","wpp","bank","ag","bolloré","halbjahr","aktionaere","jahr","rim","holcim","gallois","nordenham","schwarzman","bernhard","unternehmen","rund","scania","millionen","fahrzeuge","autobauer","verlust","airlines","dnb","zahlen","operative","gesamtjahr","alcon","vorjahr","konzerns","philips","konzerns","konkurrenten","konzernchef","autos","unternehmen","aufsichtsrat","volkswagen","konzerns","kunden","konkurrenten","basf","aufsichtsrat","koch","aktienkurs","vergangenen","munich","vorstand","autos","operative","zusammenschluss","toyoda","aufsichtsrat","autos","vw","mitarbeiter","gemalto","tigges","branche","knorrbremse","aufsichtsrat","operative","busch","stiftung","autos","schuh","manager","aufsichtsrat"
"33","milliarden","gzbank","umsatzes","vorjahr","uebernahme","vorjahr","fusion","verlust","erwartet","aktionaere","milliarden","sank","carlsberg","uebernahme","geschaeftsjahr","konzerns","ellison","tci","chrysler","branche","dresdner","schweickart","kulterer","gemkow","millionen","bodner","marken","knapp","autos","loescher","unternehmen","verkauf","airbus","aktie","jahr","poetsch","dividende","siemens","vorjahr","mitarbeiter","aktie","enders","konkurrenten","analysten","sparte","konkurrenten","operativen","wertberichtigungen","vorstand","europa","halbjahr","solarworld","jahr","vergangenen","fluggesellschaften","vorstandschef","zehn","konzernchef","ersten","aufsichtsrat","mifa","uebernahmen","jahr","airline","gewinn","konzerns","fahrzeuge","enders","milliarden","hero","hiesinger","fusion","diesel","glyphosat","daimler","boerse","kaellenius","aufsichtsrat","autobauer","marken"
"34","angaben","zahlen","ersten","boss","laufende","chrysler","vorstandschef","steuern","vorstandschef","ollila","vorstandschef","ag","xfab","vergangenen","aareal","lag","ferraris","milliarden","unternehmen","analyst","hiess","boersengang","hypo","co","mtu","gls","rund","volkswagen","toyoda","operative","continental","prognose","weltweit","konzerns","air","verkauf","geschaeftsjahr","buergschaften","zahlen","novartis","mittal","walmart","vw","pfund","vorstandschef","dollar","basf","rund","kunden","rund","autos","tree","uebernahme","sparte","vw","europa","passagiere","utnegaard","basf","vorstandschef","uebernahme","leverkusener","kaeser","jahr","aktie","witter","fluggesellschaft","kell","millionen","autobauer","euro","glyphosat","lienhard","hauptversammlung","gewinnwarnung","verkauf","finanzvorstand","produktion","mercedes","osram"
"35","verkauf","ibm","weltweit","neun","stieg","lufthansa","lufthansa","verkauf","vierten","branche","geschaeft","stieg","ergebnis","zahlen","vorstandschef","franken","rampl","vergangenen","erwirtschaftet","uebernahme","aktie","ergebnis","zweiten","einstieg","quartal","kkr","jahr","tnt","dresdner","uebernehmen","appel","vorstandschef","prognose","volkswagen","operativen","autobauer","douglas","analysten","uebernahme","dekkers","lufthansa","fiat","operativen","tui","rund","analysten","unternehmen","geschaeft","management","geschaeft","senn","verkauf","berlin","operativen","konkurrenten","geschaeft","schreyer","spohr","quartal","bmw","jahr","linde","fielmann","basf","mitarbeitern","fahrzeuge","hymer","englisch","boerse","cryan","kunden","investoren","belegschaft","mercedes","bmw","vodafone","finanzinvestoren","hersteller","bmw","ezigaretten"
"36","chrysler","konzerns","operativen","analyst","vierten","schmid","geschaeftsjahr","halbjahr","sap","uebernahme","peoplesoft","bank","hochtief","vorstandschef","konzernchef","neun","sander","ergebnis","siemens","weltweit","ministererlaubnis","microsoft","verkaufen","gerhard","ig","konzernchef","lurchi","umsatzes","operative","aktie","rund","unternehmen","saab","arcandor","gesamtjahr","henderson","ergebnis","snabe","analysten","sparte","legte","analysten","spohr","post","legte","konzerns","kunden","plus","unternehmen","verkauft","steiner","unternehmens","vergangenen","jahr","raiffeisen","larrea","rollsroyce","rund","berlin","carrefour","bochum","bmw","bosch","cromme","unternehmens","verkauf","mitarbeiter","unternehmens","schmitz","fahrzeuge","henkel","verkauft","manager","konzernchef","fortum","kunden","metro","schutzschirmverfahren","rund","verlust"
"37","aktionaere","laufenden","oracle","boerse","aegon","dollar","mlp","fusion","analyst","schweizer","ag","woehrl","rund","unternehmens","konzerns","geschaeftsjahr","millionen","branche","swiss","avion","diekmann","analysten","uebernahmen","affaere","carrefour","abn","werk","abschreibungen","interessenten","aktionaere","analysten","analysten","siemens","operative","millionen","baete","analysten","bank","opel","aktie","aktionaere","millionen","schiesser","bestellungen","operativen","rund","aktie","bilanz","hauptversammlung","hersteller","hochtief","ergebnis","autos","kapitalerhoehung","bilfinger","gewinne","uebernahme","bodner","bock","geschaeft","aufsichtsrat","vorstandschef","fusionen","mitarbeiter","henkel","air","marken","geschaeft","skoda","guss","audi","konzerns","kuka","spiesshofer","hersteller","vorstand","konzernchef","finanzchef","branche","basf"
"38","erwartet","bombardier","geschaeft","konkurrenten","konzernchef","geschaeftsjahr","erwartet","minus","gestern","laufenden","zweiten","neun","£","airlines","fusion","ergebnis","verlust","gestern","ersten","flight","fusion","unternehmens","verlust","mill","verkauft","spanischen","autohersteller","aktionaere","absatz","franken","stellenabbau","volkswagen","kurzarbeit","ammer","milliarden","wirtschaftskrise","finanzvorstand","reilly","audi","daimler","vorstandschef","eads","aktie","knapp","brasilien","branche","post","dudenhoeffer","goodwill","aktie","jahr","unternehmen","volkswagen","aktionaeren","italienischen","juergen","dollar","aufsichtsrat","gewinn","spitze","ifa","marken","praxair","groesste","fahrzeuge","ebit","audi","vorstandschef","belegschaft","hilburger","autoindustrie","boersengang","unternehmens","autos","konkurrenten","vw","geschaeftsjahr","airlines","verkauf","analysten"
"39","branche","erwirtschaftet","vorjahr","geschaeft","mobilcom","gestern","vorjahr","milliarden","philips","erwartet","verkauf","metro","sap","rund","risikovorsorge","gesamtjahr","claas","aktionaere","gesamtjahr","tem","geschaeft","geschaeft","rund","neun","hauptversammlung","boersengang","investmentbanking","rund","kapitza","millionen","dresdner","wiedeking","alcoa","verkauf","dollar","uebernahme","fahrzeuge","unternehmen","dpa","general","gallois","vorstandschef","rueckversicherer","uebernahme","draeger","schiesser","lufthansa","werke","asien","ergebnis","telekom","absatz","beteiligung","zumtobel","volkswagen","manager","maschine","insolvenz","re","china","thyssenkrupp","boersengang","konzerns","airbus","barra","covestro","dieselmotoren","hundsdoerfer","manager","autoindustrie","clariant","mahle","germania","abb","fusion","management","vorstand","liquiditaet","thyssenkrupp","verkauf"
