"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"19","wirtschaft","steuerreform","reform","dm","peters","streiks","bdi","eigenheimzulage","muesse","mrd","bundesrat","unternehmen","rente","union","bahn","spd","gesetzentwurf","senken","subventionen","reform","rechtschreibung","oeffentlichen","eigentumsmodell","kritik","verlaengerung","staat","erbschaftsteuer","tarifvertrag","handelsblatt","bruessel","riester","huber","handelsblatt","antraege","regelungen","steuereinnahmen","fdp","sprecher","milliarden","bauherren","liechtenstein","moeller","eib","verfahren","arbeitnehmer","richter","geplante","umsetzung","badenwuerttemberg","selbstanzeigen","bund","kraft","geplante","arbeitsplaetze","itsicherheitsgesetz","reform","muesse","mindestlohn","bundesregierung","vorschlag","verfahren","schaeuble","fluechtlinge","arbeitgeber","zypries","euro","arbeit","einzelfall","arbeitnehmer","datenschutzgrundverordnung","scheuer","dsgvo","koalition","gesetzlichen","oeffentlichen","vorsorge","deutschland","beschaeftigten","sprecher","gesetzlichen"
"20","regierung","kritik","steuererhoehungen","riester","brief","arbeitslose","muesse","bund","wolfgang","arbeit","gesetzlichen","bundesrat","bund","milliarden","gesetz","beitraege","reform","milliarden","deutschland","arbeitgeber","probezeit","steuern","beitrag","cdu","uebersetzer","regelungen","tarifvertrag","mindestlohns","post","entwurf","unternehmen","branchen","bahr","forderung","renten","gewerkschaften","unternehmen","entwurf","euro","vorschlaege","neuen","euro","aerzte","fordert","euro","urteil","gesetzliche","gruendungszuschuss","muesse","gewerkschaft","funke","milliarden","hinweis","belasten","rente","rentenversicherung","forderung","gesetz","hebammen","gesetzentwurf","gewerkschaften","bamf","klagen","filialen","rentenversicherung","beschaeftigten","arbeitnehmer","spd","regelung","handelsblatt","arbeit","arbeitnehmer","kommission","koalitionsvertrag","beschaeftigte","grundrente","behoerden","regelung","entwurf","ministerium"
"21","arbeitgeber","lambsdorff","ausgaben","tarifvertrag","gewerkschaft","gerster","steuerreform","geplante","gesetz","abbau","arbeitnehmer","arbeit","kommunen","haushalt","muesse","unternehmen","arbeitslose","finanzminister","muesse","berlin","beschaeftigten","ausbau","handelsblatt","sprecher","entwurf","verordnung","euro","unternehmen","reform","geplanten","kannegiesser","kritisierte","muesse","erben","verfahren","rentenversicherung","verfahren","bundesrat","arbeitgeber","forderung","fordert","fordert","schuldenbremse","handelsblatt","koenigshaus","handelsblatt","arbeitnehmer","praxis","verbraucher","vorschlag","klage","forderung","karlsruhe","schenkungen","muesse","gesetzlichen","arbeitsministerin","methling","behoerde","deutschland","patienten","vorgaben","cdu","einigung","lechner","goepfert","richter","dfb","milliarden","euro","kommunen","urteil","koalitionsvertrag","spd","vermoegensteuer","verfahren","rente","laender","beschaeftigte","faellen"
"22","arbeitsplaetze","tariftreue","bund","arbeitsmarkt","unternehmen","arbeitskampf","vorschlag","finanzminister","arbeitslosen","gewerkschaften","arbeit","milliarden","arbeitsmarkt","bundesrat","sozialhilfe","wolfgang","diskriminierung","kannegiesser","reform","koalitionsvertrag","union","spd","kuendigungsschutz","versicherten","gesetzgeber","duerfen","bdi","steinbrueck","alter","gewerkschaften","branchen","michael","steinbrueck","millionen","mindestlohn","arbeitgeber","berliner","vorschlaege","rentner","geplante","milliarden","milliarden","griechenland","jaehrlich","leiharbeiter","eugh","carstensen","geldmacher","kretschmann","betriebe","leyen","papier","aerztlich","ausnahmen","forderungen","gutachten","faelle","papier","behoerden","verfahren","asylbewerber","fluechtlinge","duerfen","vorgaben","darf","arbeit","arbeitgeber","verpflichtet","betrieb","verfahren","fordert","christen","bamberg","buerger","qualifizierung","gewerkschaft","regelung","unterstuetzung","gesetzlichen","laender"
"23","arbeitsmarkt","schmidt","eichels","finanzminister","milliarden","eichels","bundesfinanzminister","vermoegensteuer","arbeitsmarkt","vorschlag","buergerversicherung","union","berlin","eigenheimzulage","bsirske","regierung","bund","rentenversicherung","hartz","finanzminister","staat","bewerber","arzt","bedenken","arbeitnehmer","gutachten","diskriminierung","urteil","hiess","arbeitsplaetze","zeitarbeiter","arbeitsplaetze","praxis","kritisierte","fordert","umstritten","iv","verfuegung","regierung","eukommission","ig","laufzeitverlaengerung","roesler","gutachten","transfergesellschaft","bundesrat","privaten","behoerde","enkerts","urteil","verfahren","notwendig","bund","cdu","arbeitgeber","gesetzgeber","arbeitsgruppe","betriebe","verfahren","schaeuble","muesse","rentenniveau","euro","gericht","erbschaftsteuer","kanzlei","metall","gutachten","kinderlos","fordern","transparency","duldung","befristet","anfrage","arbeitnehmer","fordert","homeoffice","beschlossen","behoerden","ueberbrueckungshilfen"
"24","forderte","wiegard","laender","vorziehen","arbeitnehmer","millionen","hartz","regelung","abfindung","vorziehen","beitraege","jahr","arbeitgeber","ii","umsetzung","rentenversicherung","arbeitslosen","arbeitsplaetze","arbeitslosenversicherung","forderte","hundt","bund","hausarzt","oeffentlichen","bundestag","bruessel","agg","arbeitslosengeld","unternehmen","kosten","zeitarbeit","union","berlin","koalition","moeglichkeit","betroffenen","arbeitgeber","aerzte","abschaffung","pruefen","verbraucher","kommission","keitel","urteil","gewerkschaften","fordert","regelungen","denunziantentum","igel","gericht","praxis","unternehmen","verbraucher","geltend","oeffentlichen","vorliegt","sprecher","union","arbeitszeit","bundesregierung","angaben","urteil","kommission","bund","gefluechtete","regelung","betroffenen","einsatz","dsgvo","gesetzliche","einwanderungsgesetz","betroffenen","amberg","erhalten","foerderung","pflicht","heil","vorgaben","staatliche","homeoffice"
"25","unternehmen","gesetzentwurf","massnahmen","forderte","muesse","bund","riester","plaene","gewerkschaft","finanzminister","muesse","vermittlungsausschuss","arbeit","arbeit","bund","haushalt","arbeitsmarkt","hartz","rente","clement","mindestloehne","gvo","union","gewerkschaften","rechtsunsicherheit","rente","kunstmann","bdi","peer","fordert","arbeitnehmervertreter","koenne","krankenversicherung","union","kuendigungsschutz","gesetz","einfuehrung","brennelementesteuer","gueldner","cdu","arbeitgeber","bundes","ig","umsetzung","deutschland","gesetzgeber","kritik","whistleblower","aufsichtsrat","einigung","kritisiert","kef","bericht","fordert","kritik","kramer","ueberpruefen","nahles","freiberufliche","leiharbeit","gesetzgeber","kosten","bundesregierung","gewerkschaften","regelung","gesetzliche","bayern","koalitionsvertrag","erwerbsminderungsrente","alter","anfrage","arbeiten","klagen","koch","regel","koalition","verfahren","arbeitgeber","heisst","hilfen"
"26","koenne","umsetzung","entwurf","muesse","kannegiesser","hans","milliarden","arbeit","beschaeftigten","haushalt","hans","schmoldt","wolfgang","wolfgang","ruerup","bundesagentur","finanzminister","arbeitslosen","kommunen","union","loehne","patienten","kritik","kuendigungsschutz","mindestlohn","gewerkschaften","arbeitgeber","einfuehrung","sprecher","toelle","gewerkschaft","spd","arbeit","rente","vorschriften","krank","betroffenen","bankenabgabe","zivildienst","anstalten","eingefuehrt","matthes","kommission","bundesverband","sanierung","forderungen","bundestag","gebaeudesanierung","betroffenen","fordern","kita","gesetzlichen","zustaendig","bedeuten","kommission","regelung","duerfen","heisst","abschluss","patienten","fall","heisst","sigmar","beschaeftigten","reform","gesetze","nahles","kosten","hoehe","fordert","alter","abgelehnten","verordnung","betroffenen","bund","entwurf","vorschriften","kurzarbeitergeld","regeln","urteil"
"27","bundestag","laender","koenne","gewerkschaft","buendnis","erbschaftsteuer","wirtschaft","arbeitnehmer","sozialauswahl","bundesfinanzminister","union","ruerup","unternehmen","vorschlag","kuendigungsschutz","regelung","arbeitslosigkeit","mehrwertsteuer","mrd","milliarden","arbeitsrecht","verabschiedet","diskussion","vorschlaege","union","mindestloehne","gerichte","geplante","ba","union","eukommission","euro","aerzte","forderungen","geplanten","arbeitnehmern","norbert","kritisierte","fordert","tarifvertraege","fdp","steuersenkungen","euro","ig","minijobs","arbeitgeber","urteil","vorhaben","vorschlaege","kritik","kitaplatz","gesetz","eu","strahlung","gabriel","gesetzliche","cdu","kritisierte","spenden","arbeitgeber","vorschlag","arbeit","frist","klagen","wirtschaftsminister","vorschlaege","berlin","behoerde","behoerden","bda","abgeschoben","asylbewerbern","berlin","wollseifer","massnahmen","papier","heisst","gesetzlichen","selbststaendige","bahn"
"28","klage","arbeitsmarkt","kritik","arbeitnehmer","gerster","foerderung","abbau","vorschlaege","lockerung","steuerreform","ruerupkommission","vorziehen","gesetzentwurf","steuerschaetzung","kannegiesser","betroffenen","pfaffenbach","gewerkschaften","vorschlag","geplanten","widerstand","betriebe","bundestag","mindestlohn","glos","cdu","aenderungen","koalition","kosten","beschaeftigten","koenne","koalition","impfung","quelle","vorschlag","versicherten","kuerzung","peter","rentengarantie","kosten","bruessel","beschluss","regelungen","berlin","huber","entwurf","schaeuble","einnahmen","regelung","privaten","milliarden","plaene","gabriels","gericht","de","entscheidung","heisst","duerfen","handelsblatt","informationen","regelung","private","beteiligten","wirtschaftsminister","gericht","hinz","verfahren","tests","spielraum","betroffenen","verfahren","arbeit","gericht","behoerden","abschaffung","vorschlag","duerfen","regeln","vertraege","pruefen"
