"date","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
2006-02-01,1276,1201,981,955,1897,2895,846,1250,2206,1375,1612,640,1040,1163
2006-03-01,2400,1979,1420,1497,2295,6989,2224,3254,4275,1103,1487,1078,1991,1854
2006-04-01,1778,2083,1732,1322,1829,3876,1036,2252,3204,1751,1446,986,2511,1603
2006-05-01,2389,2408,2466,1151,2115,5639,1439,2350,4278,2289,1776,1724,1478,1307
2006-06-01,1370,1328,1187,1194,1736,3074,1622,1327,2859,3079,1708,2578,1846,726
2006-07-01,1282,833,1104,1102,1388,1507,1298,1527,1701,2431,1500,1161,1991,433
2006-08-01,1717,1227,1202,2417,2517,4507,1093,2151,2325,2446,1054,1235,1861,2219
2006-09-01,1675,1769,2169,1153,2366,5318,1429,1867,3265,1703,1039,1720,1795,2611
2006-10-01,2059,2200,1621,2028,1910,5371,2110,2683,3772,2105,1541,1018,2109,3539
2006-11-01,2847,1263,1251,1041,1030,4511,1275,3000,3701,1044,1654,982,1025,2726
2006-12-01,1573,1958,1036,1316,1792,4856,1142,2601,4245,2152,1003,1359,2723,1223
2007-01-01,2326,1649,2079,991,903,3661,1387,2632,2595,1438,1464,972,1934,2634
2007-02-01,1495,1459,1357,1868,2001,3736,767,1392,4159,1346,1607,661,1178,1128
2007-03-01,2554,1471,1743,2012,1701,2912,2378,2431,2929,3074,1428,2420,1865,392
2007-04-01,2896,2175,1616,1539,1070,3762,1448,2048,2826,2390,1615,1242,2329,2048
2007-05-01,2213,2180,1244,1795,1930,4651,1166,1830,3536,1073,1478,655,1249,1729
2007-06-01,2361,1592,1548,1292,1172,3134,1654,2036,2911,2039,856,1018,1155,1124
2007-07-01,1225,1907,940,650,2007,3745,1453,1408,3488,3311,714,1062,1121,1771
2007-08-01,1853,1686,1516,2437,2012,4313,5273,3137,3602,6607,1070,5155,2334,2476
2007-09-01,2523,2020,2828,2624,3037,4874,2997,2587,5119,4251,1748,4478,3083,2753
2007-10-01,1679,2429,2362,1720,2199,4241,2122,2229,3061,3964,1765,2235,3288,1874
2007-11-01,2984,1804,2841,2679,2182,5022,2985,4677,3647,4996,1766,2743,3501,2754
2007-12-01,2148,2908,1779,1981,2596,3477,2449,2266,4630,4365,1181,3029,3804,1953
2008-01-01,2406,1979,2649,2946,2377,5000,3755,3545,3197,6075,1802,3926,3864,3093
2008-02-01,3370,1848,2298,3656,2691,4857,4348,2630,4847,4389,2008,2940,2792,2882
2008-03-01,2130,2059,1108,3330,1655,3825,3598,2118,3998,4085,1657,2725,2334,1330
2008-04-01,1828,2104,3324,3237,2167,3495,2700,2847,2854,2694,1525,3042,3194,1587
2008-05-01,2457,1765,2287,1647,2469,5649,1788,2692,4635,2811,1877,1242,2160,1515
2008-06-01,1820,2526,1627,1733,1889,3950,2867,2523,3783,3150,1726,2196,1784,1508
2008-07-01,2404,2988,1984,3088,3047,4034,2489,2174,4383,5079,1811,1970,2762,2262
2008-08-01,2668,3563,1606,2610,3053,3925,1929,2470,3452,3349,1531,1372,2692,1565
2008-09-01,2585,2777,1901,3219,2771,7212,6816,2836,5523,5161,2214,3886,3513,2994
2008-10-01,4546,2926,2798,8350,3869,8291,8979,5717,9709,9590,3705,9662,8018,4906
2008-11-01,4081,2598,3400,7017,3260,5479,2991,4812,6294,3070,2706,3040,5444,3775
2008-12-01,3583,2526,3372,3900,2230,6867,3900,3399,6714,4216,3218,5043,8157,1891
2009-01-01,4041,2572,2879,7055,4533,6620,4488,3736,9819,3760,3749,4322,6261,4511
2009-02-01,3574,2376,1815,6348,3076,6741,4083,3926,5521,5184,1900,4775,4938,2963
2009-03-01,6050,3506,2207,7054,1773,6732,4186,5678,8315,3238,3035,3470,5233,4894
2009-04-01,3054,1912,1782,6075,1252,5526,4688,3640,5340,3652,1896,3303,6658,3138
2009-05-01,2827,1635,1368,4494,1504,4502,2759,2789,5531,2086,1979,1788,2903,3575
2009-06-01,2468,1889,2146,2700,2089,4299,1778,4075,4466,3445,1480,2206,2631,2523
2009-07-01,3068,2203,2222,3318,5056,4438,2405,3074,5266,2904,2515,2019,3440,2963
2009-08-01,2286,1503,1868,3886,1783,3428,2622,2302,3450,2939,1792,2703,4227,2600
2009-09-01,3856,1603,1828,3799,1328,5115,3461,3297,4781,3334,2006,3728,3246,4317
2009-10-01,3468,1975,2211,4207,1146,5142,3847,3132,4618,4031,1422,3674,4476,3387
2009-11-01,2930,1683,2208,3454,2494,4769,4005,3631,8450,5779,5094,3637,5780,4116
2009-12-01,5433,2399,5657,2969,1438,8259,4514,3590,4214,4757,3310,4307,6206,1750
2010-01-01,1301,2746,1495,2926,2304,3904,2412,4010,3858,4841,1325,4178,4858,4213
2010-02-01,2849,3166,3221,4002,1972,5853,3384,3558,5049,4894,1686,4912,3436,2151
2010-03-01,3233,3690,1597,4187,1850,4932,3535,4002,4168,3314,2250,3880,4302,2353
2010-04-01,2196,3472,1794,3399,1355,4298,4078,2251,3200,4111,1312,5165,4016,1904
