"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.719","5.107","4.9811","7.1505","6.7139","10.9164","5.7615","6.9696","9.8829","9.3672","4.3983","6.9463","9.1501","5.9362"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","  ","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","kinder","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","anleger","gesetz","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","firma","bruessel","energiewende","mrd","peking","gibt","kunden","arbeitgeber","menschen","investoren","millionen","banken","deutschland","fdp"
"6","ki","russland","energie","millionen","russland","heute","euro","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","chinesischen","deutschland","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","manager","britischen","erneuerbaren","mio","krieg","freiheit","geld","arbeitnehmer","eltern","boerse","fc","eurozone","deutschen","union"
"9","daten","land","co","quartal","washington","demokratie","wohnungen","eichel","familie","boersen","hamburger","fed","rueckgang","csu"
"10","digitalisierung","frankreich","industrie","unternehmen","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","saison","griechenland","deutsche","scholz"
"11","startups","briten","preise","geschaeft","chinesische","leben","versicherer","ig","maenner","gold","trainer","iwf","entwicklung","afd"
"12","digitale","parlament","tonnen","aktie","iran","europa","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","schroeder"
"13","mitarbeitern","london","klimaschutz","siemens","ukraine","sozialen","investoren","metall","vater","usa","berlin","euroraum","investitionen","kanzler"
"14","google","premier","produktion","jahr","trumps","tun","immobilie","unternehmen","heute","punkten","fussball","italien","konsum","kanzlerin"
"15","intelligenz","europaeischen","pro","mill","land","zukunft","eigenkapital","berlin","stadt","bank","berliner","draghi","aufschwung","angela"
"16","digitalen","tuerkei","kohle","vorstandschef","obama","globalisierung","markt","kommunen","erzaehlt","aktienmarkt","sport","notenbanken","deutlich","parteien"
"17","fuehrungskraefte","pfund","preis","rund","amerika","frage","kredite","arbeit","mutter","fed","gaeste","dollar","prognose","merz"
"18","branche","putin","eon","analysten","bush","staat","rendite","regelung","spaeter","punkte","hochschulen","europaeischen","arbeitsmarkt","waehler"
"19","arbeiten","polen","rwe","geschaeftsjahr","irak","buerger","aktien","muesse","jahre","minus","studium","usa","erwartet","wahl"
"20","software","moskau","verbraucher","uebernahme","putin","politischen","commerzbank","kommission","junge","rendite","mannschaft","europaeische","oekonomen","bundestag"
"21","neue","europa","barrel","konzerns","amerikaner","fragen","vermoegen","rente","tag","index","kunst","schulden","nachfrage","ministerpraesident"
"22","beispiel","russischen","erdgas","vw","staaten","wissen","mieten","gewerkschaft","buch","zinsen","verein","euro","rezession","sozialdemokraten"
"23","produkte","may","kraftwerke","bayer","donald","bevoelkerung","kaeufer","bahn","jungen","papiere","fans","finanzmaerkte","weltwirtschaft","stoiber"
"24","unternehmens","referendum","anlagen","volkswagen","xi","brauchen","mieter","fordert","kind","aktienmaerkte","messen","rezession","erholung","wahlkampf"
"25","gruender","russische","erneuerbare","daimler","praesidenten","herr","altersvorsorge","gesetzlichen","schule","renditen","reisen","oekonomen","firmen","lindner"
"26","mittelstaendler","johnson","deutschland","verkauf","biden","verantwortung","risiken","vorschlag","sohn","leitindex","liga","waehrung","befragten","seehofer"
"27","anbieter","praesident","ausbau","aktionaere","uspraesident","gerade","frankfurt","massnahmen","kindern","experten","besucher","zinssenkung","anstieg","bundestagswahl"
"28","technologie","premierminister","foerderung","bmw","regierung","beispiel","bafin","regelungen","zeit","quartal","hotels","waehrungsunion","plus","berlin"
"29","deutschland","landes","kosten","hersteller","westen","denken","kapital","duerfen","geschichte","gewinne","touristen","leitzins","bip","gruene"
"30","unternehmer","koenigreich","opec","ersten","nato","marktwirtschaft","institute","entwurf","alt","maerkte","lesen","leitzinsen","rechnet","opposition"
"31","berater","italien","landwirtschaft","kunden","israel","sicherheit","renditen","betriebe","hause","wall","koeln","maerkte","kommenden","liberalen"
"32","markt","austritt","klimawandel","basf","welt","politische","sparer","clement","uhr","morgan","klubs","kredite","verbraucher","regierung"
"33","geschaeft","union","emissionen","dollar","amerikanischen","zeit","private","verfahren","macht","plus","euro","krise","vorjahr","linken"
"34","amazon","kommission","bauern","sap","sanktionen","wohlstand","wirecard","sprecher","sitzt","woche","bundesliga","wachstum","rechnen","soeder"
"35","familienunternehmen","europaeische","wind","lufthansa","republikaner","macht","branche","handelsblatt","job","markt","hotel","wirtschaft","zahl","habeck"
"36","chef","berlusconi","liter","konzernchef","russischen","recht","anleihen","betroffenen","arbeit","usnotenbank","kuenstler","staaten","gestiegen","amt"
"37","telekom","frankreichs","gruene","operative","demokraten","wissenschaft","risiko","gesetzentwurf","bisschen","anlegern","veranstalter","anleihen","prognosen","bundeskanzler"
"38","innovationen","ungarn","grad","ergebnis","soldaten","geht","preise","kosten","gibt","street","wm","waehrungsfonds","vergleich","mehrheit"
"39","nutzer","sarkozy","cent","thyssenkrupp","volksrepublik","glaube","immobilienfonds","urteil","alten","freitag","klub","finanzmaerkten","monaten","linke"
"40","mittelstand","paris","nachfrage","branche","chinesen","buch","immobilienmarkt","heisst","stunden","staatsanleihen","mark","notenbanker","minus","politik"
"41","kuenstliche","ukraine","bundesregierung","konkurrenten","russische","bildung","finanzkrise","bundestag","haus","dow","spiele","europa","umfrage","bayern"
"42","management","cameron","habeck","vorjahr","europa","richtig","versicherungen","bundes","liebe","aktienkurse","tourismus","japan","erwarten","umfragen"
"43","microsoft","grossbritanniens","wasser","boersengang","afghanistan","verstehen","banker","deutschland","konnte","fondsmanager","universitaeten","regierung","duerfte","merkels"
"44","facebook","insel","bau","autos","new","angst","eigentuemer","laender","lebt","vergangenen","league","bank","stark","gabriel"
"45","nutzen","argentinien","energieversorgung","vergangenen","taiwan","system","quadratmeter","regeln","frueher","aktienmaerkten","universitaet","finanzminister","bruttoinlandsprodukt","gerhard"
"46","technologien","verhandlungen","jahr","operativen","dollar","braucht","deutschen","regierung","kirche","fiel","geschaeftsfuehrer","yen","lage","ministerpraesidenten"
"47","informationen","politische","gruenen","porsche","indien","entscheidungen","darlehen","milliarden","alte","boersianer","veranstaltungen","konjunktur","zweiten","stimmen"
"48","geschaeftsfuehrer","abkommen","netz","boerse","zoelle","vertrauen","vermieter","koalition","film","aktienindex","hannover","inflationsrate","exporte","olaf"
"49","technik","russlands","branche","vorstand","amerikanische","politiker","kfw","geplante","beruf","titel","hochschule","zinssenkungen","china","kanzleramt"
"50","apple","eukommission","umwelt","zahlen","moskau","gesellschaftlichen","investieren","gesetzliche","mensch","haendler","flughafen","weltwirtschaft","stimmung","westerwelle"
"51","startup","franzoesischen","hersteller","aufsichtsrat","region","geschichte","wohnung","union","kopf","erwartet","aussteller","risiken","vergangenen","ampel"
"52","gibt","eustaaten","investitionen","unternehmens","hongkong","gefuehl","kredit","forderung","fragt","analyst","quadratmeter","lagarde","ersten","minister"
"53","computer","konservativen","stahl","markt","europaeer","arbeit","anbieter","gericht","gut","notierte","dortmund","geld","halbjahr","kohl"
"54","sap","franzosen","oelpreis","halbjahr","landes","generation","allianz","umsetzung","angst","verlor","  ","trichet","wirtschaftsforschung","fraktion"
"55","gerade","mehrheit","rohstoffe","autobauer","amerikas","autor","investment","rentenversicherung","ging","goldman","hoeness","zentralbanken","wirtschaftsleistung","bundeskanzlerin"
"56","beispielsweise","praesidenten","waermepumpen","dividende","york","rolle","jahren","oeffentlichen","strasse","unternehmen","urlauber","finanzkrise","preise","macron"
"57","berger","franzoesische","winter","ag","armee","darf","kaufen","gesetzgeber","geht","deutlich","team","usnotenbank","arbeitslosigkeit","gewaehlt"
"58","partner","spanien","mengen","hauptversammlung","vereinigten","aufgabe","hedgefonds","forderte","essen","rund","senat","regierungen","wirtschaftswachstum","muentefering"
"59","beratung","brasilien","tonne","verlust","beziehungen","falsch","institut","erhalten","gefuehl","commerzbank","spielen","spanien","branchen","politischen"
"60","innovation","le","klima","mitarbeiter","george","lernen","finanzaufsicht","vorschlaege","lang","kurs","vereine","chefvolkswirt","institut","laschet"
"61","cloud","regierungschef","fossilen","aktienkurs","jinping","ueberhaupt","geldhaeuser","mindestlohn","gerne","mdax","hansestadt","bundesbank","steigen","bundesregierung"
"62","business","macron","gold","fusion","militaerische","grenzen","transaktionen","patienten","wissen","maerkten","bachelor","bernanke","niveau","schaeuble"
"63","job","erdogan","bp","bank","westlichen","begriff","miete","geplanten","erinnert","wert","tui","waehrungshueter","rund","friedrich"
"64","bereich","premierministerin","rund","sparte","weissen","laesst","ertraege","bundesfinanzminister","kunst","jones","muenchner","greenspan","gesunken","sonntag"
"65","produkt","politischen","dollar","airbus","syrien","kapitalismus","geschaeft","einfuehrung","geboren","notenbanken","swift","preisstabilitaet","trotz","parteitag"
"66","maschinen","theresa","markt","management","militaerischen","debatte","investmentbanking","arbeitsplaetze","kennt","jp","zwei","duisenberg","insgesamt","buendnis"
"67","neuen","sozialisten","atomkraftwerke","knapp","westliche","gesellschaftliche","haeuser","beschlossen","glueck","fonds","bremen","griechischen","volkswirtschaft","parteichef"
"68","thema","europas","versorger","air","barack","ordnung","investiert","kritik","bilder","goldpreis","sommer","ezbrat","aussichten","koalitionspartner"
"69","werbung","boris","kohlendioxid","gesamtjahr","fuehrung","schaffen","privaten","darf","all","erholung","gmbh","milliarden","jahres","finanzminister"
"70","arbeitgeber","hollande","nord","weltweit","arabischen","jahrhundert","wohnen","ministerium","gesagt","euro","absolventen","senken","folge","abgeordneten"
"71","netz","regierungschefs","produzieren","marken","russlands","veraenderungen","finanzierung","kassen","namen","stieg","stuttgart","griechenlands","punkte","wirtschaftsminister"
"72","industrie","de","megawatt","uebernahmen","gewalt","institutionen","makler","gutachten","tod","zaehler","frankfurt","federal","steigende","landtagswahl"
"73","unternehmensberatung","tories","benzin","tochter","militaer","handeln","bieten","vorgaben","zwei","verluste","master","geldpolitischen","laut","steinbrueck"
"74","digital","chirac","landwirte","mercedes","usregierung","dinge","kauf","kritisierte","karriere","bundesanleihen","platz","griechische","wirtschaftliche","landtag"
"75","studie","wahlen","kernenergie","fahrzeuge","nordkorea","integration","verkauf","bundesrat","maedchen","stimmung","hsv","ezbpraesident","eurozone","linkspartei"
"76","online","londoner","autos","stieg","regime","kultur","beispielsweise","fordern","arbeiten","donnerstag","stadion","laender","haushalte","buerger"
"77","wettbewerb","bruesseler","jahren","kaeser","frieden","oekonomischen","muenchen","kritisiert","erzaehlen","konjunkturdaten","rund","athen","konjunkturelle","schulz"
"78","silicon","beitritt","erneuerbarer","opel","politische","interessen","wert","koenne","draussen","gestiegen","schueler","zinserhoehung","zahlen","horst"
"79","konzerne","partei","gigawatt","verkauft","partei","probleme","kosten","millionen","irgendwann","erwarten","urlaub","notenbankchef","wachsen","wahlen"
"80","kollegen","wladimir","millionen","abschreibungen","clinton","glauben","lebensversicherung","haushalt","freunde","dienstag","kultur","euros","einbruch","regieren"
"81","haeufig","mitgliedstaaten","strompreise","analyst","nahen","problem","privatanleger","rechtsunsicherheit","los","vermoegensverwalter","schalke","deflation","produktion","politiker"
"82","heute","neuwahlen","atomkraft","autoindustrie","verbuendeten","politisch","wertpapiere","behoerde","geld","bonds","polizei","uswirtschaft","studie","politische"
"83","kommunikation","tuerkische","erdoel","manager","konflikt","herausforderungen","milliarden","bdi","reden","rezession","olympischen","unsicherheit","leicht","steinmeier"
"84","deutsche","england","energietraeger","produktion","japan","weise","ackermann","koalitionsvertrag","gemacht","verloren","nuernberg","mario","experten","rede"
"85","geschaeftsmodelle","aussenminister","erde","finanzvorstand","kongress","mag","anlegern","eukommission","kleine","duerften","uni","portugal","konsumenten","themen"
"86","valley","italiens","energiepolitik","marke","internationale","fuehrt","konditionen","wirtschaftsminister","generation","knapp","drei","liquiditaet","staerker","kandidaten"
"87","entwickeln","binnenmarkt","stromerzeugung","wettbewerber","mexiko","wissenschaftler","geldanlage","staat","musik","sachs","sponsoren","staatsverschuldung","instituts","debatte"
"88","fragen","wirtschaft","kohlekraftwerke","kosten","wladimir","medien","kapitalmarkt","zusaetzliche","gesicht","marke","champions","reserve","einzelhandel","kabinett"
"89","deutschen","iwf","betrieb","finanzchef","truppen","art","krediten","forderungen","roman","duerfte","spiel","eurolaender","zuwachs","edmund"
"90","gut","tuerkischen","fossile","milliarde","li","jahrhunderts","investments","minister","maennern","indizes","galerien","verschuldung","krise","berliner"
"91","ag","deal","kilometer","insgesamt","suedkorea","forschung","laufzeit","arbeitsmarkt","schueler","unsicherheit","veranstaltung","reformen","lag","christian"
"92","kunde","madrid","teuer","audi","laender","finden","einlagen","cdu","buero","uswirtschaft","meter","massnahmen","erwartungen","helmut"
"93","chefs","opposition","teurer","gut","politischen","gerechtigkeit","regel","vorhaben","schoen","new","borussia","eurostaaten","steigenden","parlament"
