"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.7851","5.0775","5.0133","7.1366","6.8279","10.9565","5.6985","6.9549","9.8577","9.3733","4.3702","6.8993","9.1188","5.9302"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","kinder","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","  ","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","anleger","gesetz","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","ki","bruessel","energiewende","mrd","peking","gibt","kunden","arbeitgeber","menschen","investoren","millionen","banken","deutschland","fdp"
"6","firma","russland","energie","millionen","russland","heute","euro","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","krieg","deutschland","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","manager","britischen","erneuerbaren","mio","chinesischen","demokratie","geld","arbeitnehmer","eltern","boerse","hamburger","eurozone","deutschen","union"
"9","daten","frankreich","co","quartal","trumps","freiheit","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","afd"
"10","startups","land","industrie","unternehmen","washington","soziale","sparkassen","gewerkschaften","maenner","anleihen","saison","griechenland","deutsche","csu"
"11","digitalisierung","briten","preise","geschaeft","ukraine","leben","versicherer","ig","leute","gold","trainer","iwf","entwicklung","kanzler"
"12","digitale","parlament","klimaschutz","aktie","chinesische","tun","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","scholz"
"13","intelligenz","premier","tonnen","siemens","praesident","sozialen","investoren","metall","vater","usa","berlin","euroraum","investitionen","schroeder"
"14","mitarbeitern","london","produktion","jahr","iran","europa","immobilie","unternehmen","stadt","punkten","fussball","italien","konsum","merz"
"15","google","europaeischen","pro","vorstandschef","land","zukunft","eigenkapital","berlin","heute","bank","berliner","draghi","aufschwung","angela"
"16","fuehrungskraefte","tuerkei","kohle","mill","obama","globalisierung","markt","kommunen","erzaehlt","aktienmarkt","gaeste","notenbanken","deutlich","kanzlerin"
"17","digitalen","pfund","preis","rund","amerika","frage","kredite","arbeit","mutter","fed","sport","dollar","prognose","parteien"
"18","arbeiten","polen","rwe","analysten","putin","staat","rendite","regelung","spaeter","punkte","hochschulen","europaeischen","erwartet","waehler"
"19","branche","putin","erdgas","vw","donald","buerger","commerzbank","rente","junge","minus","mannschaft","usa","arbeitsmarkt","bundestag"
"20","software","europa","eon","geschaeftsjahr","bush","politischen","aktien","muesse","jahre","rendite","studium","schulden","oekonomen","wahl"
"21","neue","moskau","anlagen","konzerns","staaten","fragen","mieten","kommission","tag","index","kunst","europaeische","nachfrage","ministerpraesident"
"22","beispiel","russischen","verbraucher","uebernahme","irak","wissen","vermoegen","gewerkschaft","kind","zinsen","verein","finanzmaerkte","rezession","sozialdemokraten"
"23","produkte","may","foerderung","volkswagen","amerikaner","herr","kaeufer","bahn","jungen","papiere","fans","euro","erholung","wahlkampf"
"24","mittelstaendler","premierminister","ausbau","bayer","xi","bevoelkerung","mieter","fordert","buch","renditen","reisen","rezession","weltwirtschaft","stoiber"
"25","unternehmens","referendum","deutschland","daimler","praesidenten","brauchen","altersvorsorge","gesetzlichen","sohn","aktienmaerkte","messen","oekonomen","firmen","lindner"
"26","technologie","russische","barrel","hersteller","uspraesident","gerade","frankfurt","vorschlag","schule","leitindex","liga","waehrung","befragten","bundestagswahl"
"27","gruender","praesident","erneuerbare","bmw","biden","denken","bafin","massnahmen","kindern","experten","hotels","zinssenkung","plus","seehofer"
"28","anbieter","johnson","kraftwerke","verkauf","regierung","verantwortung","risiken","duerfen","zeit","gewinne","touristen","leitzins","bip","berlin"
"29","deutschland","landes","kosten","aktionaere","westen","beispiel","kapital","regelungen","geschichte","quartal","besucher","leitzinsen","anstieg","gruene"
"30","unternehmer","italien","opec","kunden","nato","marktwirtschaft","institute","entwurf","alt","maerkte","lesen","maerkte","kommenden","opposition"
"31","amazon","koenigreich","landwirtschaft","basf","amerikanischen","zeit","renditen","betriebe","hause","morgan","kuenstler","waehrungsunion","rechnet","soeder"
"32","berater","union","emissionen","ersten","welt","sicherheit","sparer","verfahren","uhr","plus","koeln","kredite","verbraucher","regierung"
"33","geschaeft","austritt","klimawandel","dollar","israel","macht","private","handelsblatt","sitzt","wall","klubs","wachstum","vorjahr","liberalen"
"34","markt","kommission","wind","sap","zoelle","wohlstand","preise","clement","job","markt","hotel","krise","zahl","linken"
"35","familienunternehmen","frankreichs","cent","operative","sanktionen","politische","immobilienmarkt","sprecher","macht","woche","bundesliga","wirtschaft","rechnen","habeck"
"36","kuenstliche","paris","bauern","konzernchef","europa","buch","immobilienfonds","heisst","arbeit","anlegern","euro","anleihen","gestiegen","bundeskanzler"
"37","innovationen","europaeische","gruene","lufthansa","russischen","recht","branche","gesetzentwurf","bisschen","usnotenbank","veranstalter","staaten","vergleich","amt"
"38","chef","ungarn","grad","branche","republikaner","geht","wirecard","kosten","gibt","street","klub","notenbanker","prognosen","mehrheit"
"39","microsoft","berlusconi","liter","ergebnis","demokraten","glaube","anleihen","betroffenen","alten","staatsanleihen","spiele","waehrungsfonds","minus","linke"
"40","mittelstand","sarkozy","bau","thyssenkrupp","indien","wissenschaft","risiko","bundes","stunden","freitag","wm","finanzmaerkten","monaten","umfragen"
"41","telekom","insel","bundesregierung","konkurrenten","volksrepublik","richtig","quadratmeter","milliarden","haus","vergangenen","tourismus","zinssenkungen","erwarten","bayern"
"42","nutzer","ukraine","nachfrage","vorjahr","russische","verstehen","eigentuemer","regeln","konnte","dow","mark","bank","umfrage","politik"
"43","nutzen","grossbritanniens","habeck","porsche","taiwan","bildung","finanzkrise","bundestag","liebe","aktienkurse","universitaeten","japan","duerfte","merkels"
"44","technologien","cameron","wasser","autos","soldaten","angst","vermieter","urteil","lebt","fondsmanager","league","europa","stark","gerhard"
"45","management","abkommen","netz","boersengang","chinesen","system","versicherungen","deutschland","frueher","aktienmaerkten","universitaet","lagarde","lage","gabriel"
"46","facebook","verhandlungen","energieversorgung","vergangenen","dollar","braucht","banker","regierung","alte","fiel","veranstaltungen","regierung","bruttoinlandsprodukt","ministerpraesidenten"
"47","informationen","franzoesischen","gruenen","operativen","new","vertrauen","darlehen","koalition","kirche","boersianer","geschaeftsfuehrer","yen","exporte","stimmen"
"48","startup","politische","jahr","vorstand","afghanistan","geschichte","kfw","laender","angst","aktienindex","flughafen","konjunktur","zweiten","olaf"
"49","technik","argentinien","hersteller","aufsichtsrat","amerikanische","entscheidungen","deutschen","geplante","mensch","titel","hannover","finanzminister","stimmung","kanzleramt"
"50","apple","eukommission","umwelt","boerse","moskau","gesellschaftlichen","wohnung","gesetzliche","kopf","analyst","dortmund","inflationsrate","china","westerwelle"
"51","geschaeftsfuehrer","russlands","branche","unternehmens","region","gefuehl","anbieter","vorschlaege","fragt","haendler","hochschule","weltwirtschaft","vergangenen","friedrich"
"52","gibt","konservativen","investitionen","zahlen","europaeer","politiker","kredit","union","beruf","erwartet","quadratmeter","risiken","ersten","ampel"
"53","sap","eustaaten","stahl","markt","hongkong","generation","investieren","erhalten","essen","unternehmen","aussteller","usnotenbank","preise","kohl"
"54","computer","franzosen","waermepumpen","autobauer","vereinigten","arbeit","investment","rentenversicherung","gut","goldman","  ","geld","halbjahr","minister"
"55","gerade","franzoesische","rohstoffe","halbjahr","amerikas","falsch","allianz","forderung","film","deutlich","urlauber","zentralbanken","wirtschaftsforschung","fraktion"
"56","beratung","mehrheit","oelpreis","ag","landes","darf","jahren","umsetzung","geht","rund","team","finanzkrise","wirtschaftsleistung","gewaehlt"
"57","cloud","praesidenten","fossilen","dividende","beziehungen","begriff","kaufen","gericht","gefuehl","notierte","hoeness","trichet","arbeitslosigkeit","bundeskanzlerin"
"58","partner","macron","winter","hauptversammlung","armee","rolle","institut","forderte","ging","verlor","spielen","chefvolkswirt","wirtschaftswachstum","politischen"
"59","innovation","le","mengen","aktienkurs","jinping","laesst","hedgefonds","oeffentlichen","strasse","wert","senat","regierungen","branchen","macron"
"60","berger","spanien","tonne","mitarbeiter","york","ueberhaupt","transaktionen","gesetzgeber","gerne","fonds","tui","spanien","niveau","bundesregierung"
"61","beispielsweise","regierungschef","klima","verlust","militaerische","aufgabe","miete","geplanten","lang","kurs","vereine","bundesbank","steigen","muentefering"
"62","bereich","brasilien","gigawatt","fusion","george","autor","haeuser","mindestlohn","wissen","maerkten","hansestadt","waehrungshueter","institut","laschet"
"63","thema","politischen","rund","sparte","westlichen","lernen","finanzaufsicht","patienten","bilder","jp","bachelor","bernanke","rund","parteitag"
"64","produkt","erdogan","markt","bank","weissen","institutionen","geldhaeuser","ministerium","all","commerzbank","swift","preisstabilitaet","gesunken","sonntag"
"65","job","premierministerin","kohlendioxid","management","militaerischen","schaffen","wohnen","arbeitsplaetze","glueck","goldpreis","zwei","greenspan","trotz","schaeuble"
"66","business","sozialisten","atomkraftwerke","mercedes","usregierung","kapitalismus","investmentbanking","kritik","kennt","jones","bremen","federal","insgesamt","koalitionspartner"
"67","maschinen","europas","gold","airbus","syrien","gesellschaftliche","geschaeft","beschlossen","geboren","mdax","sommer","ezbrat","volkswirtschaft","finanzminister"
"68","arbeitgeber","theresa","bp","marken","westliche","grenzen","ertraege","einfuehrung","erzaehlen","notenbanken","muenchner","senken","aussichten","abgeordneten"
"69","neuen","regierungschefs","strompreise","knapp","fuehrung","debatte","privaten","bundesfinanzminister","erinnert","stieg","gmbh","griechischen","laut","landtagswahl"
"70","digital","boris","versorger","weltweit","russlands","ordnung","finanzierung","darf","zwei","euro","hsv","duisenberg","folge","buendnis"
"71","werbung","de","produzieren","fahrzeuge","regime","veraenderungen","investiert","gutachten","gesagt","erholung","absolventen","geldpolitischen","jahres","parteichef"
"72","unternehmensberatung","hollande","erneuerbarer","air","barack","handeln","muenchen","vorgaben","kunst","verluste","frankfurt","milliarden","punkte","wirtschaftsminister"
"73","netz","tories","dollar","gesamtjahr","arabischen","jahrhundert","makler","fordern","namen","zaehler","stuttgart","griechenlands","wirtschaftliche","landtag"
"74","studie","chirac","betrieb","uebernahmen","gewalt","dinge","bieten","haushalt","tod","gestiegen","platz","griechische","steigende","steinbrueck"
"75","wettbewerb","wahlen","teuer","tochter","japan","kultur","kauf","millionen","arbeiten","bundesanleihen","master","uswirtschaft","haushalte","buerger"
"76","industrie","beitritt","megawatt","autoindustrie","frieden","integration","verkauf","kassen","draussen","vermoegensverwalter","stadion","staatsverschuldung","zahlen","wahlen"
"77","haeufig","bruesseler","nord","stieg","militaer","politisch","wert","kritisierte","freunde","stimmung","polizei","zinserhoehung","konjunkturelle","linkspartei"
"78","entwickeln","mitgliedstaaten","energietraeger","opel","nordkorea","probleme","beispielsweise","koenne","maedchen","knapp","kultur","ezbpraesident","eurozone","rede"
"79","silicon","partei","kernenergie","verkauft","politische","problem","kosten","bundesrat","karriere","donnerstag","urlaub","laender","wachsen","debatte"
"80","online","londoner","fossile","kaeser","partei","interessen","konditionen","koalitionsvertrag","irgendwann","sp","schueler","notenbankchef","studie","politische"
"81","kommunikation","neuwahlen","benzin","produktion","verbuendeten","glauben","milliarden","kritisiert","los","erwarten","rund","athen","einbruch","regieren"
"82","heute","wladimir","teurer","abschreibungen","konflikt","oekonomischen","lebensversicherung","behoerde","geld","konjunkturdaten","schalke","euros","produktion","politiker"
"83","kollegen","england","landwirte","manager","nahen","herausforderungen","privatanleger","staat","kleine","dienstag","olympischen","reserve","experten","horst"
"84","konzerne","tuerkische","atomkraft","analyst","kongress","medien","wertpapiere","eukommission","gemacht","bonds","sponsoren","unsicherheit","leicht","schulz"
"85","geschaeftsmodelle","aussenminister","jahren","marke","clinton","mag","ackermann","zusaetzliche","stolz","marke","galerien","deflation","staerker","themen"
"86","team","italiens","millionen","finanzvorstand","laender","weise","anlegern","rechtsunsicherheit","reden","rezession","nuernberg","mario","instituts","steinmeier"
"87","investieren","binnenmarkt","autos","wettbewerber","internationale","art","geldanlage","bdi","schoen","sachs","champions","verschuldung","lag","kabinett"
"88","valley","wirtschaft","stromerzeugung","kosten","suedkorea","wissenschaftler","krediten","forderungen","maennern","verloren","spiel","portugal","zuwachs","kandidaten"
"89","deutsche","iwf","erdoel","finanzchef","wladimir","fuehrt","kapitalmarkt","wirtschaftsminister","gesicht","usdollar","uni","powell","konsumenten","helmut"
"90","it","deal","erde","insgesamt","mexiko","wandel","haus","cdu","roman","indizes","drei","liquiditaet","krise","berliner"
"91","fragen","tuerkischen","energiepolitik","audi","truppen","jahrhunderts","regel","minister","buero","duerften","a","eurolaender","einzelhandel","parlament"
"92","gut","konservative","kohlekraftwerke","milliarde","sicherheit","oekonomische","investments","gelten","generation","duerfte","galerie","reformen","erwartungen","edmund"
"93","kunde","opposition","kilometer","belegschaft","li","gerechtigkeit","laufzeit","steuer","familien","markets","veranstaltung","finanzsystem","steigenden","christian"
"94","belegschaft","leyen","subventionen","konzerne","politischen","forschung","einlagen","arbeitsmarkt","musik","uswirtschaft","borussia","massnahmen","ausgaben","schuldenbremse"
"95","geschaeftsmodell","madrid","anlage","autohersteller","eu","finden","hohe","vorhaben","jahren","unsicherheit","meter","eurostaaten","sank","muesse"
"96","deutschen","juncker","versorgungssicherheit","nettogewinn","angriff","werte","zehn","fall","schueler","zehnjaehrigen","bau","gefahr","oecd","landtagswahlen"
"97","ag","kontinent","betreiber","gut","putins","fehler","wohnimmobilien","vorliegt","wusste","stand","airlines","anleihekaeufe","einschaetzung","konservativen"
"98","entwickelt","nordirland","kilowattstunde","erwartet","uspraesidenten","all","grossbanken","beitraege","augen","new","abgesagt","preise","export","baerbock"
"99","stellen","korruption","erwaermung","absatz","terror","sinne","landesbanken","foerderung","heimat","oelpreis","duesseldorf","erholung","zeigt","buergermeister"
"100","chefs","parteien","bundesnetzagentur","umsaetze","waffen","ungleichheit","ikb","finanzminister","abend","stark","leipzig","maerkten","hohen","abgeordnete"
"101","buero","stimmen","technologien","gm","osten","idee","deutsche","behoerden","sitzen","montag","wohnungen","sitzung","usa","rotgruen"
"102","arbeit","pen","fleisch","umsatzes","nationen","fortschritt","portfolio","solle","wort","stoxx","thomas","irland","prozentpunkte","kritik"
"103","mittelstaendische","russen","stream","henkel","joe","leute","jain","hartz","gern","steigen","berlins","weidmann","diw","wolle"
"104","siemens","labour","eeg","drei","auslaendische","antwort","verkauft","aerzte","alter","strategen","zuschauer","oekonom","vormonat","wolfgang"
"105","standort","reformen","windkraft","muenchener","w","realitaet","bonitaet","mrd","ersten","steigende","semester","schaeuble","durchschnitt","bundespraesident"
"106","arbeitet","ministerpraesident","diesel","steuern","taliban","bundesrepublik","jahre","vorschriften","tun","mittwoch","paris","griechen","dritten","waehlen"
"107","weltweit","slowakei","energy","teilte","krieges","genau","landesbank","klage","kurz","kursen","barcelona","erhoehen","inflation","land"
"108","gute","irland","tiere","steigern","westens","land","produkte","beschaeftigte","dinge","investment","sammler","billionen","privaten","csuchef"
"109","plattform","abstimmung","gaskraftwerke","laufenden","internationalen","erleben","objekte","hoehe","lehrer","asset","studierenden","steigen","bundesregierung","fischer"
"110","kuenstlicher","europaeer","emissionshandel","deutlich","terroristen","wahrheit","unternehmen","erklaerte","art","geldpolitik","schulen","zinserhoehungen","volkswirte","sachsen"
"111","branchen","einigung","energiewirtschaft","monaten","russen","antworten","gibt","gesetzlich","minuten","nasdaq","tuerkei","japans","unsicherheit","nordrheinwestfalen"
"112","geraete","monti","weltweit","zulieferer","demokratie","themen","aktienfonds","steuern","ddr","inflation","teams","fedchef","milliarden","ampelkoalition"
"113","prozesse","verfassung","lebensmittel","bilanz","teheran","zeiten","estate","pruefen","arbeitet","konjunktur","hauptstadt","wirtschaftsleistung","hohe","waehlern"
"114","anbieten","beziehungen","windraeder","aktionaeren","saudiarabien","geben","pro","aenderungen","meter","steigenden","seite","glaeubiger","gegenueber","spdchef"
"115","beschaeftigten","finanzminister","bauen","marktfuehrer","kim","mensch","beispiel","richter","tage","kursgewinne","film","geldmenge","ifoinstitut","fraktionschef"
"116","vorstand","staaten","shell","ebit","aussenpolitik","krisen","kreditinstitute","krankenkassen","welt","zaehlern","stattfinden","finanzpolitik","laufenden","bund"
"117","erfolg","auslaendische","verbrauch","bosch","asien","fuehlen","rund","rentner","lesen","kgv","adidas","geldpolitische","bruttoinlandsprodukts","reformen"
"118","nachhaltigkeit","polnischen","kernkraftwerke","verkaufen","pekings","oeffentlichkeit","verkaufen","kuendigungsschutz","ort","msci","angaben","vertrauen","prognostiziert","schroeders"
"119","media","kreml","sonne","anteile","wto","ideen","jahr","bundeslaender","gerade","s","st","staatsschulden","daten","wulff"
"120","plattformen","parlamentswahlen","klimaziele","laufende","terrorismus","aengste","kunde","bundesverband","the","stanley","spanien","zinsschritt","stieg","klingbeil"
"121","eigene","spanischen","eu","kuendigte","chinesischer","eigene","credit","hans","publikum","p","samstag","esm","ausland","streit"
"122","systeme","mrd","gruener","gestern","staatsfuehrung","moderne","ubs","bundesagentur","auto","monaten","staatsanwaltschaft","hoehere","trend","thema"
"123","forschung","umfragen","kapazitaeten","rechnet","amtszeit","thema","eigentumswohnungen","staatliche","polizei","bewertet","zahl","eurokrise","naechsten","ruettgers"
"124","transformation","rumaenien","produziert","marktanteil","islamischen","sinn","gebuehren","beschaeftigung","wasser","kursverluste","fliegen","investoren","institute","zustimmung"
"125","gegruendet","brown","energieagentur","zukaeufe","strafzoelle","wirklichkeit","immobilienpreise","moeglich","tochter","anstieg","taylor","basispunkte","duerften","gegner"
"126","umsatz","putins","netzbetreiber","erloese","afrika","bedeutet","laut","zahlen","journalisten","bewertungen","hamburgs","italienische","stagnation","pds"
"127","knowhow","lateinamerika","preisen","geschaefte","nation","sozialer","verbraucherzentrale","lohn","findet","ubs","gebaeude","italiens","konjunkturellen","bundeswehr"
"128","bietet","  ","produzenten","elektroautos","haus","reden","verluste","verordnung","freund","zugelegt","reiseveranstalter","italienischen","beschaeftigung","badenwuerttemberg"
"129","erfahrung","nationalen","gebaut","erwirtschaftet","vereinten","stimmt","finanzbranche","arbeitslosen","lieber","lag","ort","wechselkurs","vierten","ruecktritt"
"130","qualitaet","rom","stromversorgung","konkurrenz","pakistan","migration","hohen","loesung","leuten","york","bundesweit","of","einkommen","franz"
"131","technischen","tschechien","klimapolitik","vorjahreszeitraum","iranischen","umgang","zins","gesetzes","fernsehen","hsbc","museen","gesenkt","optimismus","legislaturperiode"
"132","bieten","david","produkte","prognose","weisse","diskussion","lebensversicherungen","erbschaftsteuer","schriftsteller","legte","tage","folgen","branche","mueller"
"133","finden","griechenland","kupfer","loescher","globalen","geworden","lebensversicherer","antrag","fotos","dz","kunstmarkt","washington","zulegen","kandidat"
