"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.8083","5.0603","5.0411","7.1241","6.8518","10.9504","5.6891","6.971","9.8659","9.3475","4.3862","6.8663","9.1212","5.9169"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","kinder","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","  ","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","euro","gesetz","menschen","dollar","millionen","zinsen","quartal","cdu"
"5","ki","bruessel","energiewende","mrd","peking","gibt","anleger","arbeitgeber","frauen","investoren","muenchen","banken","deutschland","fdp"
"6","firma","russland","energie","millionen","russland","heute","kunden","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","krieg","demokratie","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","daten","britischen","erneuerbaren","mio","chinesischen","deutschland","geld","arbeitnehmer","eltern","boerse","hamburger","eurozone","deutschen","union"
"9","manager","frankreich","industrie","quartal","trumps","freiheit","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","afd"
"10","startups","land","co","unternehmen","ukraine","soziale","sparkassen","gewerkschaften","maenner","anleihen","saison","griechenland","deutsche","csu"
"11","digitale","briten","preise","geschaeft","washington","leben","versicherer","ig","leute","gold","trainer","iwf","entwicklung","kanzler"
"12","digitalisierung","parlament","klimaschutz","aktie","chinesische","tun","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","scholz"
"13","intelligenz","premier","tonnen","siemens","iran","sozialen","immobilie","unternehmen","stadt","usa","berlin","euroraum","investitionen","merz"
"14","mitarbeitern","london","produktion","jahr","praesident","zukunft","investoren","metall","vater","punkten","fussball","italien","konsum","schroeder"
"15","google","europaeischen","pro","vorstandschef","land","europa","markt","berlin","heute","bank","berliner","draghi","deutlich","angela"
"16","fuehrungskraefte","tuerkei","kohle","rund","obama","frage","kredite","kommunen","erzaehlt","aktienmarkt","sport","notenbanken","aufschwung","kanzlerin"
"17","digitalen","pfund","erdgas","mill","amerika","globalisierung","eigenkapital","rente","mutter","fed","gaeste","dollar","prognose","parteien"
"18","arbeiten","polen","preis","analysten","putin","staat","commerzbank","arbeit","spaeter","punkte","kunst","europaeischen","erwartet","waehler"
"19","branche","putin","rwe","vw","donald","buerger","rendite","regelung","junge","rendite","hochschulen","usa","oekonomen","bundestag"
"20","software","europa","deutschland","geschaeftsjahr","staaten","politischen","mieten","kommission","tag","minus","mannschaft","schulden","arbeitsmarkt","wahl"
"21","neue","moskau","anlagen","konzerns","bush","fragen","aktien","muesse","jahre","index","studium","europaeische","nachfrage","ministerpraesident"
"22","beispiel","premierminister","ausbau","uebernahme","irak","wissen","vermoegen","gewerkschaft","kind","zinsen","verein","finanzmaerkte","rezession","sozialdemokraten"
"23","mittelstaendler","russischen","foerderung","volkswagen","amerikaner","herr","kaeufer","bahn","jungen","renditen","fans","euro","erholung","wahlkampf"
"24","produkte","may","eon","bayer","xi","bevoelkerung","mieter","fordert","buch","papiere","reisen","rezession","weltwirtschaft","stoiber"
"25","technologie","referendum","verbraucher","hersteller","praesidenten","gerade","altersvorsorge","gesetzlichen","sohn","aktienmaerkte","messen","oekonomen","firmen","lindner"
"26","deutschland","russische","barrel","bmw","uspraesident","brauchen","frankfurt","vorschlag","schule","leitindex","touristen","waehrung","befragten","bundestagswahl"
"27","unternehmens","praesident","erneuerbare","daimler","biden","denken","bafin","massnahmen","kindern","gewinne","hotels","zinssenkung","plus","seehofer"
"28","gruender","johnson","kraftwerke","verkauf","regierung","verantwortung","risiken","duerfen","zeit","experten","liga","leitzins","anstieg","berlin"
"29","anbieter","landes","kosten","aktionaere","westen","beispiel","kapital","entwurf","geschichte","quartal","besucher","leitzinsen","rechnet","gruene"
"30","unternehmer","italien","landwirtschaft","kunden","nato","macht","institute","regelungen","alt","maerkte","lesen","maerkte","kommenden","opposition"
"31","berater","koenigreich","opec","basf","amerikanischen","zeit","renditen","betriebe","hause","morgan","kuenstler","waehrungsunion","bip","soeder"
"32","amazon","austritt","emissionen","ersten","welt","marktwirtschaft","sparer","verfahren","uhr","plus","klubs","kredite","verbraucher","regierung"
"33","markt","kommission","klimawandel","dollar","zoelle","sicherheit","private","handelsblatt","sitzt","wall","koeln","wachstum","vorjahr","liberalen"
"34","geschaeft","union","cent","sap","israel","politische","preise","clement","job","markt","bundesliga","krise","rechnen","linken"
"35","familienunternehmen","paris","wind","konzernchef","sanktionen","wohlstand","immobilienmarkt","sprecher","macht","woche","hotel","wirtschaft","zahl","bundeskanzler"
"36","kuenstliche","frankreichs","gruene","operative","europa","buch","immobilienfonds","heisst","arbeit","anlegern","veranstalter","anleihen","gestiegen","habeck"
"37","innovationen","ungarn","bauern","branche","russischen","recht","branche","gesetzentwurf","bisschen","usnotenbank","euro","staaten","vergleich","amt"
"38","chef","europaeische","grad","lufthansa","indien","geht","quadratmeter","kosten","gibt","street","klub","notenbanker","prognosen","mehrheit"
"39","mittelstand","berlusconi","liter","ergebnis","republikaner","glaube","wirecard","betroffenen","haus","staatsanleihen","spiele","waehrungsfonds","minus","umfragen"
"40","microsoft","sarkozy","bundesregierung","konkurrenten","demokraten","wissenschaft","anleihen","bundes","alten","vergangenen","wm","finanzmaerkten","erwarten","linke"
"41","technologien","insel","bau","thyssenkrupp","volksrepublik","richtig","risiko","milliarden","stunden","freitag","tourismus","zinssenkungen","monaten","bayern"
"42","nutzer","grossbritanniens","nachfrage","vorjahr","russische","verstehen","eigentuemer","deutschland","lebt","dow","league","bank","umfrage","politik"
"43","telekom","ukraine","habeck","porsche","taiwan","bildung","vermieter","regeln","konnte","aktienkurse","mark","japan","stark","merkels"
"44","nutzen","abkommen","netz","autos","soldaten","braucht","finanzkrise","bundestag","liebe","fondsmanager","universitaeten","lagarde","duerfte","gerhard"
"45","management","cameron","gruenen","boersengang","chinesen","system","versicherungen","urteil","frueher","aktienmaerkten","universitaet","europa","lage","ministerpraesidenten"
"46","startup","franzoesischen","wasser","vergangenen","dollar","angst","banker","regierung","angst","fiel","flughafen","regierung","bruttoinlandsprodukt","stimmen"
"47","informationen","politische","energieversorgung","operativen","new","vertrauen","darlehen","koalition","alte","boersianer","veranstaltungen","inflationsrate","exporte","gabriel"
"48","facebook","verhandlungen","hersteller","vorstand","afghanistan","geschichte","kfw","laender","kirche","aktienindex","geschaeftsfuehrer","yen","zweiten","olaf"
