"date","upi","sub_real_economy","sub_politics","sub_financial_markets"
2001-01-01,0.0173733915095132,0.00629351107432115,0.00808876153030418,0.00299111890488785
2001-02-01,0.0157418466237483,0.00557852165387475,0.00675163115777863,0.0034116938120949
2001-03-01,0.016511424596256,0.00552892412641201,0.00786887357402015,0.00311362689582388
2001-04-01,0.0167007798841097,0.00599341398153913,0.00765091673046991,0.00305644917210068
2001-05-01,0.0122993235196283,0.00405851177143535,0.00656153199648251,0.0016792797517104
2001-06-01,0.0125241498362039,0.00465875871223194,0.0063820110962701,0.00148338002770186
2001-07-01,0.0148997355300084,0.00492368464179504,0.00771747995161013,0.00225857093660323
2001-08-01,0.016110715564907,0.00626180904839115,0.00729160853001477,0.00255729798650108
2001-09-01,0.0258683638644419,0.00762509601797728,0.0111170829118996,0.00712618493456503
2001-10-01,0.0316427799239439,0.0108115323691817,0.0142552623772718,0.00657598517749036
2001-11-01,0.0215358562537649,0.00864135775614664,0.00953951709159136,0.00335498140602694
2001-12-01,0.020839247344597,0.00827850688902327,0.0102671537191509,0.00229358673642289
2002-01-01,0.0172275513965075,0.00610696436747292,0.00832570014200934,0.00279488688702528
2002-02-01,0.012901508001604,0.00547023629712302,0.00533441873043347,0.00209685297404751
2002-03-01,0.0118750792975457,0.00520238020559565,0.00486926690493654,0.00180343218701353
2002-04-01,0.0166342208352821,0.00666838260645453,0.00697330779157585,0.00299253043725176
2002-05-01,0.0164392962950735,0.00660785951592426,0.00693297807155311,0.00289845870759611
2002-06-01,0.0177587178785487,0.00649023312731924,0.00785070218305179,0.00341778256817763
2002-07-01,0.0211221293942399,0.00826221626033856,0.00840355669456404,0.00445635643933727
2002-08-01,0.0229150845480653,0.00880740635559019,0.00988320410466088,0.0042244740878142
2002-09-01,0.0234672809875624,0.00724369813510236,0.0114342528978953,0.00478932995456473
2002-10-01,0.0209863364234764,0.0078395076566873,0.00924398643028618,0.00390284233650296
2002-11-01,0.0206303894777573,0.00786177387248571,0.00923335090405967,0.00353526470121197
2002-12-01,0.0208715509430056,0.00780666458566659,0.0102071363803054,0.00285774997703368
2003-01-01,0.022125002348548,0.00813419844289234,0.00903809502609781,0.00495270887955788
2003-02-01,0.0276229732621853,0.00991366246022443,0.0127085308904349,0.00500077991152596
2003-03-01,0.030371856555489,0.0111933102978234,0.013298431284743,0.00588011497292259
2003-04-01,0.0202768450576716,0.00715986804854589,0.00908217970377099,0.00403479730535475
2003-05-01,0.0181958766688593,0.00726895879002371,0.00832332994557323,0.00260358793326239
2003-06-01,0.0157100315805985,0.00553872091755881,0.0083411981454577,0.00183011251758198
2003-07-01,0.0126514374527041,0.00487088379691151,0.00568015952241886,0.00210039413337377
2003-08-01,0.0153135021973267,0.00607665170429549,0.00709412300975456,0.00214272748327664
2003-09-01,0.0151082841295607,0.00577076540125169,0.00704800899888226,0.0022895097294267
2003-10-01,0.0130364298208993,0.00461150300283298,0.00635766927193447,0.00206725754613186
2003-11-01,0.0163346787588206,0.00553691514405328,0.00865731538307315,0.00214044823169416
2003-12-01,0.0131893056821559,0.00437389612577247,0.00661745402526766,0.00219795553111575
2004-01-01,0.0153497926744991,0.00571890046649944,0.00778413530579512,0.00184675690220453
2004-02-01,0.0180578183500067,0.00551146739538088,0.0087471903897113,0.00379916056491455
2004-03-01,0.0158279515391658,0.00624391580930713,0.0065366279480382,0.0030474077818205
2004-04-01,0.0156456641820093,0.00547245942115745,0.00765674579955935,0.00251645896129251
2004-05-01,0.0186614728696821,0.00635080183202453,0.0086158387811427,0.00369483225651482
2004-06-01,0.0118191244867318,0.00404163207188841,0.00581594583046643,0.00196154658437697
2004-07-01,0.0128314202693942,0.00506674053893333,0.00565398522443037,0.0021106945060305
2004-08-01,0.0153198377260184,0.00514290337164529,0.00728786503394652,0.0028890693204266
2004-09-01,0.0143893996681039,0.0041017322317853,0.00769821625642543,0.00258945117989317
2004-10-01,0.0155941631809533,0.00562699399455679,0.00715449786688695,0.00281267131950957
2004-11-01,0.0135376718169794,0.00499270985353308,0.00586049246376863,0.00268446949967763
2004-12-01,0.0153254931996202,0.00528566848537613,0.00770045674731214,0.00233936796693192
2005-01-01,0.0117332974100431,0.00397996459864866,0.00578791252683858,0.00196542028455588
2005-02-01,0.0130722231316547,0.0045272727568951,0.0070332437802621,0.0015117065944975
2005-03-01,0.0112780158601766,0.00379508680841676,0.00617301329264518,0.00130991575911464
2005-04-01,0.0114039247542311,0.00331662413920869,0.00625894180857424,0.00182835880644822
2005-05-01,0.0155060942224455,0.00517113226409335,0.00786441130119968,0.00247055065715245
2005-06-01,0.0159173498848065,0.00489041553399608,0.00894120388150608,0.0020857304693043
2005-07-01,0.0114911393266941,0.0046633367634582,0.00533956861578892,0.00148823394744701
2005-08-01,0.0120675571814492,0.00421262921786665,0.005877667802602,0.00197726016098054
2005-09-01,0.0186222194905154,0.00477224517736837,0.0103247418144487,0.00352523249869838
2005-10-01,0.0141800375206925,0.00488206102104251,0.00717813421419728,0.00211984228545267
2005-11-01,0.0126205040625421,0.00382378087147397,0.0067412403656359,0.00205548282543227
2005-12-01,0.00984988440859151,0.00329934372783747,0.00523768130032204,0.001312859380432
2006-01-01,0.0126695686922664,0.00420795156230354,0.00682089169021343,0.00164072543974942
2006-02-01,0.00775105923394249,0.00265321413506735,0.00409293572063766,0.00100490937823748
2006-03-01,0.0120620053522434,0.00358747884998751,0.00711744382642776,0.00135708267582814
2006-04-01,0.0114654513996715,0.00416318332376423,0.00598211880712464,0.00132014926878267
