"date","T1.unternehmen","T2.eu","T3.strom","T4.euro","T5.china","T6.menschen","T7.bank","T8.bundesregierung","T9.  ","T10.aktien","T11.hamburg","T12.ezb","T13.jahr","T14.spd"
2001-01-01,0.00208125435951073,0.0021874714813731,0.00492506749012771,0.00348311995843009,0.00182573203804938,0.00700131160804116,0.00228667426499927,0.00292397699617348,0.00590907893983379,0.00599425304698758,0.00275563287850482,0.00449819490603932,0.00417854149213277,0.00395708881353292
2001-02-01,0.00435990661649008,0.00297754963700136,0.00275396468230956,0.00393423526044223,0.00229067085792415,0.00508440786390485,0.00331615185203942,0.00416749456413512,0.00396110845211192,0.00680321720309805,0.00172095919452678,0.00403420353345347,0.00377729582109126,0.00147157597583208
2001-03-01,0.00326599242831995,0.00332206096786193,0.00215863877236598,0.00369678570713411,0.00177924165479862,0.00734497867999852,0.00244178489705294,0.00269315884933279,0.00498075526264531,0.00663290822781546,0.00224274158167894,0.00525081872810581,0.00474993977486418,0.00254364274388753
2001-04-01,0.00352274697950103,0.00399711246680691,0.00254735377609456,0.00449036369950904,0.00199189067620478,0.0061511983681795,0.00259734545508464,0.00307393279479008,0.00586680126103593,0.00607010075559559,0.00236294002693115,0.00430928272894497,0.00407265544839192,0.00217297164676885
2001-05-01,0.00356535670060774,0.00229858860473435,0.00101774530779571,0.00244691956980671,0.00155043753272708,0.00694881849514135,0.00177564074977124,0.00241010750548218,0.00370394329571183,0.00302725093680511,0.00222604718385955,0.00330334141923905,0.00235164128567264,0.00225528029376432
2001-06-01,0.00316755193804374,0.00227754372221585,0.00274274905422446,0.00228793292317882,0.00189891506489867,0.00541739112435834,0.00151336027360618,0.0031005993096157,0.00524308341931293,0.00286972817710523,0.00201088756416625,0.0038036019081101,0.00355656979632389,0.00235950297425707
2001-07-01,0.00309757568352639,0.00357179736797506,0.001897895720102,0.00293008462050835,0.00243770125452761,0.00607810941940163,0.00145192554025879,0.00338513564111761,0.00453335750686778,0.00455151918839986,0.00184744660473512,0.00302089302816874,0.00331450687960397,0.00201998257928985
2001-08-01,0.00396633501229594,0.00238796309833724,0.0019743436240294,0.00370823646032785,0.00147027935800625,0.00689145193460095,0.00285893780641576,0.00348653642209885,0.00681313998079867,0.00468437841969434,0.00325490951648646,0.00337072296929266,0.00556676663155106,0.00390125888167151
2001-09-01,0.00420791575464644,0.00283220088253912,0.00269931933239239,0.00653464564250976,0.00799634269412378,0.00812922424427051,0.00686684951787658,0.00430562277681315,0.00656070084842088,0.016895498273068,0.00349791139356832,0.0097524635725335,0.0084861805652529,0.00405419003977081
2001-10-01,0.00503918149259856,0.00397322212337399,0.00299378182886276,0.00907230143692793,0.00679618424062323,0.0120671924846973,0.00619055071762988,0.00632476620532621,0.00617280321512458,0.0138086661680298,0.00416289855639938,0.010677341194751,0.011612412732999,0.00351511471495594
2001-11-01,0.00459801628440301,0.00390188804258734,0.00256674977366907,0.00657930435726301,0.00406848283550049,0.00716238613245904,0.00385190960471339,0.00609736942062139,0.00764551103190719,0.00634488168437807,0.0029011293223019,0.00528343486095998,0.00961846936512152,0.00247988248879293
2001-12-01,0.0037388172652169,0.00333337409424858,0.00255526309846805,0.00454970360715356,0.00223600694887323,0.00860413531683683,0.00182085256422901,0.00677964104747935,0.00623459917992014,0.0047803449319559,0.00326296779509839,0.00616176507735098,0.00971971098785447,0.00243508682922893
2002-01-01,0.00312955986108141,0.00286370620713913,0.00230213852507989,0.00332028096064869,0.0023840137445911,0.0059017584699433,0.00281843402693881,0.00361503175088905,0.00634773760681024,0.00398491509550439,0.00255065389724332,0.00246010953684269,0.00356301690555251,0.00304190521431058
2002-02-01,0.00363692162267198,0.00235838691956168,0.00202939968515893,0.00385882673764168,0.001850069388759,0.00495932129036932,0.00225646538419769,0.00364466249877558,0.00309764058745493,0.00473483588336509,0.00243837597263216,0.0026396387513256,0.00627527022798032,0.00233387414523364
2002-03-01,0.00322213205014634,0.00143388716021153,0.0024223587220712,0.00450571887298298,0.0020658068268388,0.00467028128616716,0.0018025069657441,0.00302246298881619,0.0060756442947601,0.00350737356633226,0.0022665729709235,0.00159625540788659,0.0029006868030599,0.0015479837666859
2002-04-01,0.00426467312339757,0.00271932497314641,0.00169389668119353,0.00415603315300689,0.0015154167298374,0.00510718717948859,0.00272154211539928,0.00298759918574382,0.00577011271309706,0.0059929355095106,0.00318270770399647,0.00329799910114577,0.00612152976017712,0.00467927872468447
2002-05-01,0.00406647952963422,0.00203323976481711,0.00268710674876214,0.0060020300040213,0.00207101295711673,0.00732018416289056,0.0037252182750653,0.00420845463172587,0.00545496997761311,0.0054367346433995,0.00192382775953547,0.00326412482423554,0.00620782877586057,0.00301794781235186
2002-06-01,0.00528000664783446,0.00484809433932594,0.00276375347972585,0.00503129309939556,0.00234518677625552,0.00679048649079261,0.00325390115567372,0.00368702670100389,0.00508710199319161,0.00748081824231325,0.00214985564796936,0.00425967448082417,0.0051598962024908,0.00272735637507625
2002-07-01,0.00522231697872176,0.00447692900466632,0.00295969638463681,0.0063634047414733,0.00248807745043506,0.00484502183136037,0.00408813095647074,0.00285501998704569,0.00700296602785421,0.00831544701303516,0.00227067262466889,0.00602752003711499,0.0061805086182097,0.0026974302456173
2002-08-01,0.00519206280646641,0.00441745838094925,0.00304972828103611,0.00665606517069383,0.00251525122742927,0.00696701351865143,0.0047782027276901,0.00350895804759271,0.0064613074865638,0.00626765638018451,0.00201729123959682,0.0053314916030595,0.00611384207283182,0.00310173743532083
