"date","proportion"
2001-01-01,0.0540073982737361
2001-02-01,0.0506527415143603
2001-03-01,0.0531034482758621
2001-04-01,0.0532266960838389
2001-05-01,0.0388811188811189
2001-06-01,0.0422494172494172
2001-07-01,0.0441379310344828
2001-08-01,0.0543352601156069
2001-09-01,0.0928190655377861
2001-10-01,0.102406417112299
2001-11-01,0.0730994152046784
2001-12-01,0.0662122687439143
2002-01-01,0.0482832618025751
2002-02-01,0.0461136890951276
2002-03-01,0.0410396716826265
2002-04-01,0.054210236653825
2002-05-01,0.0574191598670293
2002-06-01,0.060864451631873
2002-07-01,0.0657931419013103
2002-08-01,0.0663780663780664
2002-09-01,0.0705187946567257
2002-10-01,0.0653026905829596
2002-11-01,0.0620289855072464
2002-12-01,0.0622489959839357
2003-01-01,0.0678560982743492
2003-02-01,0.089157413455258
2003-03-01,0.101181460163587
2003-04-01,0.0733244857332449
2003-05-01,0.0587719298245614
2003-06-01,0.0490227491188722
2003-07-01,0.041363239149432
2003-08-01,0.0495540138751239
2003-09-01,0.0466540999057493
2003-10-01,0.0423162583518931
2003-11-01,0.051699716713881
2003-12-01,0.0402644230769231
2004-01-01,0.0437866173296331
2004-02-01,0.0521431727794962
2004-03-01,0.0522012578616352
2004-04-01,0.0490445859872611
2004-05-01,0.0542661000326904
2004-06-01,0.0409535452322738
2004-07-01,0.0424746075715605
2004-08-01,0.0546847788227099
2004-09-01,0.045343137254902
2004-10-01,0.0502031340684852
2004-11-01,0.0430009149130833
2004-12-01,0.0428571428571429
2005-01-01,0.0343586387434555
2005-02-01,0.0420733759676876
2005-03-01,0.0360897982381358
2005-04-01,0.0369465648854962
2005-05-01,0.0461075843635149
2005-06-01,0.0501760563380282
2005-07-01,0.0395769361992494
2005-08-01,0.0390835579514825
2005-09-01,0.0597290640394089
2005-10-01,0.043213828425096
2005-11-01,0.0422057917436845
2005-12-01,0.030982201713909
2006-01-01,0.0376486129458388
2006-02-01,0.0268156424581006
2006-03-01,0.0355947672649833
2006-04-01,0.0378457059679767
2006-05-01,0.0405268490374873
2006-06-01,0.034184958618208
2006-07-01,0.0285062713797035
2006-08-01,0.0400993612491128
2006-09-01,0.0380859375
2006-10-01,0.0402042118698149
2006-11-01,0.0341285619615639
2006-12-01,0.038371182458888
2007-01-01,0.0309035942223715
2007-02-01,0.0300476364968853
2007-03-01,0.0385999345763821
2007-04-01,0.0433753943217666
2007-05-01,0.0305259286502391
2007-06-01,0.0309205903021785
2007-07-01,0.0315021129466001
2007-08-01,0.0585068198133525
2007-09-01,0.0588645071403692
2007-10-01,0.0416137229987294
2007-11-01,0.0539182853315472
2007-12-01,0.0525078369905956
2008-01-01,0.059
2008-02-01,0.0612959719789842
2008-03-01,0.0502586844050259
2008-04-01,0.0474476439790576
2008-05-01,0.0444361463778939
2008-06-01,0.0408525754884547
2008-07-01,0.0455652173913043
2008-08-01,0.0486211901306241
2008-09-01,0.060514877967235
2008-10-01,0.0879150066401062
2008-11-01,0.0620223398001176
2008-12-01,0.0625766871165644
2009-01-01,0.0628983097811028
2009-02-01,0.0594003922667414
2009-03-01,0.0608355091383812
2009-04-01,0.05999405999406
2009-05-01,0.0453983940704138
2009-06-01,0.0466155810983397
2009-07-01,0.0468848332284456
2009-08-01,0.0513522766175967
2009-09-01,0.0482692918386789
2009-10-01,0.046607832322118
2009-11-01,0.0447761194029851
2009-12-01,0.0482639743905442
2010-01-01,0.0498251748251748
2010-02-01,0.0628844839371155
2010-03-01,0.054341226472374
2010-04-01,0.0527086383601757
2010-05-01,0.0651590647757762
2010-06-01,0.0673246387028551
2010-07-01,0.0673886883273165
2010-08-01,0.0760690789473684
2010-09-01,0.0604776579352851
2010-10-01,0.0505050505050505
2010-11-01,0.0674245393963152
2010-12-01,0.0705830775975449
2011-01-01,0.0521460088247092
2011-02-01,0.0493333333333333
2011-03-01,0.0848
2011-04-01,0.0574141048824593
2011-05-01,0.0547945205479452
2011-06-01,0.068288119738073
2011-07-01,0.0687255328403654
2011-08-01,0.106574111882401
2011-09-01,0.0853941267387944
2011-10-01,0.0858059342421812
2011-11-01,0.0905205905205905
2011-12-01,0.0791904971403432
2012-01-01,0.0783566285472257
2012-02-01,0.0604545454545455
2012-03-01,0.0513251998317207
2012-04-01,0.0569708198239926
2012-05-01,0.070545121392579
2012-06-01,0.071219103477168
2012-07-01,0.0904370402423193
2012-08-01,0.0733780760626398
2012-09-01,0.063848524878908
2012-10-01,0.0634853003834683
2012-11-01,0.0679694137638063
2012-12-01,0.0675813008130081
2013-01-01,0.0633363068688671
2013-02-01,0.0602469135802469
2013-03-01,0.0683639792550684
2013-04-01,0.0663759689922481
2013-05-01,0.0441624365482233
2013-06-01,0.0568990042674253
2013-07-01,0.0621062106210621
2013-08-01,0.0590295147573787
2013-09-01,0.0621181262729124
2013-10-01,0.064721969006381
2013-11-01,0.0377081292850147
2013-12-01,0.0511073253833049
2014-01-01,0.0377974801679888
2014-02-01,0.0552400619514713
2014-03-01,0.0634100516674495
2014-04-01,0.0530530530530531
2014-05-01,0.043369890329013
2014-06-01,0.039142091152815
2014-07-01,0.0505952380952381
2014-08-01,0.0653700702323069
2014-09-01,0.059593023255814
2014-10-01,0.0671394799054374
2014-11-01,0.0556912554958476
2014-12-01,0.0672816060770483
2015-01-01,0.0684931506849315
2015-02-01,0.0636619718309859
2015-03-01,0.0508213552361396
2015-04-01,0.0526881720430108
2015-05-01,0.0536756126021004
2015-06-01,0.0507587650444793
2015-07-01,0.0505450941526264
2015-08-01,0.0751708428246014
