"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"36","versicherungen","finanzverwaltung","dresdner","versicherer","vertrag","versicherungen","s","immobilienaktien","beispielsweise","investor","beispiel","immobilien","performance","privaten","investieren","anleihen","einzelnen","prospekt","zunehmend","db","wohnungsunternehmen","anleihe","eigentuemer","spaeth","trend","siehe","mittelstandsbank","rendite","investiert","kredit","aktionaere","investiert","banker","wohnungen","gebuehren","landesbanken","objekte","finanzkrise","risiko","zinsen","anlagen","finanzmarktkrise","clarke","konditionen","sparkassen","institut","gesellschaften","private","produkte","kapital","rendite","to","altersvorsorge","anleihen","kredite","st","branche","allianz","hsbc","geschaeft","investmentbanking","franken","eigentumswohnungen","geldhaus","deutsche","wohnen","staedten","gebuehren","kapital","wert","vorteil","gestiegen","preise","geilenkothen","private","darlehen","frankfurt","private","jaffé","investment","senat","eigentuemer"
"37","immobilien","renditen","grundsaetzlich","ertraege","immobilie","immobilien","investoren","sparkassen","lebensversicherer","investieren","experten","fragen","jahren","deutsche","vermoegen","anlegern","privaten","anlegern","niedrigen","landesbanken","taleb","anreizregulierung","regel","anleihen","branche","emittenten","branche","handelt","verkaufen","rettung","ratingagenturen","dachfonds","verluste","rente","bayernlb","vorsorge","branche","risiken","regeln","abwicklung","wohnungen","lebensversicherung","verkauf","emittenten","deutsche","vorstand","bomhard","mieten","anshu","produkte","niedrigen","markt","  ","deutschen","kapitalertraege","preise","geschaeft","vermoegens","eigenkapital","conran","transaktionen","deutsche","sparer","vermoegen","finanzierung","muenchen","anlegen","immobilienmarkt","risiko","investoren","bezahlen","renditen","eigentuemer","zahlen","verkauft","wohnraum","berliner","eigentuemer","wohnungsmarkt","wohnimmobilien","bauzinsen","stadt"
"38","beispiel","hohe","pfandbriefe","kapital","unternehmen","anbieter","wertpapiere","rendite","sparkassen","privaten","gitzel","kapital","unternehmen","investieren","langfristig","eigenheimzulage","frage","kredite","anleihen","versicherungen","mrd","hohe","markt","versicherer","kyrill","oeffentlichrechtlichen","rettungsaktion","verluste","sanio","versicherer","anleihen","nauhauser","risiko","eigentuemer","konditionen","eingezahlten","renditen","muenchen","anteil","investieren","landesbanken","geschaeftsfuehrer","vermoegensverwalter","kapital","roeseler","eigenkapital","privatanleger","institut","grobecker","erwirtschaften","gefoerderten","anforderungen","mieten","renditen","instituten","renditen","kapitalmarkt","milliarden","niedrigzinsphase","verkaeufer","finanzaufsicht","zins","investoren","goldman","staedten","risiko","finanzbranche","cerberus","staedten","risiken","valsartan","wohnungen","wirecardaktie","frankfurter","christian","anleger","kredite","berliner","ermotti","hausratversicherung","angebotsmieten","kunden"
"39","bieten","deutschen","rating","relativ","grundsaetzlich","aktienquote","versicherungswirtschaft","zinsen","kapitalmarkt","makler","schiffsfonds","bafin","bieten","bieten","gibt","gesellschaften","banking","experten","rating","zulage","anlegern","verstaerken","sparer","prognoseboersen","investment","studios","darlehen","finanzierung","vermoegen","depot","pleite","breuker","zahlungsausfall","kapital","papiere","renditen","wandelanleihen","offenen","stresstests","p","commerzbank","banker","investment","portfolio","allianz","josef","investment","anleihen","investmentbank","haber","lohnt","jahr","commerzbank","institute","commercial","kaufen","gibt","finanzsystem","markt","kredite","betrag","rendite","deutsche","renditen","riedel","jahren","kapitalmarkt","ineichen","portfolio","vorstand","etfs","kunde","muenchen","nachfrage","mietpreisbremse","bundesbuerger","hsbc","deutschen","preise","altersvorsorge","anbieter","rund"
"40","einkuenfte","leasinggeber","beispiel","beispiel","steuerfrei","deutschen","deutschen","anbieter","anlagen","lebensversicherer","windkraftfonds","rendite","verkauf","anteil","jahren","sachsenlb","jahren","institute","investieren","objekte","faktoren","verkauf","vertrieb","nachfrage","anleihen","haeufig","kredit","wertpapiere","nauhauser","aktien","kosten","privatanleger","immobilien","laufzeit","landesbanken","versicherungen","hassell","hackethal","zinsen","objekte","sara","ackermann","sparer","anbieter","branche","risiken","ubs","commerzbank","allianz","preise","hre","hgaa","deutlich","kapitalertragsteuer","geldhaeuser","morgan","immobilien","bezahlt","konto","langfristige","suisse","finance","investmentbanking","rendite","nebenkosten","versicherer","rendite","kunde","projektentwickler","geldanlage","verdacht","deals","gebuehren","deutlich","deutsche","kaeufer","banker","boekhout","gekauft","versicherungen","vonovia","kanzlei"
"41","frage","scheinsozietaet","relativ","immobilienmarkt","jahr","riesterrente","anbieter","regelung","riesterrente","rdm","risiko","versicherungswirtschaft","private","gerling","mrd","steuerliche","deutsche","gibt","sinnvoll","anleihe","zinsen","institutionelle","kunden","investieren","bieten","geschaeft","lbbw","reserven","kapital","privatanleger","betriebswirtschaftslehre","investoren","branche","steuerzahler","wertpapiere","einzahlen","estate","investieren","risiken","deutsche","aktien","verkauft","geschaeft","branche","milliarden","aufseher","erhaelt","eigentuemer","esch","banker","wert","kreditinstitute","renditen","ertraege","england","rendite","eigenkapital","bundesbank","pruefung","preise","haeuser","swisscom","gebuehren","etfs","objekte","frankfurt","voigtlaender","real","tagesgeld","angebot","gebuehren","kapital","deutsche","etf","markt","renditen","degussa","laut","wirtschaftspruefung","marsalek","hamburger","buch"
"42","emerging","interessant","beispielsweise","grossbanken","produkten","erlaeutert","investiert","jahre","portfolio","portfolio","allianz","institut","hebel","beispielsweise","anlageformen","ii","markt","anfangsverluste","zinsen","postbank","garantien","kaufen","renditen","profitieren","experten","boerse","kassow","banker","finanzinvestoren","investiert","markt","wertpapiere","finanzkrise","institute","blessing","anlegern","kauf","kaeufer","aufseher","kredite","bundesbuerger","haeuser","bankia","investoren","verkauf","sparer","depot","allianz","vermoegensverwaltung","lebensversicherung","fink","sogenannte","hohen","regulierung","frankfurter","kaeufer","investmentbankings","standard","groesseren","beispielsweise","banker","covered","investieren","sparkassen","finanzkrise","kunde","commerzbank","hbc","maehren","vermieter","aktien","branche","banker","mietwohnungen","immobilienmarkt","mieter","dkb","zahnaerzte","gmbh","darlehen","staatsanwaltschaft","bautraeger"
"43","prospekthaftung","eigenheimbau","kapital","hohen","dresdner","beispielsweise","lebensversicherer","renditen","interessant","jahren","pensionsfonds","anleihen","wertentwicklung","erwirtschaften","privatbanken","portfolio","hohen","bafin","hohen","profitieren","investieren","mrd","vertraege","aktien","ii","instituten","zinseszinseffekt","finanzieren","shiller","regel","abgeltungsteuer","real","aktien","hummler","landesbank","frankfurt","mrd","fondsgesellschaft","muenchen","kapitalmarkt","beratung","youngtimer","mikus","finanzierung","sparer","branche","bieten","objekte","risiken","eigenkapital","wohnriester","banker","besitzer","risiken","fonds","stephan","privatkundengeschaeft","konnten","goldman","franken","flossbach","basiskonto","makler","indexfonds","goldman","mieten","finanzen","private","rendite","zahlt","medikamenten","mieten","zielke","financial","guthaben","mietendeckel","eigentumswohnungen","wirecards","frankfurt","milliarden","markt","betrugs"
"44","jahren","ueberarbeitung","emittenten","versicherungen","c","handelsblatt","angaben","kaufvertrag","standard","anleihen","kunde","transparenz","haus","unternehmen","immobilien","gerade","reserven","finanzplaner","deutschen","offenen","nachfrage","maerkten","policen","investiert","positive","beteiligungsgesellschaften","eigenkapital","risiko","verluste","versicherungen","branche","eigenkapital","wohnungen","milliarden","boerse","landesbank","bonitaet","markt","gelten","wertpapiere","grossbanken","fondsgesellschaft","renditen","geldanlage","mieter","ackermanns","institute","muenchen","kosten","versicherungswirtschaft","kredite","renditen","aktien","geldhaus","geschaefte","esch","investoren","versicherte","kredit","cryan","investieren","postler","schweizer","voigtlaender","familien","finanzaufsicht","postbank","pro","sparer","gebuehren","preise","light","markt","sparen","banker","hamburg","coronakrise","zinsen","immobilien","kapital","staedte","geldvermoegen"
"45","investieren","blessing","wertentwicklung","consors","deutschen","faktoren","zinsen","makler","altersvorsorge","zinsen","riesterrente","ausschuettungen","futures","finanzierung","beispielsweise","hohe","geldvermoegen","kreditwirtschaft","versicherung","bieten","anleihen","hohen","schwellenlaender","liquiditaet","jahren","firmen","unternehmen","zuge","geschaeft","anleihen","commerzbank","fragen","finanzdienstleister","ratingagenturen","glaeubiger","anbieter","institut","hedgefonds","milliarden","risiko","renditen","wertentwicklung","kaeufer","geschaeft","institute","objekte","aktien","deutschen","kredit","alter","jahr","invest","sparkassen","lebensversicherung","finanzplatz","rotthege","immobilienwirtschaft","anlegen","kaeufer","bhfbank","schweizer","schweizer","wohnung","quadratmeter","aufsicht","logistiker","frankfurter","kreditkarte","eigenkapital","markt","apotheke","wohneigentum","grossstaedten","vorstand","muenchen","geldanlage","bezahlen","stadt","geld","deutschen","vorstand","robo"
"46","portfolio","beispielsweise","zirener","frage","anbieter","emittenten","beispielsweise","raettig","investieren","kapitalmarkt","anlegern","immobilie","optionen","police","geschaeft","allianz","hedgefondsmanager","zertifikaten","investmentfonds","regel","bewerten","absichern","verstaerkt","kosten","arnault","markets","kreditrisiken","swiss","bieten","autoren","banker","kemmer","renditen","staat","finanzierung","auszahlungen","landesbanken","privatanleger","beteiligungen","mieten","leerstand","kapital","bieten","otte","london","jessop","iii","gesellschaften","singer","deutsche","eigenkapital","vermoegensverwaltung","aktionaere","kuendigen","scotland","investieren","vorstand","gibt","besitzen","feri","cochef","transaktionen","anteile","geschaeft","hedgefonds","risiken","regulierung","muenchen","preise","portfolio","kaufhof","easyjoint","vorstand","wohnraum","risikovorsorge","vermieter","immobilie","anleger","markt","eigenkapital","sozialwohnungen","neubau"
"47","beispielsweise","anlage","verkauf","jahren","frage","fund","apt","verkauf","aktienfonds","private","anlage","verbraucherzentrale","kaufen","privatkundenberater","einzelnen","strategie","initiatoren","ii","investoren","lb","verluste","baa","welter","zunehmend","emittenten","vermoegen","schwanitz","vermoegenswerte","verkauf","banker","management","institut","immobilie","kosten","commerzbank","finanzkrise","allendorf","offene","frankfurt","investiert","lotto","risiken","kuehn","bieten","objekte","darlehen","investmentbanken","strategie","sparkassen","kunde","darlehen","alter","investoren","eigenkapital","kaufen","test","markt","private","baufinanzierung","transaktionen","markt","einlagen","beobachtet","bezahlen","steuer","kapital","geldanlage","filialen","quadratmeter","kaeufer","markieren","ertraege","verkauf","zinsen","eigenkapital","muenchen","hauptstadt","versicherer","anbieter","estate","sparkonten","betrug"
"48","mrd","b","produkte","bonitaet","investiert","hinrichs","fondsmanager","beispielsweise","bausparkassen","deutschen","emittenten","kredit","verschiedenen","terna","kauf","assekuranz","mewes","schiffsfonds","reserven","bgh","immobilie","immobilienwirtschaft","allianz","vermoegen","grossbanken","gekauft","anteil","sachsenlb","kredit","geschaeftsfuehrer","geldmarktfonds","geldanlage","hre","markt","hvb","sachs","kredite","aktienfonds","markt","vermoegensverwaltung","makler","investieren","eigentuemer","sachwerte","vermoegen","zinsen","risiko","ertraege","risiko","geldhaus","interessenten","too","erhalten","betrueger","pfund","asprion","finanzkrise","aufsicht","immobilienfonds","darlehen","mieten","niedrigen","thiam","anleger","bueros","schweizer","aufseher","usbanken","kunden","vertrag","quadratmeter","produkte","privatkundengeschaeft","wohnung","fonds","preise","vergangenen","immobilie","vergleich","tilgung","umland","anwalt"
"49","anbieter","absicherung","mrd","gilt","produkte","rentenfonds","rating","frage","lebensversicherungen","rendite","geschlossenen","steuerlichen","privaten","produkte","kapital","filmfonds","pensionsfonds","planer","renditen","gibt","markt","lehner","kapital","constantin","regional","kredit","jochen","immobilien","kreditwirtschaft","markt","oehler","festgeld","kreditinstitute","vermoegen","pleite","staatlich","risiken","mieten","hre","bonitaet","nauhauser","verkaufen","vermoegen","garantiezins","krediten","investieren","produkte","finanzkrise","einlagen","risiko","londoner","fuessli","geldhaeuser","vorstaende","eigentuemer","investment","risiko","leasinggesellschaften","instituten","verluste","riesterrente","anleger","weimer","sachs","rendite","investoren","schaefer","atradius","nachfrage","ackermann","silikon","allianz","usbanken","metropolen","eigentumswohnungen","investoren","deals","projektentwickler","singapur","frankfurt","rendite","gebaut"
"50","dresdner","jahren","portfolio","deutschen","kreditinstitute","kapital","markt","steuerlichen","eigenheimzulage","fondsmanager","lebensversicherung","branche","mittel","depot","faktoren","gerlach","vermoegensverwaltung","allianz","bankgesellschaft","deutsche","private","real","fliessen","hohen","wertpapiere","regionen","kaufen","beispielsweise","sparer","planning","beispielsweise","konditionen","staates","gebuehren","janssen","kapital","binswanger","kapitalmarkt","anlegern","landesbanken","kredite","m","branche","lebensversicherungen","immobilienmarkt","cochef","immobilie","iii","sal","verkauft","sicherheiten","goldman","diekmann","rendite","waehrung","altersvorsorge","frankfurt","verbraucherschuetzer","lebensversicherer","barclays","milliarden","vermieter","berater","investments","immobilienkaeufer","living","kaufen","girocard","metropolen","beratung","schwierig","reschke","sparkassen","fb","kapital","hsbc","institut","drittpartnern","versicherer","geldhaeuser","geldhaeuser","untersuchungsausschuss"
