"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"26","kreditwirtschaft","value","bieten","depot","jahre","investoren","kredite","investment","privaten","markt","privaten","roemer","jahr","anbieter","rendite","immobilien","deutschen","deutschen","vermoegen","absicherung","hoppenstedt","investieren","experten","kunden","private","fall","investiert","latenten","aktien","etf","finanzwirtschaft","offenen","eigenkapital","toxischen","risiko","lbbw","vantage","blessing","finanzkrise","handelsblatt","privaten","angeles","wohnungen","investieren","metzler","kredite","immobilienfonds","baete","eigenkapital","niedrigen","aufseher","profumo","preise","investmentbanking","finanzbranche","geschaefte","aktionaere","darlehen","immobilie","vermoegen","wert","verdienen","commerzbank","investieren","investieren","erwerben","cryan","bitcoins","flaechen","  ","hersteller","wohnung","vermieter","quadratmeter","sewing","immobilie","berlin","markt","wirtschaftspruefer","institute","staedten","pruefer"
"27","quellensteuer","anleihen","s","finanzierer","kredite","renditen","geld","kauf","anleihen","investiert","immobilien","deutschen","bafin","rente","ertraege","deka","leasingunternehmen","markt","strategie","real","dezember","branche","boerse","raten","kunden","attraktiv","stepic","staatsfonds","beispiel","brunnermeier","investoren","risiko","darlehen","banks","lehman","kredite","alpe","anleihen","aktien","vermoegen","zertifikate","brothers","versicherungen","handelsblatt","investoren","geschaeft","basel","leasing","fitschen","aktien","kapital","kunde","kapital","zinsen","mieten","sparbuch","kaernten","georgadze","langfristig","sparkassen","anleger","vermoegen","versicherer","cryan","markt","frank","indexfonds","  ","investiert","eigentuemer","lunapharm","qualitaet","staatsanwaltschaft","new","quadratmeter","token","mustier","kpmg","miete","sparkassen","berlin","zahn"
"28","investoren","kredite","zinsen","risiko","immobilien","rendite","tabelle","ii","basel","institute","euro","funds","beispielsweise","risiken","investoren","rendite","sparkassen","produkte","markt","risiken","investments","anteile","versicherung","naumer","carry","risiken","verluste","landesbanken","aktienfonds","investoren","westlb","finanzkrise","aktionaere","pleite","versicherer","rating","commerzbank","aktien","fusion","westimmo","vermoegensverwalter","milliarden","mieter","kauf","haus","anleihen","warentest","gdv","anleihen","versicherungen","vertraege","vermoegen","privatkundengeschaeft","bafin","aufseher","goldman","oesterreich","zahlungsmittel","institut","institute","kaeufer","markt","finanzkrise","investoren","eigenkapital","zinsen","preise","gold","kaufen","versicherer","mieten","sparer","ertraege","tan","gebuehren","blessing","gisdakis","zahlungsdienstleister","berliner","immobilie","miete","banken"
"29","privatanleger","frage","immobilien","renditen","versicherungswirtschaft","versicherer","riesterrente","geld","immobilienfonds","hohe","laufzeit","ubs","jahre","aktienfonds","commerzbank","euro","westebbe","verkauf","rueck","estate","wertentwicklung","kapital","private","bieten","bank","dws","kunden","investiert","eigenkapital","geld","euro","renditen","kapital","versicherer","bausparkasse","riesterrente","kunden","sparer","koltes","bayernlb","konditionen","investmentbanker","markt","finanzkrise","kfw","anshu","altersvorsorge","wohnungen","makler","einlagen","verkauft","monte","kaufen","wert","wiesent","quadratmeter","hypo","sicherheiten","zinsen","vonovia","muenzen","investmentbanking","altersvorsorge","kaufen","geldanlage","immobilienwirtschaft","vermoegen","lebensversicherung","becken","zinsen","institut","millionen","quadratmeter","immobilien","wohnungsmarkt","altersvorsorge","kirsch","singapur","investoren","finanzierung","laut","preise"
"30","altersvorsorge","unternehmen","versicherungen","papiere","jahren","anlage","private","haus","tippelskirch","grossbanken","anleihen","vermoegen","immobilie","lebensversicherungen","markt","initiatoren","laufzeit","kapital","anlage","renditen","frankfurt","aktien","bieten","equity","eigenkapital","generell","ratingagenturen","transaktionen","transparenz","schluetz","kredite","landesbanken","papiere","haeuser","haussmann","allianz","finanzkrise","kunden","kanam","verkauf","kfw","etf","investments","sergio","mieten","investiert","kosten","city","immobilie","immobilienfonds","institut","fitschen","vermoegen","kredit","geldhaus","markt","anleger","besitzer","aktienfonds","immobilienkredite","haus","frankfurter","aufseher","aktionaere","finanzbranche","quadratmeter","risiken","schaeden","makler","miete","generali","fonds","wohnen","gedaschko","geldhaeuser","markt","markt","geldhaeuser","financial","immobilien","bauherren","rolf"
"31","s","investoren","allianz","private","s","kredite","risiko","lutter","private","branche","beispielsweise","bewertung","beispiel","risiko","risiko","medienfonds","bieten","investor","commerzbank","altersvorsorge","investor","vermoegen","anbieter","bereich","capital","rendite","anleihen","re","institute","immobilie","produkte","pleite","kredite","aktionaere","immobilie","immobilien","allianz","rendite","investment","markt","eigentuemer","finanzierung","ackermann","sparer","darlehen","einlagen","kfw","ubs","mieten","bg","geschaeft","paschi","america","geschaeft","roth","immobilienmarkt","heta","banker","kreditnehmer","erzielen","pensionsfonds","negativzins","wert","kapitalmarkt","bafin","vermoegen","mikroapartments","mieten","banken","investieren","storsberg","hoops","immobilien","allianz","tschechien","metropolen","wohnung","jahren","vermoegen","enria","finanzaufsicht","stuttgart"
"32","baseler","afatabelle","rueck","immobilie","vertraege","hunck","anleihen","zulage","regel","allianz","geld","unternehmen","auskunft","kapital","jahre","sparkassen","produkte","ausschuettungen","versicherungen","hedgefonds","verkauf","moeglichkeit","hohe","anlegern","immobilie","beispielsweise","bonitaet","institute","wertpapiere","altersvorsorge","institute","altersvorsorge","immobilienfonds","anbieter","sparer","institute","vermoegen","ngulube","renditen","wohnungen","riester","rendite","investmentbanking","banker","institut","bafin","boni","preise","iii","ew","kunde","frankfurt","kaeufer","kapital","investoren","eigenkapital","kaeufer","ausweisersatz","spielbank","schweizer","vermoegen","eigenkapital","regulierung","darlehen","immobilienmarkt","zweitwohnsitze","private","regel","muenchen","kosten","zinsen","rendite","leerverkaeufer","ertraege","investoren","kapital","frankfurter","wohnungsmarkt","anleger","anleger","pensionskasse","schroeder"
"33","wenger","eigenkapital","geld","aktienfonds","beispiel","wertpapiere","lebensversicherung","deutschen","geld","vermoegen","kapital","s","geld","deutschen","zertifikaten","investment","ertraege","rueck","re","risiko","fondsmanager","schwellenlaender","provisionen","zieht","kaufen","lbbw","kapital","haeufig","krise","financial","einlagen","institute","rendite","verluste","kreditklemme","sparkassen","soffin","zinsen","banker","estate","uebernahmen","muenchen","immobilien","risiken","kapital","banker","institut","geld","wohnungen","rmh","preise","wohnungen","muenchen","allianz","bulgarischen","vermoegen","wohnungen","weltsparen","uebrigen","unternehmen","erzielen","staatsfonds","  ","finanzkrise","kredit","private","finanzkrise","euro","deutschen","icos","regel","verkauf","haeuser","darlehen","vertrag","anbieter","darlehen","transaktionen","kredite","allianz","quadratmeter","erklaert"
"34","wertpapiere","templeton","laufzeiten","geld","risiko","anteil","immobilie","commerzbank","bonitaet","eigenkapital","anbieter","schulz","strategien","beispiel","transparenz","dekabank","versicherungen","investment","rueckversicherer","markt","eigenkapital","erzielen","ratingagentur","vip","risiko","sparkasse","banker","josef","euro","zinsen","hedgefonds","einlagen","sparer","risiko","institute","kfw","risiko","vermoegensverwalter","depots","ertraege","vermoegen","lerbinger","milliarden","wohnungen","investment","institute","investmentbanker","versicherungen","kaeufer","investmentbanking","banker","vorstand","rodbertus","vermoegen","corporate","institute","ubs","finanzbranche","verbraucherschuetzer","vergeben","finanzsystem","summen","geldhaus","krediten","gebuehren","goldman","immobilien","wohnen","holding","banker","commerzbank","einkommen","vorwuerfe","markt","minuszinsen","deutschen","mietern","preise","ubs","muenchen","deutschen","treuhandkonten"
"35","anteil","branche","wertpapiere","portfolio","einzelnen","markt","lebensversicherungen","basel","anlage","henningsen","steuervorteile","beispiel","wert","investoren","fondsgesellschaften","versicherungen","zinsen","leichnitz","bieten","deutschen","rating","laufzeit","vermoegen","beispiel","meist","schwellenlaendern","rhineland","gesellschaften","immobilienfonds","geschaeft","geschuetzt","zertifikate","private","papieren","immobilien","aktienfonds","markt","banker","kredite","eigentuemer","beispielsweise","stresstest","sparkassen","immobilie","muenchen","investmentbanken","kauf","depot","w","kredite","geldanlage","schweizer","niedrigen","ubs","hommel","schweizer","wien","pleite","gebuehren","rechnung","regulierung","kredite","institute","kredit","kredite","finanzbranche","mieten","bezahlen","mieter","etf","patienten","private","deutschen","kreditgeschaeft","ubs","jahren","transaktionen","muenchen","allianz","ertraege","kreditausfaelle","ffo"
