"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","7.0271","6.8791","6.8686","8.3803","8.5539","8.7348","8.6109","9.1145","11.155","10.1079","7.7194","5.3997","6.1791","5.7965","6.3246","6.4227","4.0789","6.1092","5.123","4.2108","5.2573","4.2713","6.059","4.8509","6.0789","5.8097","5.0453","5.3924","7.752","6.3215","6.8768","9.2608","10.714","10.2186","8.5975","6.4988","7.8387","8.2884","7.8755","5.3759","5.0987","6.7312","7.2245","8.1554","9.0159","8.6134","9.9196","7.3608","6.4581","6.0955","8.0062","5.7562","7.1393","6.5354","6.938","5.8077","7.0737","6.3743","5.8654","7.6724","6.7896","6.2848","7.6624","6.1158","6.5427","6.1748","7.2969","8.2593","6.1481","7.6316","7.9758","7.5994","8.0406","10.5711","8.2825","8.3241","6.984","7.9876","7.5114","6.469","5.7927","6.1574"
"Share (in %) on ""wirtschaft""-corpus","0.4491","0.3857","0.5407","0.8361","0.4931","0.6006","0.7065","0.6891","1.1271","0.713","0.4587","0.3175","0.4069","0.3554","0.3837","0.3955","0.2097","0.3545","0.3139","0.2194","0.2501","0.2191","0.2721","0.2498","0.2707","0.2739","0.3237","0.3407","0.5342","0.3592","0.4634","0.8342","0.8826","0.6359","0.5563","0.4216","0.5517","0.6474","0.6573","0.4327","0.3938","0.5334","0.7575","0.851","0.6743","0.7273","0.9468","0.6007","0.5316","0.4544","0.617","0.3759","0.5099","0.3847","0.5176","0.4665","0.6074","0.4367","0.4649","0.636","0.7397","0.6422","0.981","0.7805","0.8868","0.6777","0.6663","0.834","0.5399","0.7654","0.7806","0.8191","0.9982","1.0261","0.9648","0.8681","0.9819","1.1113","0.8159","0.7402","0.5499","0.5321"
"Share (in Promille) on entire corpus","1.2837","1.0678","1.4295","2.2751","1.3533","1.6362","2.1365","2.0882","3.1904","2.0162","1.2538","0.8806","1.1309","0.9958","1.0056","1.0995","0.5595","0.9698","0.8243","0.6012","0.641","0.5402","0.663","0.6527","0.7123","0.7271","0.8509","0.9329","1.4606","0.9742","1.282","2.8673","3.1548","2.1961","1.7684","1.1922","1.6777","1.9842","2.0194","1.3868","1.2795","1.6913","2.4949","2.8142","2.1077","2.3727","2.9997","1.9485","1.7034","1.4634","1.9267","1.1651","1.6315","1.2497","1.6126","1.4792","1.9306","1.3936","1.4752","1.9193","2.2857","2.0592","2.9638","2.453","2.8071","2.1283","2.1098","2.6203","1.7171","2.4109","2.6101","2.723","3.2167","3.505","3.3365","3.0323","3.7813","4.8166","3.1438","2.7872","2.0989","1.8993"
"1","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","mrd","euro","euro","mio","euro","euro","mrd","euro","mrd","konzern","siemens","konzern","konzern","euro","euro","euro","euro","euro","konzern","euro","euro","konzern","millionen","euro","konzern","euro","euro","konzern","milliarden","euro","vw","konzern","euro","konzern","euro","milliarden","konzern","konzern","siemens","konzern","konzern","konzern","bayer","konzern","konzern","kaeser","konzern","konzern","konzern","konzern","euro","milliarden","konzern"
"2","mrd","quartal","umsatz","mill","mrd","mrd","mrd","mrd","mrd","quartal","mill","mrd","mrd","mrd","mrd","mrd","mio","mrd","mrd","mrd","wennemer","konzern","mio","konzern","airbus","siemens","mrd","mrd","konzern","euro","konzern","mrd","mrd","mio","mio","euro","mio","mio","mrd","konzern","euro","euro","umsatz","umsatz","konzern","konzern","umsatz","milliarden","milliarden","milliarden","loescher","euro","konzern","kaeser","millionen","konzern","euro","euro","konzern","volkswagen","mueller","milliarden","milliarden","konzern","opel","volkswagen","air","konzern","rwe","vw","monsanto","konzern","volkswagen","bayer","konzern","milliarden","milliarden","euro","euro","konzern","euro","euro"
"3","mill","mill","quartal","mrd","konzern","quartal","konzern","mio","konzern","mrd","mrd","mio","mill","mill","quartal","mill","mrd","umsatz","konzern","milliarden","konzern","mrd","mrd","mio","mrd","konzern","salamander","hofreiter","mrd","mill","mrd","mio","euro","konzern","mrd","konzern","mrd","euro","euro","euro","mio","milliarden","konzern","mio","siemens","gewinn","konzern","euro","konzern","konzern","euro","milliarden","air","siemens","milliarden","millionen","lufthansa","konzern","millionen","konzern","euro","bayer","euro","millionen","konzern","bayer","diesel","airbus","henkel","bayer","bayer","monsanto","milliarden","milliarden","basf","euro","euro","milliarden","milliarden","milliarden","konzern","milliarden"
"4","aktie","umsatz","mrd","quartal","mio","mio","analysten","umsatz","mill","mill","konzern","mill","aventis","konzern","umsatz","konzern","umsatz","mill","mill","konzern","profumo","mio","bank","mrd","konzern","pierer","konzern","mio","mill","lufthansa","mill","konzern","konzern","mrd","konzern","mio","konzern","konzern","mio","umsatz","milliarden","telekom","gewinn","milliarden","milliarden","umsatz","millionen","millionen","millionen","millionen","millionen","konzern","milliarden","alstom","konzern","milliarden","milliarden","millionen","milliarden","euro","milliarden","konzern","bayer","milliarden","euro","vw","euro","volkswagen","daimler","daimler","thyssenkrupp","kerkhoff","umsatz","euro","siemens","thyssenkrupp","volkswagen","bayer","daimler","millionen","kaeser","daimler"
"5","umsatz","mrd","konzern","aktie","mill","mill","aktie","mill","umsatz","umsatz","quartal","umsatz","konzern","millionen","mio","quartal","schroederwildberg","mio","mio","gewinn","mrd","fusion","mittal","konzerns","milliarden","mrd","porsche","uebernahme","umsatz","umsatz","postbank","umsatz","umsatz","quartal","opel","quartal","umsatz","gewinn","umsatz","loescher","mrd","gewinn","millionen","konzern","mrd","mio","vw","quartal","umsatz","quartal","milliarden","geschaeft","millionen","euro","karstadt","thyssenkrupp","umsatz","tnt","umsatz","winterkorn","millionen","henkel","millionen","bayer","gm","euro","daimler","kaeser","bageltrah","diesel","bmw","baumann","siemens","bmw","milliarden","umsatz","umsatz","lufthansa","kaellenius","aktionaere","sap","millionen"
"6","dm","mio","aktie","umsatz","jahr","aktie","quartal","quartal","gewinn","mio","umsatz","dollar","sanofi","gewinn","sap","umsatz","mill","hvb","quartal","bank","bank","alcatel","konzern","lufthansa","eads","cromme","uebernahme","porsche","millionen","konzern","umsatz","porsche","opel","umsatz","umsatz","umsatz","toyota","opel","quartal","acs","gewinn","geschaeft","siemens","quartal","umsatz","mrd","winterkorn","umsatz","gewinn","umsatz","siemens","umsatz","thyssenkrupp","milliarden","benko","lee","millionen","weltbild","air","diesel","volkswagen","umsatz","umsatz","lufthansa","boerse","milliarden","bmw","mueller","siemens","aufsichtsrat","daimler","milliarden","bayer","volkswagen","euro","boersengang","daimler","hauptversammlung","millionen","umsatz","geschaeft","umsatz"
"7","gewinn","aktie","analysten","mio","umsatz","konzern","umsatz","analysten","jahr","konzern","gewinn","gewinn","unternehmen","umsatz","mill","gewinn","jahr","unternehmen","umsatz","analysten","basf","uebernahme","allianz","konzernchef","endesa","airbus","hunold","konzern","toyota","quartal","uebernahme","quartal","gm","porsche","quartal","gewinn","gewinn","quartal","dollar","ferrostaal","umsatz","bmw","milliarden","mrd","gewinn","quartal","gewinn","dollar","siemens","ks","loewe","quartal","siemens","kron","kaufhof","eder","dividende","post","volkswagen","millionen","air","geschaeft","unternehmen","umsatz","psa","aktionaere","milliarden","lufthansa","innogy","achleitner","milliarden","uebernahme","daimler","vw","sewing","vorstandschef","vw","aktionaere","umsatz","gewinn","siemens","sap"
