date,type,n,n_wirtschaft,n_wirtschaft_unsicher
2001-01-01,docs,18066,4055,219
2001-01-01,words,3104863,922109,60569
2001-02-01,docs,18069,3830,194
2001-02-01,words,3096857,865681,52886
2001-03-01,docs,19977,4350,231
2001-03-01,words,3495537,984306,63690
2001-04-01,docs,16618,3626,193
2001-04-01,words,2879067,829551,54039
2001-05-01,docs,17476,3575,139
2001-05-01,words,3008084,813988,40893
2001-06-01,docs,16696,3432,145
2001-06-01,words,2903575,789966,41517
2001-07-01,docs,17300,3625,160
2001-07-01,words,2967557,801874,49277
2001-08-01,docs,17402,3460,188
2001-08-01,words,3008989,783430,55427
2001-09-01,docs,15334,3189,296
2001-09-01,words,2801169,735295,77973
2001-10-01,docs,16968,3740,383
2001-10-01,words,3020687,837199,101714
2001-11-01,docs,16345,3420,250
2001-11-01,words,2856257,756324,68697
2001-12-01,docs,14645,3081,204
2001-12-01,words,2622421,719150,60330
2002-01-01,docs,16437,3728,180
2002-01-01,words,2857738,831135,56684
2002-02-01,docs,16664,3448,159
2002-02-01,words,2879131,761016,39820
2002-03-01,docs,17411,3655,150
2002-03-01,words,3051097,819522,42528
2002-04-01,docs,16773,3634,197
2002-04-01,words,2936237,828118,54660
2002-05-01,docs,15665,3309,190
2002-05-01,words,2702777,731957,49096
2002-06-01,docs,16847,3401,207
2002-06-01,words,2890025,763282,56004
2002-07-01,docs,15681,3587,236
2002-07-01,words,2680370,812548,63359
2002-08-01,docs,14997,3465,230
2002-08-01,words,2617406,811324,66446
2002-09-01,docs,14622,3219,227
2002-09-01,words,2530673,743527,64428
2002-10-01,docs,15434,3568,233
2002-10-01,words,2680697,831579,60933
2002-11-01,docs,14847,3450,214
2002-11-01,words,2554944,777511,57899
2002-12-01,docs,13422,2988,186
2002-12-01,words,2349660,689493,54955
2003-01-01,docs,14627,3419,232
2003-01-01,words,2540209,771634,61511
2003-02-01,docs,14151,3062,273
2003-02-01,words,2449598,689549,71202
2003-03-01,docs,16416,3301,334
2003-03-01,words,2696955,714596,87133
2003-04-01,docs,15670,3014,221
2003-04-01,words,2414329,641030,53308
2003-05-01,docs,16448,3420,201
2003-05-01,words,2526123,733674,51048
2003-06-01,docs,14574,3121,153
2003-06-01,words,2375988,694363,41587
2003-07-01,docs,17330,3433,142
2003-07-01,words,2648074,735284,37108
2003-08-01,docs,16077,3027,150
2003-08-01,words,2508658,660511,43638
2003-09-01,docs,21038,4244,198
2003-09-01,words,3412007,946146,58425
2003-10-01,docs,22014,4490,190
2003-10-01,words,3586151,1003169,52807
2003-11-01,docs,20525,4236,219
2003-11-01,words,3293868,931064,63596
2003-12-01,docs,17705,3328,134
2003-12-01,words,2828523,758399,41922
2004-01-01,docs,15906,3243,142
2004-01-01,words,2463503,692042,43122
2004-02-01,docs,11646,2263,118
2004-02-01,words,1755001,478949,36370
2004-03-01,docs,15845,3180,166
2004-03-01,words,2421219,674346,42026
2004-04-01,docs,15086,3140,154
2004-04-01,words,2319440,673803,41072
