"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.8029","5.0648","5.0306","7.132","6.8487","10.9543","5.6929","6.9671","9.8625","9.3533","4.3656","6.8762","9.1235","5.9255"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","leben","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","kinder","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","euro","  ","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","euro","gesetz","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","ki","bruessel","energiewende","mrd","peking","gibt","anleger","arbeitgeber","menschen","investoren","millionen","banken","deutschland","fdp"
"6","firma","russland","energie","millionen","russland","heute","kunden","spd","mann","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","internet","britische","wasserstoff","gewinn","chinesischen","demokratie","immobilien","reform","frau","kurse","bayern","notenbank","konjunktur","koalition"
"8","daten","britischen","erneuerbaren","mio","krieg","deutschland","geld","arbeitnehmer","eltern","boerse","hamburger","eurozone","deutschen","union"
"9","manager","frankreich","co","quartal","trumps","freiheit","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","afd"
"10","startups","land","industrie","unternehmen","ukraine","soziale","sparkassen","gewerkschaften","maenner","anleihen","saison","griechenland","deutsche","csu"
"11","digitale","briten","preise","geschaeft","washington","leben","versicherer","ig","leute","gold","trainer","iwf","entwicklung","kanzler"
"12","digitalisierung","parlament","klimaschutz","aktie","chinesische","tun","zinsen","beschaeftigten","paar","aktie","spieler","staatsanleihen","industrie","scholz"
"13","intelligenz","premier","tonnen","siemens","praesident","sozialen","investoren","metall","vater","usa","berlin","euroraum","investitionen","merz"
"14","mitarbeitern","london","produktion","jahr","iran","zukunft","immobilie","unternehmen","stadt","punkten","fussball","italien","konsum","schroeder"
"15","google","europaeischen","pro","vorstandschef","land","europa","markt","berlin","heute","bank","berliner","draghi","aufschwung","angela"
"16","fuehrungskraefte","tuerkei","kohle","mill","obama","globalisierung","kredite","kommunen","erzaehlt","aktienmarkt","sport","notenbanken","deutlich","kanzlerin"
"17","digitalen","pfund","preis","rund","amerika","frage","eigenkapital","rente","mutter","fed","gaeste","dollar","prognose","parteien"
"18","arbeiten","polen","rwe","analysten","putin","staat","commerzbank","arbeit","spaeter","punkte","hochschulen","europaeischen","arbeitsmarkt","waehler"
"19","branche","putin","erdgas","vw","donald","buerger","rendite","regelung","junge","rendite","kunst","usa","erwartet","bundestag"
"20","software","europa","eon","geschaeftsjahr","staaten","politischen","mieten","kommission","jahre","minus","mannschaft","schulden","oekonomen","wahl"
"21","neue","moskau","anlagen","konzerns","bush","fragen","aktien","muesse","tag","index","studium","europaeische","nachfrage","ministerpraesident"
"22","beispiel","russischen","deutschland","uebernahme","irak","wissen","vermoegen","gewerkschaft","kind","zinsen","fans","finanzmaerkte","rezession","sozialdemokraten"
"23","produkte","premierminister","foerderung","volkswagen","amerikaner","herr","kaeufer","bahn","jungen","renditen","verein","euro","erholung","wahlkampf"
"24","mittelstaendler","may","ausbau","bayer","xi","bevoelkerung","mieter","fordert","buch","papiere","reisen","rezession","weltwirtschaft","stoiber"
"25","technologie","referendum","verbraucher","hersteller","praesidenten","gerade","altersvorsorge","gesetzlichen","schule","aktienmaerkte","messen","oekonomen","firmen","lindner"
"26","unternehmens","russische","barrel","bmw","uspraesident","brauchen","frankfurt","vorschlag","sohn","leitindex","touristen","waehrung","befragten","bundestagswahl"
"27","deutschland","praesident","erneuerbare","daimler","biden","denken","bafin","massnahmen","kindern","gewinne","liga","zinssenkung","plus","seehofer"
"28","gruender","johnson","kraftwerke","verkauf","regierung","verantwortung","risiken","duerfen","zeit","experten","hotels","leitzins","anstieg","berlin"
